"Location","Species","lmax","age","ypred_m","ypred_lq","ypred_uq","yrep_m","yrep_lq","yrep_uq"
"Manuae","Acanthurus achilles",24,0,0.68689105217049,-0.517338792574064,1.91265363606295,0.638748747229195,-0.473949579103289,1.79428161105107
"Manuae","Acanthurus achilles",24,1,12.2355502298368,11.1300430477969,13.4329290987456,12.0067756457268,10.8385147801765,13.3067690666709
"Manuae","Acanthurus achilles",24,2,16.5440059241433,15.6773608063767,17.4444160989326,16.8498522940877,15.8337920740446,17.8915414183528
"Manuae","Acanthurus achilles",24,3,18.1761160686035,17.2466185155485,19.0652347572276,18.9304102399686,18.1911744650736,19.6401267425332
"Manuae","Acanthurus achilles",24,4,18.8034210662862,17.7080055935115,19.8656234356223,19.8314295585311,19.215647111507,20.4511142008853
"Manuae","Acanthurus achilles",24,5,19.0478915855658,17.8376845756136,20.2380836424735,20.2246783827583,19.5812784474742,20.8576288461022
"Manuae","Acanthurus achilles",24,6,19.1444406924907,17.8786622540811,20.4250442275053,20.3976089750533,19.7052894970248,21.0795618586125
"Manuae","Acanthurus achilles",24,7,19.1830621409244,17.8894716807962,20.5180947515475,20.4742122417882,19.7543737214927,21.1871713999309
"Manuae","Acanthurus achilles",24,8,19.1987034903074,17.8944959323843,20.5525704767791,20.5083866526457,19.7752987697501,21.2397017189295
"Manuae","Acanthurus achilles",24,9,19.2051142506644,17.8963058708436,20.565472810521,20.5237380114021,19.7811512141552,21.2709659722913
"Manuae","Acanthurus achilles",24,10,19.2077723585811,17.8964244187364,20.5751388014174,20.5306803265427,19.7824621644054,21.2846216556039
"Manuae","Acanthurus achilles",24,11,19.2088869414257,17.8964572032132,20.5797079541087,20.5338404104138,19.7833518333074,21.2911202174029
"Manuae","Acanthurus achilles",24,12,19.2093594244735,17.8964662769298,20.5812024821009,20.5352880473101,19.7839773662847,21.2940447189976
"Manuae","Acanthurus achilles",24,13,19.2095618467312,17.8964687904294,20.5818702722968,20.5359553484495,19.7840086503124,21.2955167094293
"Manuae","Acanthurus achilles",24,14,19.2096494655547,17.8964694873543,20.5822023532362,20.5362648221844,19.7840194418288,21.2958768823811
"Manuae","Acanthurus achilles",24,15,19.209687772383,17.8964696807942,20.5824413110903,20.536409202393,19.7840231782293,21.2960350165097
"Manuae","Acanthurus achilles",24,16,19.2097046833893,17.8964697345471,20.5825530241354,20.5364769539171,19.7840244772481,21.2961061996402
"Manuae","Acanthurus achilles",24,17,19.2097122196056,17.8964697495025,20.5826052502978,20.5365089286285,19.7840249309308,21.2961382425684
"Manuae","Acanthurus achilles",24,18,19.209715608863,17.896469753669,20.5826296662669,20.5365241033834,19.7840250901688,21.2961526667399
"Manuae","Acanthurus achilles",24,19,19.2097171466616,17.8964697548316,20.5826410808859,20.5365313447062,19.7840251463608,21.2961591598542
"Manuae","Acanthurus achilles",24,20,19.2097178504041,17.8964697551564,20.5826464173115,20.5365348188759,19.7840251663044,21.2961620827858
"Manuae","Acanthurus achilles",24,21,19.2097181751338,17.8964697552474,20.5826489121421,20.5365364945073,19.7840251734259,21.2961633985789
"Manuae","Acanthurus achilles",24,22,19.2097183261757,17.8964697552729,20.5826500785037,20.5365373068871,19.784025175985,21.2961639909035
"Manuae","Acanthurus achilles",24,23,19.2097183969721,17.8964697552801,20.5826506237929,20.5365377027573,19.7840251769108,21.2961642575497
"Manuae","Acanthurus achilles",24,24,19.2097184304021,17.8964697552821,20.5826508787235,20.5365378966315,19.7840251772479,21.2961643775863
"Manuae","Acanthurus achilles",24,25,19.2097184463,17.8964697552827,20.5826509979077,20.5365379920477,19.7840251773715,21.2961644316239
"Manuae","Acanthurus achilles",24,26,19.2097184539119,17.8964697552828,20.5826510536285,20.5365380392345,19.7840251774171,21.2961644559504
"Manuae","Acanthurus achilles",24,27,19.2097184575802,17.8964697552829,20.582651079679,20.5365380626809,19.784025177434,21.2961644669018
"Manuae","Acanthurus achilles",24,0,0.68689105217049,-0.517338792574064,1.91265363606295,0.634596784173372,-0.469602238444122,1.7762144309668
"Manuae","Acanthurus achilles",24,1,12.2355502298368,11.1300430477969,13.4329290987456,11.9799477228216,10.7946799402806,13.2999779469124
"Manuae","Acanthurus achilles",24,2,16.5440059241433,15.6773608063767,17.4444160989326,16.8629393183978,15.8230697024787,17.9263452580762
"Manuae","Acanthurus achilles",24,3,18.1761160686035,17.2466185155485,19.0652347572276,18.985181020258,18.1580602610931,19.8388538486097
"Manuae","Acanthurus achilles",24,4,18.8034210662862,17.7080055935115,19.8656234356223,19.9162600838017,19.0534887641582,20.7789386514716
"Manuae","Acanthurus achilles",24,5,19.0478915855658,17.8376845756136,20.2380836424735,20.3284693730686,19.3554950655291,21.2767801335962
"Manuae","Acanthurus achilles",24,6,19.1444406924907,17.8786622540811,20.4250442275053,20.5125711854289,19.4620407893113,21.5476082662212
"Manuae","Acanthurus achilles",24,7,19.1830621409244,17.8894716807962,20.5180947515475,20.595496747426,19.5027317327163,21.6864445292017
"Manuae","Acanthurus achilles",24,8,19.1987034903074,17.8944959323843,20.5525704767791,20.6331584477983,19.5204250980945,21.7592152569437
"Manuae","Acanthurus achilles",24,9,19.2051142506644,17.8963058708436,20.565472810521,20.6504006424757,19.5237001077025,21.7959283393362
"Manuae","Acanthurus achilles",24,10,19.2077723585811,17.8964244187364,20.5751388014174,20.6583562647914,19.5258452184124,21.8221929182344
"Manuae","Acanthurus achilles",24,11,19.2088869414257,17.8964572032132,20.5797079541087,20.6620550545275,19.5277856912567,21.8325009972817
"Manuae","Acanthurus achilles",24,12,19.2093594244735,17.8964662769298,20.5812024821009,20.6637875420427,19.528202805324,21.8391408517594
"Manuae","Acanthurus achilles",24,13,19.2095618467312,17.8964687904294,20.5818702722968,20.6646049374787,19.5283673891918,21.8415677199223
"Manuae","Acanthurus achilles",24,0,0.68689105217049,-0.517338792574064,1.91265363606295,0.735552033155294,-0.552343026806113,2.04705820201776
"Manuae","Acanthurus achilles",24,1,12.2355502298368,11.1300430477969,13.4329290987456,12.3797748533938,11.3557462880747,13.4845127783508
"Manuae","Acanthurus achilles",24,2,16.5440059241433,15.6773608063767,17.4444160989326,16.1487685297556,15.3912567736067,16.9452558088884
"Manuae","Acanthurus achilles",24,3,18.1761160686035,17.2466185155485,19.0652347572276,17.3913795738247,16.5916207465005,18.1666841744306
"Manuae","Acanthurus achilles",24,4,18.8034210662862,17.7080055935115,19.8656234356223,17.8082414046188,16.8675057989966,18.7031882657534
"Manuae","Acanthurus achilles",24,5,19.0478915855658,17.8376845756136,20.2380836424735,17.9504087298697,16.9423097827275,18.9397762382528
"Manuae","Acanthurus achilles",24,6,19.1444406924907,17.8786622540811,20.4250442275053,17.9996587430264,16.9637088347123,19.0292884403716
"Manuae","Acanthurus achilles",24,7,19.1830621409244,17.8894716807962,20.5180947515475,18.0169767525994,16.9695393003522,19.0716379772962
"Manuae","Acanthurus achilles",24,8,19.1987034903074,17.8944959323843,20.5525704767791,18.0231539685333,16.9720713518915,19.0880138627512
"Manuae","Acanthurus achilles",24,9,19.2051142506644,17.8963058708436,20.565472810521,18.0253877223158,16.972837206341,19.0930575271212
"Manuae","Acanthurus achilles",24,10,19.2077723585811,17.8964244187364,20.5751388014174,18.0262061710184,16.97306884979,19.0938516773525
"Manuae","Acanthurus achilles",24,11,19.2088869414257,17.8964572032132,20.5797079541087,18.0265098705631,16.9731389136227,19.0961520969697
"Manuae","Acanthurus achilles",24,12,19.2093594244735,17.8964662769298,20.5812024821009,18.0266239452187,16.9731601054225,19.0964088493954
"Manuae","Acanthurus achilles",24,13,19.2095618467312,17.8964687904294,20.5818702722968,18.0266672994907,16.9731665151841,19.0965054553665
"Manuae","Acanthurus achilles",24,14,19.2096494655547,17.8964694873543,20.5822023532362,18.0266839636839,16.9731684539082,19.0965419024067
"Manuae","Acanthurus achilles",24,0,0.68689105217049,-0.517338792574064,1.91265363606295,0.664075037252484,-0.4919385810644,1.86174517910092
"Manuae","Acanthurus achilles",24,1,12.2355502298368,11.1300430477969,13.4329290987456,12.1315532233274,10.9287592917137,13.4014835331407
"Manuae","Acanthurus achilles",24,2,16.5440059241433,15.6773608063767,17.4444160989326,16.6910047631127,15.7610206826258,17.6972008151053
"Manuae","Acanthurus achilles",24,3,18.1761160686035,17.2466185155485,19.0652347572276,18.5326342340266,17.5188916375211,19.5480518089751
"Manuae","Acanthurus achilles",24,4,18.8034210662862,17.7080055935115,19.8656234356223,19.287791540254,18.0434445437342,20.5178588100377
"Manuae","Acanthurus achilles",24,5,19.0478915855658,17.8376845756136,20.2380836424735,19.6019524694318,18.2012701761518,21.0348997160204
"Manuae","Acanthurus achilles",24,6,19.1444406924907,17.8786622540811,20.4250442275053,19.7344803442253,18.2606971814373,21.2918447060217
"Manuae","Acanthurus achilles",24,7,19.1830621409244,17.8894716807962,20.5180947515475,19.79114142573,18.275330039232,21.4191443204001
"Manuae","Acanthurus achilles",24,0,0.68689105217049,-0.517338792574064,1.91265363606295,0.658899358250796,-0.494316507707645,1.8403137877015
"Manuae","Acanthurus achilles",24,1,12.2355502298368,11.1300430477969,13.4329290987456,12.1029692084254,10.8724837034378,13.388952755021
"Manuae","Acanthurus achilles",24,2,16.5440059241433,15.6773608063767,17.4444160989326,16.7049978975548,15.7426371423595,17.721425249322
"Manuae","Acanthurus achilles",24,3,18.1761160686035,17.2466185155485,19.0652347572276,18.5889405238204,17.4710378309258,19.6978888525067
