"age","ypred_m","ypred_lq","ypred_uq","yrep_m","yrep_lq","yrep_uq","Species"
0,0.466959819161704,-0.536476552323568,1.4186176330074,0.411154165080034,-0.458398687154991,1.26571424471677,"Acanthurus achilles"
1,12.9055639634895,11.9536123885789,13.9126200838608,12.7051031744288,11.6187528660613,13.8493824968684,"Acanthurus achilles"
2,16.7280017211218,15.8013549530022,17.6405288776854,17.6946550330178,16.7919108609501,18.5842610504708,"Acanthurus achilles"
3,17.9272478136353,16.6731276415903,19.1641473590288,19.7330131993377,19.100614475638,20.3806812959552,"Acanthurus achilles"
4,18.3108901341898,16.8645317360203,19.799757413115,20.5710674646643,20.0192755336763,21.1728691974773,"Acanthurus achilles"
5,18.4358951416836,16.9157936011717,20.0352755480895,20.9177772914719,20.3243725462279,21.5444572315017,"Acanthurus achilles"
6,18.477343244185,16.9296534887101,20.1303448164116,21.0620876195211,20.4322833532067,21.7142763156585,"Acanthurus achilles"
7,18.4913165588287,16.9332536397082,20.1812457429007,21.1225110598984,20.4694725408921,21.8010479414925,"Acanthurus achilles"
8,18.4961027667234,16.934185452261,20.1972968071824,21.1479579021826,20.4823153833562,21.8434858724315,"Acanthurus achilles"
9,18.4977673049774,16.9344266402037,20.201969684707,21.1587357009814,20.488276522639,21.8643276216915,"Acanthurus achilles"
10,18.4983547246595,16.9344890712942,20.2036551816285,21.163326037991,20.4918713207177,21.8722068566894,"Acanthurus achilles"
11,18.498564969726,16.9345052321249,20.2042816280186,21.1652918001494,20.493338915147,21.8779234059434,"Acanthurus achilles"
12,18.4986412518025,16.9345094156564,20.2045144649412,21.1661381415065,20.4939352565775,21.8798286627319,"Acanthurus achilles"
13,18.4986692971803,16.9345104986808,20.2046010079756,21.1665044501528,20.4941775965821,21.8806798536774,"Acanthurus achilles"
14,18.498679741741,16.9345107790617,20.2046331760497,21.1666638166355,20.4942760866361,21.8810580476417,"Acanthurus achilles"
15,18.4986836807005,16.9345108516511,20.2046451332919,21.1667335047144,20.4943161173287,21.8812290129409,"Acanthurus achilles"
16,18.498685184641,16.9345108704447,20.2046495780732,21.1667641312139,20.4943323886935,21.881306302484,"Acanthurus achilles"
17,18.4986857658787,16.9345108753106,20.2046512303526,21.1667776575892,20.4943390029651,21.8813412448025,"Acanthurus achilles"
18,18.4986859932238,16.9345108765705,20.2046518445823,21.1667836607596,20.4943416918025,21.8813570427184,"Acanthurus achilles"
19,18.4986860832097,16.9345108768967,20.2046520729279,21.1667863378751,20.4943427849256,21.8813641854433,"Acanthurus achilles"
20,18.4986861192493,16.9345108769812,20.2046521578204,21.1667875374155,20.4943432293455,21.8813674150015,"Acanthurus achilles"
21,18.4986861338531,16.934510877003,20.2046521893821,21.1667880774234,20.4943434100362,21.8813688752826,"Acanthurus achilles"
22,18.4986861398399,16.9345108770087,20.2046522011168,21.1667883216545,20.4943434835035,21.8813695355853,"Acanthurus achilles"
23,18.4986861423226,16.9345108770102,20.2046522054799,21.1667884326223,20.4943435133757,21.8813698341663,"Acanthurus achilles"
24,18.4986861433639,16.9345108770106,20.2046522071022,21.1667884832713,20.4943435255222,21.8813699691847,"Acanthurus achilles"
25,18.4986861438056,16.9345108770107,20.2046522077054,21.1667885064936,20.4943435304614,21.8813700302416,"Acanthurus achilles"
26,18.498686143995,16.9345108770107,20.2046522079297,21.1667885171886,20.4943435324698,21.8813700578529,"Acanthurus achilles"
27,18.4986861440771,16.9345108770107,20.2046522080131,21.1667885221362,20.4943435332865,21.8813700703396,"Acanthurus achilles"
0,0.466959819161704,-0.536476552323568,1.4186176330074,0.412530499495074,-0.462425978865381,1.26468036306127,"Acanthurus achilles"
1,12.9055639634895,11.9536123885789,13.9126200838608,12.7128397765178,11.6092604702289,13.8600945723427,"Acanthurus achilles"
2,16.7280017211218,15.8013549530022,17.6405288776854,17.6721956404963,16.7806238149003,18.633624629868,"Acanthurus achilles"
3,17.9272478136353,16.6731276415903,19.1641473590288,19.687815114544,18.9196754072498,20.4991378414334,"Acanthurus achilles"
4,18.3108901341898,16.8645317360203,19.799757413115,20.5133965366747,19.64641912566,21.3705888483936,"Acanthurus achilles"
5,18.4358951416836,16.9157936011717,20.0352755480895,20.8541036472011,19.9065726958206,21.7904082628507,"Acanthurus achilles"
6,18.477343244185,16.9296534887101,20.1303448164116,20.9957420687311,19.9928090902542,22.0089537161465,"Acanthurus achilles"
7,18.4913165588287,16.9332536397082,20.1812457429007,21.0550447300204,20.0303762763579,22.1003681277021,"Acanthurus achilles"
8,18.4961027667234,16.934185452261,20.1972968071824,21.0800470469687,20.0384267737311,22.1449480035241,"Acanthurus achilles"
9,18.4977673049774,16.9344266402037,20.201969684707,21.0906596858982,20.0431396665629,22.1701150691634,"Acanthurus achilles"
10,18.4983547246595,16.9344890712942,20.2036551816285,21.0951942060978,20.0449264799285,22.1768500171141,"Acanthurus achilles"
11,18.498564969726,16.9345052321249,20.2042816280186,21.0971442076508,20.0455977164194,22.1814128164198,"Acanthurus achilles"
12,18.4986412518025,16.9345094156564,20.2045144649412,21.0979880623547,20.0458498802536,22.1849711695781,"Acanthurus achilles"
13,18.4986692971803,16.9345104986808,20.2046010079756,21.0983554843345,20.0459446132345,22.1859858718043,"Acanthurus achilles"
0,0.466959819161704,-0.536476552323568,1.4186176330074,0.471762319157502,-0.541987246536606,1.43453912573775,"Acanthurus achilles"
1,12.9055639634895,11.9536123885789,13.9126200838608,12.9179217500876,11.9859214243038,13.9130274532327,"Acanthurus achilles"
2,16.7280017211218,15.8013549530022,17.6405288776854,16.6396737222593,15.9346171451708,17.3497372223445,"Acanthurus achilles"
3,17.9272478136353,16.6731276415903,19.1641473590288,17.7692255299871,17.005514001249,18.5286200477948,"Acanthurus achilles"
4,18.3108901341898,16.8645317360203,19.799757413115,18.1169623315814,17.2463660513621,18.9785863445709,"Acanthurus achilles"
5,18.4358951416836,16.9157936011717,20.0352755480895,18.2254903292331,17.2936322707895,19.1577635967334,"Acanthurus achilles"
6,18.477343244185,16.9296534887101,20.1303448164116,18.2598113598203,17.3109504432155,19.2130151880056,"Acanthurus achilles"
7,18.4913165588287,16.9332536397082,20.1812457429007,18.2708040810245,17.316274925374,19.2324175687385,"Acanthurus achilles"
8,18.4961027667234,16.934185452261,20.1972968071824,18.2743685278746,17.3179902476957,19.2394782335844,"Acanthurus achilles"
9,18.4977673049774,16.9344266402037,20.201969684707,18.2755381676809,17.318490625528,19.2415384658094,"Acanthurus achilles"
10,18.4983547246595,16.9344890712942,20.2036551816285,18.2759264345642,17.31863834556,19.242222580024,"Acanthurus achilles"
11,18.498564969726,16.9345052321249,20.2042816280186,18.2760567766998,17.3186806888906,19.2424494547308,"Acanthurus achilles"
12,18.4986412518025,16.9345094156564,20.2045144649412,18.2761010136685,17.3186928470608,19.2425254772284,"Acanthurus achilles"
13,18.4986692971803,16.9345104986808,20.2046010079756,18.2761161880903,17.3186963447271,19.2425509531875,"Acanthurus achilles"
14,18.498679741741,16.9345107790617,20.2046331760497,18.2761214477125,17.3186973530792,19.2425594910406,"Acanthurus achilles"
0,0.466959819161704,-0.536476552323568,1.4186176330074,0.431003954535749,-0.488789278050621,1.31385042259219,"Acanthurus achilles"
1,12.9055639634895,11.9536123885789,13.9126200838608,12.8118216463811,11.7684594960695,13.8931158086448,"Acanthurus achilles"
2,16.7280017211218,15.8013549530022,17.6405288776854,17.3802076841397,16.5269219181046,18.2839845393201,"Acanthurus achilles"
3,17.9272478136353,16.6731276415903,19.1641473590288,19.0894387975482,18.0403835066498,20.164223314392,"Acanthurus achilles"
4,18.3108901341898,16.8645317360203,19.799757413115,19.7375308776142,18.4523812125264,21.0339559315841,"Acanthurus achilles"
5,18.4358951416836,16.9157936011717,20.0352755480895,19.9864562863752,18.5683386243656,21.4512891844469,"Acanthurus achilles"
6,18.477343244185,16.9296534887101,20.1303448164116,20.0832656600319,18.61318623508,21.624464714835,"Acanthurus achilles"
7,18.4913165588287,16.9332536397082,20.1812457429007,20.1213737287851,18.6250352145751,21.7227185812126,"Acanthurus achilles"
0,0.466959819161704,-0.536476552323568,1.4186176330074,0.428246214436221,-0.488118116231524,1.32207265865945,"Acanthurus achilles"
1,12.9055639634895,11.9536123885789,13.9126200838608,12.7966746853664,11.7203396498472,13.8936547848512,"Acanthurus achilles"
2,16.7280017211218,15.8013549530022,17.6405288776854,17.4081262880548,16.5290177712422,18.3605808151948,"Acanthurus achilles"
3,17.9272478136353,16.6731276415903,19.1641473590288,19.1549578796061,17.9670199153074,20.3105166085852,"Acanthurus achilles"
4,18.3108901341898,16.8645317360203,19.799757413115,19.8268522191337,18.3699373038193,21.2610031537747,"Acanthurus achilles"
5,18.4358951416836,16.9157936011717,20.0352755480895,20.0891258167097,18.4859856538114,21.7231305552397,"Acanthurus achilles"
6,18.477343244185,16.9296534887101,20.1303448164116,20.1929736940741,18.5271012507699,21.9382560418513,"Acanthurus achilles"
0,0.466959819161704,-0.536476552323568,1.4186176330074,0.45295564453274,-0.519429842103078,1.37294472554334,"Acanthurus achilles"
