"age","ypred_m","ypred_lq","ypred_uq","yrep_m","yrep_lq","yrep_uq","Species","Location"
0,0.466514398202898,-0.564090578556761,1.5178251694884,0.426553761503605,-0.515429039618288,1.40496855880329,"Acanthurus achilles","Manuae"
1,13.6752467052568,12.5937069695637,14.7847986372304,13.5042816340088,12.3229268419821,14.7736040349886,"Acanthurus achilles","Manuae"
2,17.6556399117676,16.8491892946687,18.4969200881209,18.2735333601857,17.3520658191395,19.1531042475754,"Acanthurus achilles","Manuae"
3,18.8777312501222,17.8805103539974,19.8668715073902,20.0291233987515,19.424771617774,20.6241834784919,"Acanthurus achilles","Manuae"
4,19.2596641518645,18.093460326657,20.3944060609518,20.681220917026,20.1251353364893,21.2364980676006,"Acanthurus achilles","Manuae"
5,19.3810709431262,18.1364246769811,20.6041780064737,20.925558503515,20.3418810185132,21.5050384902334,"Acanthurus achilles","Manuae"
6,19.4202994840331,18.1515605058922,20.6703019698942,21.017887353097,20.4031095033615,21.631391785378,"Acanthurus achilles","Manuae"
7,19.4331775294053,18.1542741635009,20.7025849225177,21.0530631245431,20.4260495259242,21.6826815178276,"Acanthurus achilles","Manuae"
8,19.4374710895594,18.1549325143005,20.711585528596,21.0665715918048,20.434116402677,21.7039746751178,"Acanthurus achilles","Manuae"
9,19.4389244514976,18.1550970932432,20.7134130555699,21.0717995053502,20.4366143336307,21.717812576616,"Acanthurus achilles","Manuae"
10,19.4394238157195,18.1551370949731,20.714903306738,21.0738380472868,20.4371462064746,21.7202127979152,"Acanthurus achilles","Manuae"
11,19.4395979442514,18.1551468279236,20.7166901969026,21.0746387905459,20.4374456507549,21.7217940214413,"Acanthurus achilles","Manuae"
12,19.4396595567111,18.1551491988817,20.7174328322249,21.0749555767498,20.4375297872396,21.7227602213343,"Acanthurus achilles","Manuae"
13,19.439681675411,18.1551497772093,20.7177415141976,21.0750817764015,20.4375441718325,21.7231708476648,"Acanthurus achilles","Manuae"
14,19.4396897309065,18.1551499184814,20.7178698338984,21.0751323927185,20.4375487361339,21.7233453796994,"Acanthurus achilles","Manuae"
15,19.4396927067674,18.1551499530464,20.7179231812153,21.0751528282696,20.4375501844391,21.7234195695383,"Acanthurus achilles","Manuae"
16,19.4396938217247,18.1551499615184,20.7179453612181,21.0751611319274,20.4375506440128,21.7234511085577,"Acanthurus achilles","Manuae"
17,19.4396942453222,18.155149963599,20.7179545834162,21.0751645271187,20.4375507898472,21.7234645170825,"Acanthurus achilles","Manuae"
18,19.4396944084789,18.155149964111,20.717958418072,21.0751659237942,20.4375508361251,21.7234702179152,"Acanthurus achilles","Manuae"
19,19.4396944721731,18.1551499642373,20.7179600126053,21.0751665017414,20.437550850811,21.7234726418235,"Acanthurus achilles","Manuae"
20,19.4396944973673,18.1551499642686,20.7179606756657,21.0751667422704,20.4375508554715,21.7234736724741,"Acanthurus achilles","Manuae"
21,19.4396945074611,18.1551499642763,20.7179609513946,21.0751668429306,20.4375508569505,21.7234741107236,"Acanthurus achilles","Manuae"
22,19.4396945115553,18.1551499642782,20.7179610660566,21.0751668852838,20.4375508574199,21.7234742970796,"Acanthurus achilles","Manuae"
23,19.4396945132358,18.1551499642787,20.7179611137395,21.0751669031972,20.4375508575689,21.7234743763254,"Acanthurus achilles","Manuae"
24,19.4396945139335,18.1551499642788,20.717961133569,21.0751669108119,20.4375508576161,21.7234744100245,"Acanthurus achilles","Manuae"
25,19.4396945142264,18.1551499642789,20.7179611418154,21.0751669140647,20.4375508576311,21.7234744243551,"Acanthurus achilles","Manuae"
26,19.4396945143505,18.1551499642789,20.7179611452448,21.0751669154607,20.4375508576359,21.7234744304494,"Acanthurus achilles","Manuae"
27,19.4396945144037,18.1551499642789,20.717961146671,21.0751669160625,20.4375508576374,21.7234744330411,"Acanthurus achilles","Manuae"
0,0.466514398202898,-0.564090578556761,1.5178251694884,0.429233356274042,-0.52011089652167,1.41633209010327,"Acanthurus achilles","Manuae"
1,13.6752467052568,12.5937069695637,14.7847986372304,13.5206545726334,12.334392944807,14.7779463237079,"Acanthurus achilles","Manuae"
2,17.6556399117676,16.8491892946687,18.4969200881209,18.2304211477104,17.3318220673058,19.1308202620935,"Acanthurus achilles","Manuae"
3,18.8777312501222,17.8805103539974,19.8668715073902,19.9439726710487,19.2082875418298,20.700589199344,"Acanthurus achilles","Manuae"
4,19.2596641518645,18.093460326657,20.3944060609518,20.5741892897684,19.7567302378193,21.4059214156601,"Acanthurus achilles","Manuae"
5,19.3810709431262,18.1364246769811,20.6041780064737,20.8083974169876,19.9083541307842,21.7163428491819,"Acanthurus achilles","Manuae"
6,19.4202994840331,18.1515605058922,20.6703019698942,20.8963141355005,19.9564398221819,21.8551348966406,"Acanthurus achilles","Manuae"
7,19.4331775294053,18.1542741635009,20.7025849225177,20.9296374505718,19.9725417341748,21.9210872958586,"Acanthurus achilles","Manuae"
8,19.4374710895594,18.1549325143005,20.711585528596,20.9423869216472,19.974344748935,21.9563410488449,"Acanthurus achilles","Manuae"
9,19.4389244514976,18.1550970932432,20.7134130555699,20.9473092657777,19.9778127501694,21.9687579693846,"Acanthurus achilles","Manuae"
10,19.4394238157195,18.1551370949731,20.714903306738,20.9492264475257,19.9781799000279,21.9724955181566,"Acanthurus achilles","Manuae"
11,19.4395979442514,18.1551468279236,20.7166901969026,20.9499795385979,19.978298628845,21.9754978719572,"Acanthurus achilles","Manuae"
12,19.4396595567111,18.1551491988817,20.7174328322249,20.9502778092624,19.9783357477048,21.9760847423901,"Acanthurus achilles","Manuae"
13,19.439681675411,18.1551497772093,20.7177415141976,20.9503968900982,19.9783473555752,21.9763225520133,"Acanthurus achilles","Manuae"
0,0.466514398202898,-0.564090578556761,1.5178251694884,0.497412955487671,-0.6212073829431,1.62528774943608,"Acanthurus achilles","Manuae"
1,13.6752467052568,12.5937069695637,14.7847986372304,13.715591677289,12.7443859566675,14.7110112639688,"Acanthurus achilles","Manuae"
2,17.6556399117676,16.8491892946687,18.4969200881209,17.093119773517,16.4310660289366,17.7596478629682,"Acanthurus achilles","Manuae"
3,18.8777312501222,17.8805103539974,19.8668715073902,17.9739491565245,17.2262822641618,18.7044683737182,"Acanthurus achilles","Manuae"
4,19.2596641518645,18.093460326657,20.3944060609518,18.208143066274,17.3662011155977,19.0413985286569,"Acanthurus achilles","Manuae"
5,19.3810709431262,18.1364246769811,20.6041780064737,18.2715643177876,17.4018929952923,19.1453571050621,"Acanthurus achilles","Manuae"
6,19.4202994840331,18.1515605058922,20.6703019698942,18.2890426776802,17.4074957598788,19.1772653030483,"Acanthurus achilles","Manuae"
7,19.4331775294053,18.1542741635009,20.7025849225177,18.2939409372067,17.4087074479429,19.1859935158656,"Acanthurus achilles","Manuae"
8,19.4374710895594,18.1549325143005,20.711585528596,18.2953358813878,17.4089664243386,19.1885112783463,"Acanthurus achilles","Manuae"
9,19.4389244514976,18.1550970932432,20.7134130555699,18.2957393122534,17.409021891311,19.1892382630927,"Acanthurus achilles","Manuae"
10,19.4394238157195,18.1551370949731,20.714903306738,18.2958577315734,17.4090337997178,19.1894520079962,"Acanthurus achilles","Manuae"
11,19.4395979442514,18.1551468279236,20.7166901969026,18.2958929912617,17.4090363634558,19.1895148638258,"Acanthurus achilles","Manuae"
12,19.4396595567111,18.1551491988817,20.7174328322249,18.295903635462,17.4090369171447,19.1895333505745,"Acanthurus achilles","Manuae"
13,19.439681675411,18.1551497772093,20.7177415141976,18.2959068916926,17.4090370371544,19.1895387884473,"Acanthurus achilles","Manuae"
14,19.4396897309065,18.1551499184814,20.7178698338984,18.2959079006769,17.4090370632714,19.1895403881583,"Acanthurus achilles","Manuae"
0,0.466514398202898,-0.564090578556761,1.5178251694884,0.451426352279862,-0.548779917955017,1.48953673963449,"Acanthurus achilles","Manuae"
1,13.6752467052568,12.5937069695637,14.7847986372304,13.628935414208,12.4920310313912,14.7867523585919,"Acanthurus achilles","Manuae"
2,17.6556399117676,16.8491892946687,18.4969200881209,17.8866937086501,17.0242717414145,18.7805723113975,"Acanthurus achilles","Manuae"
3,18.8777312501222,17.8805103539974,19.8668715073902,19.2879002740673,18.2763223638074,20.2993672901213,"Acanthurus achilles","Manuae"
