"Species","Location","Agei","Estimate","Est.Error","Q2.5","Q97.5"
"Acanthurus achilles","Manuae",0,0.119902095827274,5.8730180421547,-14.4511453354219,8.16846427295227
"Acanthurus achilles","Manuae",0.1,2.09689176104705,5.10992574483545,-10.2152698659285,9.66544196613138
"Acanthurus achilles","Manuae",0.2,3.87534766074238,4.4910805767885,-6.59202675516162,10.9985405328304
"Acanthurus achilles","Manuae",0.3,5.47658939901717,3.99114316126399,-3.52767579081557,12.2444778744138
"Acanthurus achilles","Manuae",0.4,6.91949464483598,3.58798340866761,-0.938711375344282,13.3220260997432
"Acanthurus achilles","Manuae",0.5,8.22079646687957,3.26238837813493,1.31055263891462,14.2822304199724
"Acanthurus achilles","Manuae",0.6,9.39534233183818,2.99791772733828,3.27431956353197,15.1435566041829
"Acanthurus achilles","Manuae",0.7,10.4563199781074,2.78080519831725,4.92155754491093,15.9125707705522
"Acanthurus achilles","Manuae",0.8,11.4154546329086,2.59982181613765,6.2986896109155,16.5615017663885
"Acanthurus achilles","Manuae",0.9,12.2831814079275,2.44606043383589,7.52102480270093,17.1571986059755
"Acanthurus achilles","Manuae",1,13.0687961694087,2.31264693450599,8.59192265670885,17.6582103746918
"Acanthurus achilles","Manuae",1.1,13.7805877187783,2.19441095879681,9.51416934926056,18.1208660881525
"Acanthurus achilles","Manuae",1.2,14.425953727152,2.08755455993637,10.3324401012347,18.5207306652243
"Acanthurus achilles","Manuae",1.3,15.0115025312963,1.98934838738829,11.0813204725507,18.8605245860037
"Acanthurus achilles","Manuae",1.4,15.5431426111344,1.8978716911345,11.7492386840071,19.1717487660316
"Acanthurus achilles","Manuae",1.5,16.0261613224925,1.81180095863105,12.36859288882,19.4378386156654
"Acanthurus achilles","Manuae",1.6,16.4652942473214,1.73024455807109,12.9461310281032,19.6678908008964
"Acanthurus achilles","Manuae",1.7,16.8647863419482,1.65261707512971,13.4427051773711,19.8819552894523
"Acanthurus achilles","Manuae",1.8,17.2284459076254,1.57854593100434,13.9203754968474,20.0759978315834
"Acanthurus achilles","Manuae",1.9,17.5596922730499,1.50780321977306,14.3684412730614,20.2519795180462
"Acanthurus achilles","Manuae",2,17.861597962471,1.44025669558662,14.7800473576891,20.4090699072197
"Acanthurus achilles","Manuae",2.1,18.1369260228334,1.37583499938148,15.1625679669861,20.5407059733845
"Acanthurus achilles","Manuae",2.2,18.388163096827,1.31450330313376,15.5194368662883,20.6630308130205
"Acanthurus achilles","Manuae",2.3,18.6175487538253,1.25624647324144,15.8489554314598,20.7795472351979
"Acanthurus achilles","Manuae",2.4,18.8271015258204,1.20105759526813,16.1686429893233,20.8838838809809
"Acanthurus achilles","Manuae",2.5,19.0186420392256,1.14893027629211,16.4554715115825,20.9703474325444
"Acanthurus achilles","Manuae",2.6,19.1938135845923,1.0998535767484,16.7205304836576,21.0518527234683
"Acanthurus achilles","Manuae",2.7,19.3541004238756,1.05380875023065,16.9725920522841,21.1359264442523
"Acanthurus achilles","Manuae",2.8,19.5008440979801,1.01076721293979,17.2115762632391,21.2119817152751
"Acanthurus achilles","Manuae",2.9,19.635257965195,0.970689345024561,17.4459990158218,21.2787853267626
"Acanthurus achilles","Manuae",3,19.7584401731223,0.933523859687295,17.6484430141907,21.3448799722233
"Acanthurus achilles","Manuae",3.1,19.8713852422715,0.89920757404652,17.8492992096739,21.4082478695439
"Acanthurus achilles","Manuae",3.2,19.9749944181529,0.867665486314598,18.0326918858448,21.4652559713391
"Acanthurus achilles","Manuae",3.3,20.0700849300494,0.838811112262469,18.1957819844273,21.5207550178228
"Acanthurus achilles","Manuae",3.4,20.1573982783201,0.812547063922297,18.3456115754274,21.5726015742397
"Acanthurus achilles","Manuae",3.5,20.2376076577896,0.788765867884236,18.4849981296857,21.6169116993839
"Acanthurus achilles","Manuae",3.6,20.3113246122408,0.767351022074171,18.6218121229704,21.6580086590465
"Acanthurus achilles","Manuae",3.7,20.3791050040251,0.7481782815715,18.7225903689417,21.6984589589549
"Acanthurus achilles","Manuae",3.8,20.4414543731416,0.731117149358249,18.8225799177404,21.7420240848034
"Acanthurus achilles","Manuae",3.9,20.4988327516378,0.716032530761111,18.9282989751667,21.7883616137483
"Acanthurus achilles","Manuae",4,20.5516589917087,0.702786494575942,19.0118143400157,21.8337977895917
"Acanthurus achilles","Manuae",4.1,20.6003146592862,0.691240072657611,19.0889986149144,21.8635298603269
"Acanthurus achilles","Manuae",4.2,20.6451475391046,0.681255025207938,19.1656923758041,21.8939786148283
"Acanthurus achilles","Manuae",4.3,20.6864747921056,0.672695501792783,19.2244254442083,21.9256582781103
"Acanthurus achilles","Manuae",4.4,20.7245858015258,0.665429537583562,19.2754904265186,21.9530169407489
"Acanthurus achilles","Manuae",4.5,20.7597447400097,0.659330338708766,19.3263046398349,21.9830093554778
"Acanthurus achilles","Manuae",4.6,20.7921928865587,0.654277327615507,19.3828954074064,22.0069088506888
"Acanthurus achilles","Manuae",4.7,20.8221507189938,0.650156936641318,19.4199060844375,22.0343237341186
"Acanthurus achilles","Manuae",4.8,20.8498198048399,0.646863153629315,19.4554869832051,22.0599893384404
"Acanthurus achilles","Manuae",4.9,20.8753845110807,0.644297836062939,19.4752428221536,22.0779756571921
