"Family","Genus","Species","ID","Agei","Ri","Agecpt","Rcpt","Lcpt","L0p","R0p","Li_sp_m","Li_sp_sd","Li_sploc_m","Li_sploc_sd","Weight","Location","Observer"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",0,0.014,27,1.07659108114909,245.51,1.7,0.014,1.7,5.03672413666979e-15,1.7,4.67890058606073e-15,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",1,0.401479502866136,27,1.07659108114909,245.51,1.7,0.014,128.713964512516,13.1981871606576,128.655710976693,12.5601671947897,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",2,0.45699752129099,27,1.07659108114909,245.51,1.7,0.014,140.364641048414,12.6290016498285,140.317089943574,12.0163802846861,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",3,0.497228257324887,27,1.07659108114909,245.51,1.7,0.014,148.457949118627,12.1204253798632,148.417480654162,11.5309843353146,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",4,0.533512305619068,27,1.07659108114909,245.51,1.7,0.014,155.537459914309,11.6031156234955,155.502875237619,11.0375409546822,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",5,0.557413744393526,27,1.07659108114909,245.51,1.7,0.014,160.097352545375,11.2353314569374,160.066380078968,10.686859770491,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",6,0.577822076025485,27,1.07659108114909,245.51,1.7,0.014,163.930214053494,10.9057600725178,163.902160235113,10.3726946076771,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",7,0.606328831548806,27,1.07659108114909,245.51,1.7,0.014,169.196118678785,10.4232079763237,169.171887518653,9.91282008365335,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",8,0.633834195224624,27,1.07659108114909,245.51,1.7,0.014,174.185717972114,9.93489039071342,174.164896748748,9.44758011369336,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",9,0.65553632261755,27,1.07659108114909,245.51,1.7,0.014,178.06298837003,9.53499706657413,178.044666784321,9.06667262539296,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",10,0.681746783419368,27,1.07659108114909,245.51,1.7,0.014,182.679453584291,9.03602185077558,182.663929349023,8.59148800288224,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",11,0.706612155701015,27,1.07659108114909,245.51,1.7,0.014,186.995399048906,8.54748561572575,186.982307642905,8.12634492313556,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",12,0.728321059161422,27,1.07659108114909,245.51,1.7,0.014,190.715314628373,8.10963001710954,190.70417392954,7.70953439379015,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",13,0.755540267841155,27,1.07659108114909,245.51,1.7,0.014,195.319061308577,7.54660021390542,195.310141846339,7.17366871509482,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",14,0.782776636479441,27,1.07659108114909,245.51,1.7,0.014,199.861678046209,6.96852193277689,199.854735379172,6.62359391338051,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",15,0.803083301847122,27,1.07659108114909,245.51,1.7,0.014,203.208744083336,6.52850650023176,203.203118020684,6.20496685063443,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",16,0.825106064301158,27,1.07659108114909,245.51,1.7,0.014,206.801838430084,6.04305110650607,206.797490929007,5.74317851991798,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",17,0.847197534501071,27,1.07659108114909,245.51,1.7,0.014,210.369069301888,5.54785557253185,210.365850698559,5.27219759195463,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",18,0.868354769726337,27,1.07659108114909,245.51,1.7,0.014,213.75191054898,5.06623609210017,213.749631141172,4.81419670667554,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",19,0.887975249632795,27,1.07659108114909,245.51,1.7,0.014,216.860728337328,4.61343984576183,216.859197704189,4.38366455706938,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",20,0.910822949900823,27,1.07659108114909,245.51,1.7,0.014,220.447724585219,4.07901918321603,220.446920023638,3.87559270957555,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",21,0.932879668690783,27,1.07659108114909,245.51,1.7,0.014,223.877823970165,3.55611608164367,223.877573841585,3.378542934446,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",22,0.95376865761373,27,1.07659108114909,245.51,1.7,0.014,227.097687892488,3.05484083136142,227.097832324117,2.90211690751416,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",23,0.978868331928942,27,1.07659108114909,245.51,1.7,0.014,230.930990304902,2.44506503401157,230.931443731263,2.32265250144329,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",24,0.99799408432568,27,1.07659108114909,245.51,1.7,0.014,233.826673166028,1.97517787627672,233.827243021218,1.87618393422983,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",25,1.01664539264454,27,1.07659108114909,245.51,1.7,0.014,236.630110624698,1.5127471202436,236.630696420283,1.43685067292155,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",26,1.03429060908402,27,1.07659108114909,245.51,1.7,0.014,239.264250199092,1.07157007220724,239.264763574598,1.01775529092497,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",27,1.05683400546464,27,1.07659108114909,245.51,1.7,0.014,242.604728774267,0.502885155627972,242.60502764186,0.477598548014207,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_002",0,NA,13,0.793880902516876,229.649,1.7,NA,1.7,3.75859365091506e-15,1.7,3.64468722551498e-15,173.1,"Manuae","Jean Bienvenu"
