"family";"species";"l0p"
"Acanthuridae";"Acanthurus achilles";"1.7"
"Acanthuridae";"Acanthurus lineatus";"1.7"
"Acanthuridae";"Acanthurus nigricans";"1.7"
"Acanthuridae";"Acanthurus pyroferus";"1.7"
"Acanthuridae";"Acanthurus triostegus";"1.7"
"Acanthuridae";"Ctenochaetus striatus";"1.7"
"Acanthuridae";"Naso lituratus";"1.7"
"Acanthuridae";"Zebrasoma scopas";"1.7"
"Apogonidae";"Ostorhinchus angustatus";"4.25"
"Apogonidae";"Ostorhinchus apogonoides";"4.25"
"Apogonidae";"Pristiapogon taeniopterus";"4.25"
"Balistidae";"Balistapus undulatus";"1.8"
"Balistidae";"Odonus niger";"1.8"
"Carangidae";"Caranx melampygus";"3.15"
"Chaetodontidae";"Chaetodon citrinellus";"1.45"
"Holocentridae";"Myripristis berndti";"1.8"
"Holocentridae";"Sargocentron microstoma";"1.8"
"Labridae";"Epibulus insidiator";"2.2"
"Lutjanidae";"Lutjanus fulvus";"1.95"
"Lutjanidae";"Lutjanus kasmira";"1.83"
"Mullidae";"Mulloidichthys flavolineatus";"2.5"
"Mullidae";"Parupeneus barberinus";"1.95"
"Pomacanthidae";"Centropyge bispinosa";"3.3"
"Pomacanthidae";"Centropyge flavissima";"1.95"
"Pomacentridae";"Chromis iomelas";"3.05"
"Pomacentridae";"Dascyllus aruanus";"2.1"
"Pomacentridae";"Dascyllus flavicaudus";"2.1"
"Pomacentridae";"Stegastes albifasciatus";"3.05"
"Pomacentridae";"Stegastes nigricans";"3.05"
"Scaridae";"Chlorurus spilurus";"1.65"
"Scaridae";"Scarus psittacus";"1.65"
"Serranidae";"Cephalopholis argus";"1.9"
"Serranidae";"Epinephelus hexagonatus";"1.5"
"Serranidae";"Epinephelus merra";"1.5"
"Serranidae";"Epinephelus polyphekadion";"1.5"
"Serranidae";"Plectropomus laevis";"1.62"
"Acanthuridae";"Ctenochaetus marginatus";"1.7"
"Lutjanidae";"Lutjanus gibbus";"1.95"
"Pomacentridae";"Abudefduf sexfasciatus";"3.05"
"Acanthuridae";"Naso unicornis";"1.7"
"Chaetodontidae";"Chaetodon ornatissimus";"1.45"
"Labridae";"Cheilinus chlorourus";"2.2"
"Labridae";"Halichoeres trimaculatus";"2.2"
"Siganidae";"Siganus argenteus";"2"
NA;NA;NA
"Pomacentridae";"Chromis viridis";"3.05"
"Siganidae";"Siganus spinus";"2"
"Serranidae";"Epinephelus fasciatus";"1.5"
