Names;Species;Location;Habitat;photo;TL_cm;SL_cm;Masse (g);Mev(g);MO_OP;MO_W;PRO;Sex;GEN;SIA 1;SIA 2;OTO;BAR;AE2;W gon (g);W (liv);AE1;VIT;µ NUT;CNP;COMMENTS
GAM18_B001;Naso_unicornis;A2;lagoon;IMG_0405;53.155;39.949;1650;1250;26;20;0;F;1;1;1;1;0;1;7.3;24.5;0;1;1;;
GAM18_B002;Rhinecanthus_aculeatus;A2;lagoon;IMG_0406;17.904;14.947;139;132;12;14;0;M;1;1;1;1;0;0;1.45;3;0;0;0;;
GAM18_B003;Myripristis_berndti;A2;lagoon;IMG_0407;18.403;14.247;NA;101;31;20;0.2;M;1;1;1;1;0;0;0.23;0.67;0;0;0;;no tube for gonds and liver
GAM18_B004;Synodus_variegatus;A2;lagoon;IMG_0408;22.083;19.655;98;93;42;14;0;NA;1;1;1;1;0;0;NA;1.2;0;0;0;;
GAM18_B005;Mulloidichthys_flavolineatus;A2;lagoon;IMG_0409;23.612;18.798;122;114;18;33;4;F;1;1;1;1;0;1;0.55;0.75;0;0;0;;
GAM18_B006;Acanthurus_achilles;A2;lagoon;IMG_0410;19.284;15.203;114;84.5;8;46;0;NA;1;1;1;1;0;0;NA;NA;0;0;0;;
GAM18_B007;Centropyge_flavissima;A2;lagoon;IMG_0411;12.023;9.992;58;51.2;4;20;0.5;M;1;1;1;1;0;1;0.07;0.12;0;0;0;;
GAM18_B008;Dascyllus_flavicaudus;A2;lagoon;IMG_0412;8.89;6.892;21;19;5;6;1;F;1;1;1;1;0;0;0.1;0.09;0;0;0;;
GAM18_B009;Abudefduf_sexfasciatus;A2;lagoon;IMG_0413;15.889;12.129;75;71;13;4;5;M;1;1;1;1;0;1;0.04;0.5;0;0;0;;
GAM18_B010;Abudefduf_sexfasciatus;A2;lagoon;IMG_0414;17.052;12.695;78;72.8;13;5;5;M;1;1;1;1;0;1;0.03;0.24;0;0;0;;parasites collé intestins
GAM18_B011;Cheilinus_chlorourus;A2;lagoon;IMG_0415;21.556;17.36;197;186.6;23;8;13;NA;1;1;1;1;0;1;NA;1.48;0;0;0;;
GAM18_B012;Gymnosarda_unicolor;A2;lagoon;IMG_0429;98.469;86.323;12950;11950;117;10;0;F;1;1;1;1;1;1;64.6;59.67;1;1;1;;
GAM18_B013;Chromis_viridis;A2;lagoon;IMG_0416;11.467;8.588;20.5;16.4;11;26;5;M;1;1;1;1;1;1;0.01;0.04;0;0;0;;
