ID;species;Photo_ID;Photo_INT_ID;SIA_B;SIA_A;oto;cnp;sex;AE1;AE2;gen;date;site;biomass;wev;TL_cm;FL_cm;SL_cm;TL;FL;SL;MO;MW;PRO;L_dig;D1;D2;D3;D4;D5;w_liv;w_gon;comments
AU_CH_MA_03_17_046;Aulostomus_chimensis;IMG_9975;;NA;NA;1;1;M;0;0;1;09/03/2017;NA;231.6;220;50.1;0;46.5;501;;465;18.4;28;0;NA;NA;NA;NA;NA;NA;NA;NA;2 fish in stomac (chromis), masse unusable as SIA was done before
AU_CH_MA_03_17_047;Aulostomus_chimensis;IMG_9977;;NA;NA;1;1;NA;0;0;1;09/03/2017;NA;16.6;15.3;23.4;0;21.6;234;;216;14;15;0;NA;NA;NA;NA;NA;NA;NA;NA;1 fish in stomac (chromis), masse unusable as SIA was done before
AU_CH_MA_03_17_048;Aulostomus_chimensis;IMG_9979;;NA;NA;1;1;M;0;0;1;09/03/2017;NA;184.8;169.3;47;0;32.8;470;;328;19.4;23;0;NA;NA;NA;NA;NA;NA;NA;NA;2 fish in stomac (chromis), masse unusable as SIA was done before
TR_SP_MA_03_17_049;Trachinotus_sp;IMG_9980;;NA;NA;1;1;F;0;0;1;09/03/2017;NA;156.4;150;28;21;18.4;280;210;184;23.5;25;4;NA;NA;NA;NA;NA;NA;NA;NA;masse unusable
TR_SP_MA_03_17_050;Trachinotus_sp;IMG_9981;;NA;NA;1;1;NA;0;0;1;09/03/2017;NA;58.8;55.8;19.2;14.8;13.1;192;148;131;21.8;22.7;2.8;NA;NA;NA;NA;NA;NA;NA;NA;1 crabe dans estomac, masse unusable
CR_CR_MA_03_17_051;Crenimugil_crenilabis;IMG_9983;;NA;NA;1;1;F;0;0;1;09/03/2017;NA;1365.8;1223.2;49;45;38;490;450;380;24.7;35.4;32;NA;NA;NA;NA;NA;NA;NA;NA;masse unusable, parasites, 3 sac cnp
SA_GR_MA_03_17_052;Saurida_gracilis;IMG_9984;;NA;NA;1;1;F;0;0;1;09/03/2017;NA;89.9;84.6;21.7;19.7;18.2;217;197;182;47;43;0;NA;NA;NA;NA;NA;NA;NA;NA;masse unusable
CA_SE_MA_03_17_053;Caranx_sexfaciatus;IMG_9985;;NA;NA;1;1;NA;0;0;1;09/03/2017;NA;46.6;43.6;16.4;13.8;12.1;164;138;121;19.2;23.8;4.6;NA;NA;NA;NA;NA;NA;NA;NA;masse unusable
CH_OR_MA_03_17_054;Chaetodon_ornatissimus;IMG_9986;;NA;NA;1;1;NA;0;0;1;09/03/2017;NA;97.8;87.9;14.3;0;12.3;143;;123;12;11.4;4;NA;NA;NA;NA;NA;NA;NA;NA;masse unusable
CH_OR_MA_03_17_055;Chaetodon_ornatissimus;IMG_9986;;NA;NA;1;1;F;0;0;1;09/03/2017;NA;111.2;98.9;15.6;0;13.2;156;;132;11.5;12.5;3;NA;NA;NA;NA;NA;NA;NA;NA;masse unusable
CH_OR_MA_03_17_056;Chaetodon_ornatissimus;IMG_9986;;NA;NA;1;1;F;0;0;1;09/03/2017;NA;126.9;113.4;15.3;0;13.3;153;;133;12.5;13.5;1.1;NA;NA;NA;NA;NA;NA;NA;NA;masse unusable
CH_OR_MA_03_17_057;Chaetodon_ornatissimus;IMG_9986;;NA;NA;1;1;M;0;0;1;09/03/2017;NA;107.7;99.8;15.4;0;13.4;154;;134;11.2;13;1.4;NA;NA;NA;NA;NA;NA;NA;NA;masse unusable
