ID;species;photo_ID;Photo_INT_ID;SIA_B;SIA_A;oto;cnp;sex;AE1;AE2;gen;date;site;biomass;wev;TL cm;FL;SL;MO;MW;PRO;L_dig;D1;D2;D3;D4;D5;w_liv;w_gon;comments
AC_TR_MA_03_17_001;Acanthurus_triostegus;IMG_9931;;1;1;1;1;m;1;1;1;09/03/17;cin;117.3;105.6;16.3;15.9;12;10.8;10.8;0;463;3;6.3;4.4;4.1;5;NA;0.798;"part tissue missing; perced intestine"
AC_TR_MA_03_17_002;Acanthurus_triostegus;IMG_9931;;1;1;1;1;f;1;1;1;09/03/17;cin;106.1;94.5;16.4;16.1;12.5;12;11.5;0;530;11;4;4.9;4.9;5.2;NA;0.497;part tissue missing
AC_TR_MA_03_17_003;Acanthurus_triostegus;IMG_9931;;1;1;1;1;m;1;1;1;09/03/17;cin;145.5;129.7;18.3;17.8;13.7;11.6;14.7;0;620;4;2.5;2.7;4.5;5.3;NA;2;part tissue missing
AC_TR_MA_03_17_004;Acanthurus_triostegus;IMG_9931;;1;1;1;1;m;1;1;1;09/03/17;cin;155.2;139.2;18.8;18.1;13.8;10.2;10.3;0;720;3.1;2.2;4.7;3.8;4.7;NA;3.7;part tissue missing
FI_PE_MA_03_17_005;Fistularia_petimba;IMG_9932;;1;1;0;1;NA;0;0;1;09/03/17;cin;70.2;62.9;58;48.6;47;NA;NA;NA;107;6.3;7.5;4.5;3;3.2;NA;NA;"part tissue missing; 4 fish in gut: holocentrid and blennie"
CT_MA_MA_03_17_006;Ctenochaetus_marginatus;IMG_9935;;1;1;1;1;f;0;0;1;09/03/17;cin;320.7;305.4;27;24;19;28;24.4;0;540;9.4;6.1;6.1;5.5;4.1;NA;NA;"part tissue missing; empty guts"
CT_MA_MA_03_17_007;Ctenochaetus_marginatus;IMG_9936;;1;1;1;1;f;0;0;1;09/03/17;cin;307.5;290.6;26.5;24;18.5;26.9;24;0;NA;NA;NA;NA;NA;NA;NA;NA;"part tissue missing; empty guts"
AC_PY_MA_03_17_008;Acanthurus_pyroferus;IMG_9937;;1;1;1;1;NA;1;1;1;09/03/17;cin;185.2;160.9;23;20.5;17;13.9;13;2.1;91;4.9;6;4.8;3.7;4.2;NA;NA;"part tissue missing; ae stomach"
AC_PY_MA_03_17_009;Acanthurus_pyroferus;IMG_9937;;1;1;1;1;F;1;0;1;09/03/17;cin;171.8;149.5;22.5;20;16;14;14;2;NA;7;NA;NA;NA;NA;NA;NA;"part tissue missing; ae stomach"
AC_PY_MA_03_17_010;Acanthurus_pyroferus;IMG_9937;;1;1;1;1;F;1;1;1;09/03/17;cin;177.7;158.4;22.8;20.5;17.5;13.6;13.3;3.5;37;3.5;10;5;4;7;NA;NA;"part tissue missing; ae stomach"
AC_PY_MA_03_17_011;Acanthurus_pyroferus;IMG_9937;;1;1;1;1;NA;0;0;1;09/03/17;cin;124.4;108.6;19.5;17.5;14;10.2;10;1.8;83;1.8;1.3;3.1;1.8;2.6;NA;NA;"part tissue missing; ae stomach"
AC_PY_MA_03_17_012;Acanthurus_pyroferus;IMG_9938;;1;1;1;1;M;1;0;1;09/03/17;cin;146.6;148.6;20.5;14;14.5;13.5;13.7;3.2;NA;3.2;NA;NA;NA;NA;NA;NA;"part tissue missing; ae stomach"
AC_PY_MA_03_17_013;Acanthurus_pyroferus;IMG_9938;;1;1;1;1;NA;1;1;1;09/03/17;cin;130.1;NA;19.5;14.5;14;10.8;10.9;2.8;NA;2.8;NA;NA;NA;NA;NA;NA;"part tissue missing; ae stomach; ae end empty so last part"
LU_KA_MA_03_17_014;Lutjanus_kasmira;IMG_9956;;1;1;1;1;I;0;1;1;09/03/17;;20.6;19.5;11.5;11;8.5;15;12;3;82.2;2;2.5;2.4;2.3;0.9;NA;NA;
LU_KA_MA_03_17_015;Lutjanus_kasmira;IMG_9956;;1;1;1;1;I;0;0;1;09/03/17;;12.2;11.1;9.5;9;7;16.1;16;3.7;105.3;3.2;1.2;2.3;1.6;1.1;NA;NA;
