Species;Valid_name;Names;BioM_g;Masse_seche_post_lyoph;LT_mm;LS_mm;code_BAR_Extraction;Nanodrop1(ng/ul);N1_260/280;Nanodrop2(ng/ul);N2_260/280;Bw_mm;Ed;OpD;PorL;Md;Mw;Pro;T;dGr;Gl;Bl;Bd;Hd;Eh;Mo;Or;PFl;PFi;PFs;PFb;CPd;CFd;CFs
Abudefduf_sexfaciatus;Abudefduf_sexfaciatus;AB_SE_MO_03_16_001;3.9;0.9813;64.067;44.981;19*;27.2;2.1;NA;NA;;;;;6;6;2;;;;;;;;;;;;;;;;
Abudefduf_sexfaciatus;Abudefduf_sexfaciatus;AB_SE_MO_03_16_002;3.8;0.9122;61.315;42.781;20;50.02;1.89;NA;NA;;;;;5;4;1;;;;;;;;;;;;;;;;
Abudefduf_sexfaciatus;Abudefduf_sexfaciatus;AB_SE_MO_03_16_003;3;0.704;56.104;39.615;21;38.02;1.85;NA;NA;;;;;4;4;1;;;;;;;;;;;;;;;;
Abudefduf_sexfaciatus;Abudefduf_sexfaciatus;AB_SE_MO_03_16_004;1.7;0.4768;51.616;36.457;22;12.22;1.94;NA;NA;;;;;4;4;2;;;;;;;;;;;;;;;;
Abudefduf_sexfaciatus;Abudefduf_sexfaciatus;AB_SE_MO_03_16_005;2.1;0.4839;50.584;37.376;23;11.42;1.63;4.32;1.35;;;;;4;3;1;;;;;;;;;;;;;;;;
Acanthurus_achilles;Acanthurus_achilles;AC_AC_SC_03_16_001;201.3;62.7642;245.51;182.435;288;33.593;1.777;33.493;1.83;;;;;15;9;0;;;;;;;;;;;;;;;;
Acanthurus_achilles;Acanthurus_achilles;AC_AC_SC_03_16_002;173.1;52.0561;229.649;175.274;289;17.893;1.672;19.793;1.706;;;;;13;8;0;;;;;;;;;;;;;;;;
Acanthurus_achilles;Acanthurus_achilles;AC_AC_SC_03_16_003;147.4;47.6758;204.517;157.674;290;8.393;1.713;10.393;1.89;;;;;8;8;0;;;;;;;;;;;;;;;;
Acanthurus_achilles;Acanthurus_achilles;AC_AC_SC_03_16_004;162;52.6758;216.417;165.455;291;6.493;1.755;6.593;1.498;;;;;8;6;0;;;;;;;;;;;;;;;;
Acanthurus_achilles;Acanthurus_achilles;AC_AC_SC_03_16_005;176.5;55.6969;220.536;164.869;292;17.193;1.622;21.993;1.641;;;;;11;7;0;;;;;;;;;;;;;;;;
Acanthurus_achilles;Acanthurus_achilles;AC_AC_SC_03_16_006;136.8;40.3618;195.416;153.193;293;13.993;1.794;13.993;1.771;;;;;13;8;0;;;;;;;;;;;;;;;;
Acanthurus_achilles;Acanthurus_achilles;AC_AC_SC_03_16_007;129;41.7862;191.726;152.698;294;7.693;1.637;7.791;1.624;;;;;10;7;0;;;;;;;;;;;;;;;;
Acanthurus_achilles;Acanthurus_achilles;AC_AC_SC_03_16_008;141.3;45.8195;206.451;156.886;295;10.993;1.593;9.693;1.563;;;;;10;7;0;;;;;;;;;;;;;;;;
Acanthurus_achilles;Acanthurus_achilles;AC_AC_SC_03_16_009;116;35.7076;188.684;146.444;296;11.693;1.647;11.393;1.7;;;;;12;8;0;;;;;;;;;;;;;;;;
Acanthurus_achilles;Acanthurus_achilles;AC_AC_SC_03_16_010;106.8;30.7087;192.806;147.615;297;523.45;1.823;188.95;1.856;;;;;11;10;0;;;;;;;;;;;;;;;;
Acanthurus_triostegus;Acanthurus_triostegus;AC_TR_MO_03_16_001;4.3;0.8894;56.986;47.323;248;20.563;1.849;21.862;1.91;;;;;5;4;0;;;;;;;;;;;;;;;;
Acanthurus_triostegus;Acanthurus_triostegus;AC_TR_MO_03_16_002;2.7;0.6321;50.787;40.242;249;96.662;1.887;98.262;1.864;;;;;3;3;0;;;;;;;;;;;;;;;;
Acanthurus_triostegus;Acanthurus_triostegus;AC_TR_MO_03_16_003;1;0.2167;36.901;28.451;250;12.962;1.637;37.063;1.691;;;;;2;2;0;;;;;;;;;;;;;;;;
Acanthurus_triostegus;Acanthurus_triostegus;AC_TR_MO_03_16_004;0.8;0.1912;33.589;26.614;251;9.863;1.787;7.563;1.93;;;;;2;2;0;;;;;;;;;;;;;;;;
Acanthurus_triostegus;Acanthurus_triostegus;AC_TR_MO_03_16_005;0.6;0.1221;30.713;24.543;252;8.462;1.793;9.663;1.72;;;;;2;1;0;;;;;;;;;;;;;;;;
Acanthurus_triostegus;Acanthurus_triostegus;AC_TR_MO_03_16_006;119.1;31.2108;193.544;154.85;253;1411.85;2.081;44.25;1.968;;;;;13;11;6;;;;;;;;;;;;;;;;
