"family";"genus";"species";"id";"agei";"radi";"agecap";"radcap";"lencap";"l0p";"biomass";"location";"observer";"r0p";"li"
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"AB_SE_MO_03_16_001";0;0,02912044;2;0,286661047;64,067;3,05;3,9;"Moorea";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"AB_SE_MO_03_16_001";1;0,219125535;2;0,286661047;64,067;3,05;3,9;"Moorea";"Fabien Morat";0,0278418561666667;48,1345656947608
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"AB_SE_MO_03_16_001";2;0,260718803;2;0,286661047;64,067;3,05;3,9;"Moorea";"Fabien Morat";0,0278418561666667;57,9463667590338
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"AB_SE_MO_03_16_002";0;0,024413111;2;0,261264719;61,315;3,05;3,8;"Moorea";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"AB_SE_MO_03_16_002";1;0,206903359;2;0,261264719;61,315;3,05;3,8;"Moorea";"Fabien Morat";0,0278418561666667;47,5433755125094
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"AB_SE_MO_03_16_002";2;0,237919484;2;0,261264719;61,315;3,05;3,8;"Moorea";"Fabien Morat";0,0278418561666667;55,3914646023092
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"AB_SE_MO_03_16_003";0;NA;1;0,261476863;56,104;3,05;3;"Moorea";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"AB_SE_MO_03_16_003";1;0,219180291;1;0,261476863;56,104;3,05;3;"Moorea";"Fabien Morat";0,0278418561666667;46,5849583024224
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"AB_SE_MO_03_16_004";0;0,027658633;1;0,25031878;51,616;3,05;1,7;"Moorea";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"AB_SE_MO_03_16_004";1;0,199123078;1;0,25031878;51,616;3,05;1,7;"Moorea";"Fabien Morat";0,0278418561666667;40,6450775682626
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"AB_SE_MO_03_16_005";0;0,02879236;1;0,227521809;50,584;3,05;2,1;"Moorea";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"AB_SE_MO_03_16_005";1;0,193507106;1;0,227521809;50,584;3,05;2,1;"Moorea";"Fabien Morat";0,0278418561666667;42,4600873333833
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A125";0;NA;3;0,601504247;166;3,05;71,5;"Gambiers";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A125";1;0,339063416;3;0,601504247;166;3,05;71,5;"Gambiers";"Fabien Morat";0,0278418561666667;88,8723270294602
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A125";2;0,475679667;3;0,601504247;166;3,05;71,5;"Gambiers";"Fabien Morat";0,0278418561666667;128,702263435793
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A125";3;0,557221067;3;0,601504247;166;3,05;71,5;"Gambiers";"Fabien Morat";0,0278418561666667;152,815196987778
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A129";0;NA;2;0,490037778;158;3,05;73,4;"Gambiers";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A129";1;0,360627231;2;0,490037778;158;3,05;73,4;"Gambiers";"Fabien Morat";0,0278418561666667;111,136035787664
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A129";2;0,447552487;2;0,490037778;158;3,05;73,4;"Gambiers";"Fabien Morat";0,0278418561666667;142,431575419248
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A132";0;0,030066593;5;0,638471842;155;3,05;74,5;"Gambiers";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A132";1;0,347286625;5;0,638471842;155;3,05;74,5;"Gambiers";"Fabien Morat";0,0278418561666667;81,8079787045101
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A132";2;0,435013474;5;0,638471842;155;3,05;74,5;"Gambiers";"Fabien Morat";0,0278418561666667;103,775287818631
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A132";3;0,514825754;5;0,638471842;155;3,05;74,5;"Gambiers";"Fabien Morat";0,0278418561666667;123,828592687729
