"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"EP_HE";"H10";0;0,024758837;13,9;0,39307124;0;1,5;"HAO"
"EP_HE";"H21";0;0,021400935;16;0,563587548;2;1,5;"HAO"
"EP_HE";"H21";1;0,423206805;16;0,563587548;2;1,5;"HAO"
"EP_HE";"H21";2;0,529986953;16;0,563587548;2;1,5;"HAO"
"EP_HE";"H30";0;0,047507894;23,5;0,919988968;7;1,5;"HAO"
"EP_HE";"H30";1;0,381292539;23,5;0,919988968;7;1,5;"HAO"
"EP_HE";"H30";2;0,544962939;23,5;0,919988968;7;1,5;"HAO"
"EP_HE";"H30";3;0,634237796;23,5;0,919988968;7;1,5;"HAO"
"EP_HE";"H30";4;0,709124377;23,5;0,919988968;7;1,5;"HAO"
"EP_HE";"H30";5;0,769332349;23,5;0,919988968;7;1,5;"HAO"
"EP_HE";"H30";6;0,820263676;23,5;0,919988968;7;1,5;"HAO"
"EP_HE";"H30";7;0,878263676;23,5;0,919988968;7;1,5;"HAO"
"EP_HE";"H31";0;0,050606324;24,8;0,806446112;6;1,5;"HAO"
"EP_HE";"H31";1;0,36779342;24,8;0,806446112;6;1,5;"HAO"
"EP_HE";"H31";2;0,461398976;24,8;0,806446112;6;1,5;"HAO"
"EP_HE";"H31";3;0,576020091;24,8;0,806446112;6;1,5;"HAO"
"EP_HE";"H31";4;0,636852646;24,8;0,806446112;6;1,5;"HAO"
"EP_HE";"H31";5;0,691055966;24,8;0,806446112;6;1,5;"HAO"
"EP_HE";"H31";6;0,758938217;24,8;0,806446112;6;1,5;"HAO"
"EP_HE";"H32";0;0,040360872;23,5;1,100520263;8;1,5;"HAO"
"EP_HE";"H32";1;0,391246725;23,5;1,100520263;8;1,5;"HAO"
"EP_HE";"H32";2;0,523072368;23,5;1,100520263;8;1,5;"HAO"
"EP_HE";"H32";3;0,68782673;23,5;1,100520263;8;1,5;"HAO"
"EP_HE";"H32";4;0,796757901;23,5;1,100520263;8;1,5;"HAO"
"EP_HE";"H32";5;0,861811725;23,5;1,100520263;8;1,5;"HAO"
"EP_HE";"H32";6;0,945865279;23,5;1,100520263;8;1,5;"HAO"
"EP_HE";"H32";7;0,991964237;23,5;1,100520263;8;1,5;"HAO"
"EP_HE";"H32";8;1,051428512;23,5;1,100520263;8;1,5;"HAO"
"EP_HE";"H33";0;0,026870058;22;0,923594758;7;1,5;"HAO"
"EP_HE";"H33";1;0,358453623;22;0,923594758;7;1,5;"HAO"
"EP_HE";"H33";2;0,496558656;22;0,923594758;7;1,5;"HAO"
"EP_HE";"H33";3;0,597216492;22;0,923594758;7;1,5;"HAO"
"EP_HE";"H33";4;0,662331774;22;0,923594758;7;1,5;"HAO"
"EP_HE";"H33";5;0,740823812;22;0,923594758;7;1,5;"HAO"
"EP_HE";"H33";6;0,843828666;22;0,923594758;7;1,5;"HAO"
"EP_HE";"H33";7;0,894048185;22;0,923594758;7;1,5;"HAO"
"EP_HE";"H34";0;0,023853721;20,3;0,890011121;8;1,5;"HAO"
"EP_HE";"H34";1;0,339072264;20,3;0,890011121;8;1,5;"HAO"
"EP_HE";"H34";2;0,434534298;20,3;0,890011121;8;1,5;"HAO"
"EP_HE";"H34";3;0,557110805;20,3;0,890011121;8;1,5;"HAO"
"EP_HE";"H34";4;0,678934448;20,3;0,890011121;8;1,5;"HAO"
"EP_HE";"H34";5;0,742187906;20,3;0,890011121;8;1,5;"HAO"
"EP_HE";"H34";6;0,80419597;20,3;0,890011121;8;1,5;"HAO"
"EP_HE";"H34";7;0,853114269;20,3;0,890011121;8;1,5;"HAO"
"EP_HE";"H34";8;0,878609367;20,3;0,890011121;8;1,5;"HAO"
"EP_HE";"H35";0;0,031827661;16,2;0,66452912;4;1,5;"HAO"
"EP_HE";"H35";1;0,403209623;16,2;0,66452912;4;1,5;"HAO"
"EP_HE";"H35";2;0,518470197;16,2;0,66452912;4;1,5;"HAO"
"EP_HE";"H35";3;0,578611697;16,2;0,66452912;4;1,5;"HAO"
"EP_HE";"H35";4;0,631242487;16,2;0,66452912;4;1,5;"HAO"
"EP_HE";"H52";0;0,025455844;26,8;1,169964734;14;1,5;"HAO"
"EP_HE";"H52";1;0,364299327;26,8;1,169964734;14;1,5;"HAO"
"EP_HE";"H52";2;0,507141898;26,8;1,169964734;14;1,5;"HAO"
"EP_HE";"H52";3;0,57335368;26,8;1,169964734;14;1,5;"HAO"
"EP_HE";"H52";4;0,668563973;26,8;1,169964734;14;1,5;"HAO"
"EP_HE";"H52";5;0,735980588;26,8;1,169964734;14;1,5;"HAO"
"EP_HE";"H52";6;0,798205985;26,8;1,169964734;14;1,5;"HAO"
"EP_HE";"H52";7;0,845713879;26,8;1,169964734;14;1,5;"HAO"
"EP_HE";"H52";8;0,889645644;26,8;1,169964734;14;1,5;"HAO"
"EP_HE";"H52";9;0,946496326;26,8;1,169964734;14;1,5;"HAO"
"EP_HE";"H52";10;0,992463706;26,8;1,169964734;14;1,5;"HAO"
"EP_HE";"H52";11;1,035101717;26,8;1,169964734;14;1,5;"HAO"
"EP_HE";"H52";12;1,077739728;26,8;1,169964734;14;1,5;"HAO"
"EP_HE";"H52";13;1,108884551;26,8;1,169964734;14;1,5;"HAO"
"EP_HE";"H52";14;1,142306101;26,8;1,169964734;14;1,5;"HAO"
"EP_HE";"H54";0;0,026570661;21;1,013807926;9;1,5;"HAO"
"EP_HE";"H54";1;0,419839255;21;1,013807926;9;1,5;"HAO"
"EP_HE";"H54";2;0,515641134;21;1,013807926;9;1,5;"HAO"
"EP_HE";"H54";3;0,588641134;21;1,013807926;9;1,5;"HAO"
"EP_HE";"H54";4;0,67596238;21;1,013807926;9;1,5;"HAO"
"EP_HE";"H54";5;0,753994425;21;1,013807926;9;1,5;"HAO"
"EP_HE";"H54";6;0,810217196;21;1,013807926;9;1,5;"HAO"
"EP_HE";"H54";7;0,871682633;21;1,013807926;9;1,5;"HAO"
"EP_HE";"H54";8;0,91509922;21;1,013807926;9;1,5;"HAO"
"EP_HE";"H54";9;0,983575493;21;1,013807926;9;1,5;"HAO"
