species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
AB_SE;GAM18_A125;0;NA;;0,601504247;3;2,5;Gambier
AB_SE;GAM18_A125;1;0,339063416;;0,601504247;3;2,5;Gambier
AB_SE;GAM18_A125;2;0,475679667;;0,601504247;3;2,5;Gambier
AB_SE;GAM18_A125;3;0,557221067;;0,601504247;3;2,5;Gambier
AB_SE;GAM18_A129;0;NA;;0,490037778;2;2,5;Gambier
AB_SE;GAM18_A129;1;0,360627231;;0,490037778;2;2,5;Gambier
AB_SE;GAM18_A129;2;0,447552487;;0,490037778;2;2,5;Gambier
AB_SE;GAM18_A132;0;0,030066593;;0,638471842;5;2,5;Gambier
AB_SE;GAM18_A132;1;0,347286625;;0,638471842;5;2,5;Gambier
AB_SE;GAM18_A132;2;0,435013474;;0,638471842;5;2,5;Gambier
AB_SE;GAM18_A132;3;0,514825754;;0,638471842;5;2,5;Gambier
AB_SE;GAM18_A132;4;0,567218501;;0,638471842;5;2,5;Gambier
AB_SE;GAM18_A132;5;0,607665998;;0,638471842;5;2,5;Gambier
AB_SE;GAM18_A135;0;NA;;0,806505976;7;2,5;Gambier
AB_SE;GAM18_A135;1;0,338940998;;0,806505976;7;2,5;Gambier
AB_SE;GAM18_A135;2;0,488142204;;0,806505976;7;2,5;Gambier
AB_SE;GAM18_A135;3;0,56820468;;0,806505976;7;2,5;Gambier
AB_SE;GAM18_A135;4;0,627887173;;0,806505976;7;2,5;Gambier
AB_SE;GAM18_A135;5;0,689214166;;0,806505976;7;2,5;Gambier
AB_SE;GAM18_A135;6;0,748290387;;0,806505976;7;2,5;Gambier
AB_SE;GAM18_A135;7;0,785505976;;0,806505976;7;2,5;Gambier
AB_SE;GAM18_A166;0;0,027;;0,947935002;13;2,5;Gambier
AB_SE;GAM18_A166;1;0,356732393;;0,947935002;13;2,5;Gambier
AB_SE;GAM18_A166;2;0,462902068;;0,947935002;13;2,5;Gambier
AB_SE;GAM18_A166;3;0,534909012;;0,947935002;13;2,5;Gambier
AB_SE;GAM18_A166;4;0,597278877;;0,947935002;13;2,5;Gambier
AB_SE;GAM18_A166;5;0,644818334;;0,947935002;13;2,5;Gambier
AB_SE;GAM18_A166;6;0,680956956;;0,947935002;13;2,5;Gambier
AB_SE;GAM18_A166;7;0,724637615;;0,947935002;13;2,5;Gambier
AB_SE;GAM18_A166;8;0,762439732;;0,947935002;13;2,5;Gambier
AB_SE;GAM18_A166;9;0,797795071;;0,947935002;13;2,5;Gambier
AB_SE;GAM18_A166;10;0,827341644;;0,947935002;13;2,5;Gambier
AB_SE;GAM18_A166;11;0,863742194;;0,947935002;13;2,5;Gambier
AB_SE;GAM18_A166;12;0,891055194;;0,947935002;13;2,5;Gambier
AB_SE;GAM18_A166;13;0,922439904;;0,947935002;13;2,5;Gambier
AB_SE;GAM18_A167;0;NA;;0,782894641;9;2,5;Gambier
AB_SE;GAM18_A167;1;0,263136847;;0,782894641;9;2,5;Gambier
