species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
AB_SE;AB_SE_MO_03_16_001;0;0,02912044;;0,286661047;2;2,5;Moorea
AB_SE;AB_SE_MO_03_16_001;1;0,219125535;;0,286661047;2;2,5;Moorea
AB_SE;AB_SE_MO_03_16_001;2;0,260718803;;0,286661047;2;2,5;Moorea
AB_SE;AB_SE_MO_03_16_002;0;0,024413111;;0,261264719;2;2,5;Moorea
AB_SE;AB_SE_MO_03_16_002;1;0,206903359;;0,261264719;2;2,5;Moorea
AB_SE;AB_SE_MO_03_16_002;2;0,237919484;;0,261264719;2;2,5;Moorea
AB_SE;AB_SE_MO_03_16_003;0;NA;;0,261476863;1;2,5;Moorea
AB_SE;AB_SE_MO_03_16_003;1;0,219180291;;0,261476863;1;2,5;Moorea
AB_SE;AB_SE_MO_03_16_004;0;0,027658633;;0,25031878;1;2,5;Moorea
AB_SE;AB_SE_MO_03_16_004;1;0,199123078;;0,25031878;1;2,5;Moorea
AB_SE;AB_SE_MO_03_16_005;0;0,02879236;;0,227521809;1;2,5;Moorea
AB_SE;AB_SE_MO_03_16_005;1;0,193507106;;0,227521809;1;2,5;Moorea
