"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"AC_LI";"AC_LI_MA_03_17_122_f";0;0,043566042;NA;0,410262746;3;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_122_f";1;0,280765026;NA;0,410262746;3;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_122_f";2;0,35178615;NA;0,410262746;3;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_122_f";3;0,387591178;NA;0,410262746;3;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_165_f";0;0,036124784;NA;0,32104862;4;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_165_f";1;0,174928557;NA;0,32104862;4;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_165_f";2;0,239185852;NA;0,32104862;4;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_165_f";3;0,276307275;NA;0,32104862;4;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_165_f";4;0,30683595;NA;0,32104862;4;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_220_f";0;0,034985711;NA;0,444462039;5;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_220_f";1;0,320551088;NA;0,444462039;5;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_220_f";2;0,346970778;NA;0,444462039;5;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_220_f";3;0,37887689;NA;0,444462039;5;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_220_f";4;0,409356391;NA;0,444462039;5;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_220_f";5;0,430569595;NA;0,444462039;5;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_221_f";0;0,040459857;NA;0,487585245;8;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_221_f";1;0,268419448;NA;0,487585245;8;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_221_f";2;0,305902778;NA;0,487585245;8;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_221_f";3;0,34481293;NA;0,487585245;8;1,7;"Marquises"
"AC_LI";"AC_LI_MA_03_17_221_f";4;0,377949013;NA;0,487585245;8;1,7;"Marquises"
