species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
AC_NI;AC_NI_MA_03_17_117_f;0;0,063631753;;0,703081;6;1,7;Marquises
AC_NI;AC_NI_MA_03_17_117_f;1;0,459291846;;0,703081;6;1,7;Marquises
AC_NI;AC_NI_MA_03_17_117_f;2;0,51572765;;0,703081;6;1,7;Marquises
AC_NI;AC_NI_MA_03_17_117_f;3;0,565093631;;0,703081;6;1,7;Marquises
AC_NI;AC_NI_MA_03_17_117_f;4;0,609646969;;0,703081;6;1,7;Marquises
AC_NI;AC_NI_MA_03_17_117_f;5;0,654200308;;0,703081;6;1,7;Marquises
AC_NI;AC_NI_MA_03_17_117_f;6;0,686588578;;0,703081;6;1,7;Marquises
AC_NI;AC_NI_MA_03_17_118_f;0;0,046227697;;0,833311731;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_118_f;1;0,517834916;;0,833311731;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_118_f;2;0,622853962;;0,833311731;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_118_f;3;0,705715292;;0,833311731;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_118_f;4;0,760056804;;0,833311731;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_118_f;5;0,804711031;;0,833311731;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_119_f;0;0,035777088;;0,832431424;9;1,7;Marquises
AC_NI;AC_NI_MA_03_17_119_f;1;0,467469785;;0,832431424;9;1,7;Marquises
AC_NI;AC_NI_MA_03_17_119_f;2;0,531030779;;0,832431424;9;1,7;Marquises
AC_NI;AC_NI_MA_03_17_119_f;3;0,581567895;;0,832431424;9;1,7;Marquises
AC_NI;AC_NI_MA_03_17_119_f;4;0,627448174;;0,832431424;9;1,7;Marquises
AC_NI;AC_NI_MA_03_17_119_f;5;0,672392584;;0,832431424;9;1,7;Marquises
AC_NI;AC_NI_MA_03_17_119_f;6;0,709755667;;0,832431424;9;1,7;Marquises
AC_NI;AC_NI_MA_03_17_119_f;7;0,750066956;;0,832431424;9;1,7;Marquises
AC_NI;AC_NI_MA_03_17_119_f;8;0,780150174;;0,832431424;9;1,7;Marquises
AC_NI;AC_NI_MA_03_17_119_f;9;0,811550811;;0,832431424;9;1,7;Marquises
AC_NI;AC_NI_MA_03_17_124_f;0;0,046141088;;0,531038831;3;1,7;Marquises
AC_NI;AC_NI_MA_03_17_124_f;1;0,379637985;;0,531038831;3;1,7;Marquises
AC_NI;AC_NI_MA_03_17_124_f;2;0,445736397;;0,531038831;3;1,7;Marquises
AC_NI;AC_NI_MA_03_17_124_f;3;0,500444714;;0,531038831;3;1,7;Marquises
AC_NI;AC_NI_MA_03_17_125_f;0;NA;;0,643057204;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_125_f;1;0,466104066;;0,643057204;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_125_f;2;0,518496813;;0,643057204;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_125_f;3;0,555266366;;0,643057204;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_125_f;4;0,593345231;;0,643057204;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_125_f;5;0,61711496;;0,643057204;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_170_f;0;0,031780497;;0,732149007;7;1,7;Marquises
AC_NI;AC_NI_MA_03_17_170_f;1;0,414797541;;0,732149007;7;1,7;Marquises
AC_NI;AC_NI_MA_03_17_170_f;2;0,494822537;;0,732149007;7;1,7;Marquises
AC_NI;AC_NI_MA_03_17_170_f;3;0,543196084;;0,732149007;7;1,7;Marquises
AC_NI;AC_NI_MA_03_17_170_f;4;0,58831814;;0,732149007;7;1,7;Marquises
AC_NI;AC_NI_MA_03_17_170_f;5;0,639013308;;0,732149007;7;1,7;Marquises
AC_NI;AC_NI_MA_03_17_170_f;6;0,675687549;;0,732149007;7;1,7;Marquises
AC_NI;AC_NI_MA_03_17_170_f;7;0,710515699;;0,732149007;7;1,7;Marquises
AC_NI;AC_NI_MA_03_17_171_f;0;0,028600699;;0,594969911;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_171_f;1;0,36575675;;0,594969911;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_171_f;2;0,457517308;;0,594969911;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_171_f;3;0,512335188;;0,594969911;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_171_f;4;0,544350809;;0,594969911;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_171_f;5;0,574944926;;0,594969911;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_397_f;0;0,053150729;;0,701818454;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_397_f;1;0,438220264;;0,701818454;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_397_f;2;0,505762843;;0,701818454;5;1,7;Marquises
AC_NI;AC_NI_MA_03_17_397_f;3;0,567163169;;0,701818454;5;1,7;Marquises
