"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"AC_PY";"AC_PY_MA_03_17_008";0;0,033615473;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";1;0,361707064;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";2;0,433818089;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";3;0,482848692;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";4;0,518316988;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";5;0,554052124;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";6;0,589787261;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";7;0,627270591;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";8;0,668899907;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";9;0,703075922;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";10;0,738516013;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";11;0,768599231;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";12;0,79964758;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";13;0,82843994;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";14;0,85976086;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";15;0,897457013;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";16;0,925917512;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";17;0,951549523;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";18;0,974396843;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_008";19;0,990552337;NA;0,999607722;19;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_009";0;0,034885527;NA;0,651856869;7;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_009";1;0,336466937;NA;0,651856869;7;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_009";2;0,387711449;NA;0,651856869;7;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_009";3;0,451781723;NA;0,651856869;7;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_009";4;0,506699844;NA;0,651856869;7;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_009";5;0,557739045;NA;0,651856869;7;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_009";6;0,600785531;NA;0,651856869;7;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_009";7;0,628856869;NA;0,651856869;7;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_010";0;NA;NA;0,915214103;11;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_010";1;0,413159775;NA;0,915214103;11;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_010";2;0,478894089;NA;0,915214103;11;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_010";3;0,556514963;NA;0,915214103;11;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_010";4;0,627091163;NA;0,915214103;11;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_010";5;0,67584565;NA;0,915214103;11;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_010";6;0,70673254;NA;0,915214103;11;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_010";7;0,747438805;NA;0,915214103;11;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_010";8;0,78706203;NA;0,915214103;11;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_010";9;0,828930873;NA;0,915214103;11;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_010";10;0,864286212;NA;0,915214103;11;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_010";11;0,89411908;NA;0,915214103;11;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_011";0;NA;NA;0,526961151;4;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_011";1;0,326663435;NA;0,526961151;4;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_011";2;0,408961673;NA;0,526961151;4;1,7;"Marquises"
"AC_PY";"AC_PY_MA_03_17_011";3;0,455491234;NA;0,526961151;4;1,7;"Marquises"
