"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"AC_TR";"GAM18_B112";0;NA;NA;0,863030834;8;1,7;"Gambier"
"AC_TR";"GAM18_B112";1;0,47109447;NA;0,863030834;8;1,7;"Gambier"
"AC_TR";"GAM18_B112";2;0,558940927;NA;0,863030834;8;1,7;"Gambier"
"AC_TR";"GAM18_B112";3;0,636819037;NA;0,863030834;8;1,7;"Gambier"
"AC_TR";"GAM18_B112";4;0,700143598;NA;0,863030834;8;1,7;"Gambier"
"AC_TR";"GAM18_B112";5;0,734143598;NA;0,863030834;8;1,7;"Gambier"
"AC_TR";"GAM18_B112";6;0,781525029;NA;0,863030834;8;1,7;"Gambier"
"AC_TR";"GAM18_B112";7;0,812669852;NA;0,863030834;8;1,7;"Gambier"
"AC_TR";"GAM18_B112";8;0,839836007;NA;0,863030834;8;1,7;"Gambier"
"AC_TR";"GAM18_B113";0;NA;NA;0,593557208;6;1,7;"Gambier"
"AC_TR";"GAM18_B113";1;0,294409579;NA;0,593557208;6;1,7;"Gambier"
"AC_TR";"GAM18_B113";2;0,367327341;NA;0,593557208;6;1,7;"Gambier"
"AC_TR";"GAM18_B113";3;0,415368989;NA;0,593557208;6;1,7;"Gambier"
"AC_TR";"GAM18_B113";4;0,464409788;NA;0,593557208;6;1,7;"Gambier"
"AC_TR";"GAM18_B113";5;0,507164905;NA;0,593557208;6;1,7;"Gambier"
"AC_TR";"GAM18_B113";6;0,551130801;NA;0,593557208;6;1,7;"Gambier"
"AC_TR";"GAM18_B134";0;NA;NA;0,611752736;5;1,7;"Gambier"
"AC_TR";"GAM18_B134";1;0,25;NA;0,611752736;5;1,7;"Gambier"
"AC_TR";"GAM18_B134";2;0,384134261;NA;0,611752736;5;1,7;"Gambier"
"AC_TR";"GAM18_B134";3;0,455478497;NA;0,611752736;5;1,7;"Gambier"
"AC_TR";"GAM18_B134";4;0,509626443;NA;0,611752736;5;1,7;"Gambier"
"AC_TR";"GAM18_B134";5;0,557007873;NA;0,611752736;5;1,7;"Gambier"
