"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"AC_TR";"AC_TR_MA_03_17_001";0;0,058694122;NA;0,729371879;7;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_001";1;0,244616026;NA;0,729371879;7;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_001";2;0,361855098;NA;0,729371879;7;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_001";3;0,471299147;NA;0,729371879;7;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_001";4;0,536606115;NA;0,729371879;7;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_001";5;0,597900486;NA;0,729371879;7;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_001";6;0,650702002;NA;0,729371879;7;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_001";7;0,697231562;NA;0,729371879;7;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_002";0;NA;NA;0,595880209;6;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_002";1;0,333325667;NA;0,595880209;6;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_002";2;0,387896721;NA;0,595880209;6;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_002";3;0,434768888;NA;0,595880209;6;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_002";4;0,484808872;NA;0,595880209;6;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_002";5;0,528808872;NA;0,595880209;6;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_002";6;0,567808872;NA;0,595880209;6;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_003";0;0,025317978;NA;0,885566933;6;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_003";1;0,285996503;NA;0,885566933;6;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_003";2;0,436837479;NA;0,885566933;6;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_003";3;0,537500283;NA;0,885566933;6;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_003";4;0,641979946;NA;0,885566933;6;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_003";5;0,738644314;NA;0,885566933;6;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_003";6;0,83275595;NA;0,885566933;6;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_004";0;NA;NA;0,858761475;11;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_004";1;0,379697248;NA;0,858761475;11;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_004";2;0,440524873;NA;0,858761475;11;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_004";3;0,487140321;NA;0,858761475;11;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_004";4;0,540991969;NA;0,858761475;11;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_004";5;0,592236481;NA;0,858761475;11;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_004";6;0,638851929;NA;0,858761475;11;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_004";7;0,688106371;NA;0,858761475;11;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_004";8;0,727106371;NA;0,858761475;11;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_004";9;0,764268179;NA;0,858761475;11;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_004";10;0,793337063;NA;0,858761475;11;1,7;"Marquises"
"AC_TR";"AC_TR_MA_03_17_004";11;0,823420281;NA;0,858761475;11;1,7;"Marquises"
