"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"BA_UN";"BA_UN_MA_03_17_064";0;0,024758837;NA;0,151743204;0;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_065";0;0,029068884;NA;0,454204078;1;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_065";1;0,404555311;NA;0,454204078;1;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_066";0;0,028178006;NA;0,552471428;3;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_066";1;0,424802307;NA;0,552471428;3;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_066";2;0,482940074;NA;0,552471428;3;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_066";3;0,518295413;NA;0,552471428;3;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_067";0;0,038209946;NA;0,934798996;6;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_067";1;0,40251708;NA;0,934798996;6;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_067";2;0,500598679;NA;0,934798996;6;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_067";3;0,604082977;NA;0,934798996;6;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_067";4;0,708222307;NA;0,934798996;6;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_067";5;0,816896131;NA;0,934798996;6;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_067";6;0,897920819;NA;0,934798996;6;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_072";0;0,035355339;NA;0,808462437;8;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_072";1;0,372864587;NA;0,808462437;8;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_072";2;0,487973231;NA;0,808462437;8;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_072";3;0,57765043;NA;0,808462437;8;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_072";4;0,638321675;NA;0,808462437;8;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_072";5;0,688331674;NA;0,808462437;8;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_072";6;0,730343577;NA;0,808462437;8;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_072";7;0,766357463;NA;0,808462437;8;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_072";8;0,785462437;NA;0,808462437;8;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_073";0;NA;NA;0,606420198;4;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_073";1;0,299714864;NA;0,606420198;4;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_073";2;0,449558116;NA;0,606420198;4;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_073";3;0,526661942;NA;0,606420198;4;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_073";4;0,575035489;NA;0,606420198;4;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_075";0;0,025553865;NA;0,401003896;1;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_075";1;0,356450558;NA;0,401003896;1;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";0;0,025;NA;1,395643187;15;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";1;0,301559281;NA;1,395643187;15;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";2;0,409526869;NA;1,395643187;15;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";3;0,491752169;NA;1,395643187;15;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";4;0,571263175;NA;1,395643187;15;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";5;0,659467483;NA;1,395643187;15;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";6;0,745467483;NA;1,395643187;15;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";7;0,818802331;NA;1,395643187;15;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";8;0,887686292;NA;1,395643187;15;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";9;0,961238994;NA;1,395643187;15;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";10;1,022370001;NA;1,395643187;15;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";11;1,094376945;NA;1,395643187;15;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";12;1,157575046;NA;1,395643187;15;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";13;1,224328323;NA;1,395643187;15;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";14;1,294542282;NA;1,395643187;15;1,8;"Marquises"
"BA_UN";"BA_UN_MA_03_17_301";15;1,34616592;NA;1,395643187;15;1,8;"Marquises"
