"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"BA_UN";"BA_UN_MO_03_16_001";0;NA;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_001";1;0,353643889;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_001";2;0,427886733;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_001";3;0,503318822;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_001";4;0,571568364;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_001";5;0,641604069;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_001";6;0,710197072;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_001";7;0,759563052;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_001";8;0,809921765;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_001";9;0,864069711;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_001";10;0,907486298;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_001";11;0,942714127;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_001";12;0,991877122;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_001";13;1,036788145;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_001";14;1,081832567;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_001";15;1,128832567;NA;1,159832567;15;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_002";0;0,032062439;NA;0,762618236;8;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_002";1;0,292909542;NA;0,762618236;8;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_002";2;0,387804221;NA;0,762618236;8;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_002";3;0,472332323;NA;0,762618236;8;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_002";4;0,542908523;NA;0,762618236;8;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_002";5;0,618413489;NA;0,762618236;8;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_002";6;0,66707559;NA;0,762618236;8;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_002";7;0,711628928;NA;0,762618236;8;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_002";8;0,742693378;NA;0,762618236;8;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";0;0,027202941;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";1;0,271587923;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";2;0,384958995;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";3;0,477608874;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";4;0,532835679;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";5;0,569889694;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";6;0,61264481;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";7;0,659034464;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";8;0,700519401;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";9;0,74516243;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";10;0,789715769;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";11;0,828548744;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";12;0,859564869;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";13;0,895620382;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";14;0,930848212;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";15;0,975255418;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";16;1,005849536;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_003";17;1,027985479;NA;1,050788988;17;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_004";0;0,033970576;NA;0,989496386;9;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_004";1;0,34921197;NA;0,989496386;9;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_004";2;0,510463327;NA;0,989496386;9;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_004";3;0,602054811;NA;0,989496386;9;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_004";4;0,661493855;NA;0,989496386;9;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_004";5;0,714832397;NA;0,989496386;9;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_004";6;0,772970164;NA;0,989496386;9;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_004";7;0,832274464;NA;0,989496386;9;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_004";8;0,88841714;NA;0,989496386;9;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_004";9;0,940455587;NA;0,989496386;9;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_005";0;NA;NA;0,965134711;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_005";1;0,390717289;NA;0,965134711;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_005";2;0,586249895;NA;0,965134711;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_005";3;0,717356722;NA;0,965134711;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_005";4;0,821496051;NA;0,965134711;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_005";5;0,881035954;NA;0,965134711;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_005";6;0,931075938;NA;0,965134711;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";0;0,025238859;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";1;0,278772309;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";2;0,357219743;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";3;0,418318025;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";4;0,47436265;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";5;0,541273038;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";6;0,59030364;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";7;0,63458682;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";8;0,665731643;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";9;0,708836167;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";10;0,752021813;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";11;0,796203257;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";12;0,838393303;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";13;0,879405496;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";14;0,918405496;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";15;0,944482306;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";16;0,976482306;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";17;1,000565495;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_006";18;1,02391073;NA;1,044934526;18;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_007";0;0,030528675;NA;0,772389986;10;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_007";1;0,333636029;NA;0,772389986;10;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_007";2;0,422725872;NA;0,772389986;10;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_007";3;0,477762223;NA;0,772389986;10;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_007";4;0,524151877;NA;0,772389986;10;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_007";5;0,574639499;NA;0,772389986;10;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_007";6;0,611855088;NA;0,772389986;10;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_007";7;0,651867586;NA;0,772389986;10;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_007";8;0,684867586;NA;0,772389986;10;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_007";9;0,713151857;NA;0,772389986;10;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_007";10;0,738331213;NA;0,772389986;10;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_008";0;0,0234094;NA;0,65587016;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_008";1;0,332532705;NA;0,65587016;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_008";2;0,450244217;NA;0,65587016;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_008";3;0,505325974;NA;0,65587016;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_008";4;0,549371405;NA;0,65587016;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_008";5;0,586707715;NA;0,65587016;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_008";6;0,625720533;NA;0,65587016;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_009";0;0,036235342;NA;0,640697276;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_009";1;0,305;NA;0,640697276;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_009";2;0,414384642;NA;0,640697276;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_009";3;0,473865732;NA;0,640697276;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_009";4;0,510553605;NA;0,640697276;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_009";5;0,561641764;NA;0,640697276;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_009";6;0,604641764;NA;0,640697276;6;1,8;"Moorea"
"BA_UN";"BA_UN_MO_03_16_010";0;0,029206164;NA;0,801742683;8;1,8;"Moorea"
