"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"CE_AR";"GAM18_A073";0;0,051009803;NA;1,17617547;13;1,9;"Gambier"
"CE_AR";"GAM18_A073";1;0,343145742;NA;1,17617547;13;1,9;"Gambier"
"CE_AR";"GAM18_A073";2;0,459533026;NA;1,17617547;13;1,9;"Gambier"
"CE_AR";"GAM18_A073";3;0,553872837;NA;1,17617547;13;1,9;"Gambier"
"CE_AR";"GAM18_A073";4;0,655273035;NA;1,17617547;13;1,9;"Gambier"
"CE_AR";"GAM18_A073";5;0,704313834;NA;1,17617547;13;1,9;"Gambier"
"CE_AR";"GAM18_A073";6;0,760260237;NA;1,17617547;13;1,9;"Gambier"
"CE_AR";"GAM18_A073";7;0,822630102;NA;1,17617547;13;1,9;"Gambier"
"CE_AR";"GAM18_A073";8;0,878172878;NA;1,17617547;13;1,9;"Gambier"
"CE_AR";"GAM18_A073";9;0,925974551;NA;1,17617547;13;1,9;"Gambier"
"CE_AR";"GAM18_A073";10;0,998037024;NA;1,17617547;13;1,9;"Gambier"
"CE_AR";"GAM18_A073";11;1,051272351;NA;1,17617547;13;1,9;"Gambier"
"CE_AR";"GAM18_A073";12;1,09834676;NA;1,17617547;13;1,9;"Gambier"
"CE_AR";"GAM18_A073";13;1,140119957;NA;1,17617547;13;1,9;"Gambier"
"CE_AR";"GAM18_A101";0;0,047539457;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A101";1;0,406893106;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A101";2;0,532611045;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A101";3;0,59343867;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A101";4;0,672286625;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A101";5;0,736364702;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A101";6;0,799689263;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A101";7;0,838328621;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A101";8;0,879438231;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A101";9;0,923176086;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A101";10;0,968453012;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A101";11;1,000841281;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A101";12;1,031205734;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A101";13;1,063221356;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A101";14;1,087572947;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A101";15;1,105600703;NA;1,120897762;15;1,9;"Gambier"
"CE_AR";"GAM18_A114";0;NA;NA;0,933705126;12;1,9;"Gambier"
"CE_AR";"GAM18_A114";1;0,372425832;NA;0,933705126;12;1,9;"Gambier"
"CE_AR";"GAM18_A114";2;0,488804524;NA;0,933705126;12;1,9;"Gambier"
"CE_AR";"GAM18_A114";3;0,55616178;NA;0,933705126;12;1,9;"Gambier"
"CE_AR";"GAM18_A114";4;0,617935561;NA;0,933705126;12;1,9;"Gambier"
"CE_AR";"GAM18_A114";5;0,684583892;NA;0,933705126;12;1,9;"Gambier"
"CE_AR";"GAM18_A114";6;0,725105491;NA;0,933705126;12;1,9;"Gambier"
"CE_AR";"GAM18_A114";7;0,760033989;NA;0,933705126;12;1,9;"Gambier"
"CE_AR";"GAM18_A114";8;0,790050651;NA;0,933705126;12;1,9;"Gambier"
"CE_AR";"GAM18_A114";9;0,820726375;NA;0,933705126;12;1,9;"Gambier"
"CE_AR";"GAM18_A114";10;0,862785856;NA;0,933705126;12;1,9;"Gambier"
"CE_AR";"GAM18_A114";11;0,892517994;NA;0,933705126;12;1,9;"Gambier"
"CE_AR";"GAM18_A114";12;0,919812682;NA;0,933705126;12;1,9;"Gambier"
"CE_AR";"GAM18_A158";0;NA;NA;1,222075987;16;1,9;"Gambier"
"CE_AR";"GAM18_A158";1;0,336157701;NA;1,222075987;16;1,9;"Gambier"
"CE_AR";"GAM18_A158";2;0,415467221;NA;1,222075987;16;1,9;"Gambier"
"CE_AR";"GAM18_A158";3;0,493300376;NA;1,222075987;16;1,9;"Gambier"
"CE_AR";"GAM18_A158";4;0,566382522;NA;1,222075987;16;1,9;"Gambier"
"CE_AR";"GAM18_A158";5;0,615778878;NA;1,222075987;16;1,9;"Gambier"
"CE_AR";"GAM18_A158";6;0,660186085;NA;1,222075987;16;1,9;"Gambier"
"CE_AR";"GAM18_A158";7;0,733575457;NA;1,222075987;16;1,9;"Gambier"
"CE_AR";"GAM18_A158";8;0,786206247;NA;1,222075987;16;1,9;"Gambier"
"CE_AR";"GAM18_A158";9;0,843127244;NA;1,222075987;16;1,9;"Gambier"
"CE_AR";"GAM18_A158";10;0,90233873;NA;1,222075987;16;1,9;"Gambier"
"CE_AR";"GAM18_A158";11;0,95337793;NA;1,222075987;16;1,9;"Gambier"
"CE_AR";"GAM18_A158";12;0,991020991;NA;1,222075987;16;1,9;"Gambier"
