"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"CE_AR";"H16";0;0,028653098;NA;0,807360532;11;1,9;"HAO"
"CE_AR";"H16";1;0,289214453;NA;0,807360532;11;1,9;"HAO"
"CE_AR";"H16";2;0,374449423;NA;0,807360532;11;1,9;"HAO"
"CE_AR";"H16";3;0,471866054;NA;0,807360532;11;1,9;"HAO"
"CE_AR";"H16";4;0,530046807;NA;0,807360532;11;1,9;"HAO"
"CE_AR";"H16";5;0,629172989;NA;0,807360532;11;1,9;"HAO"
"CE_AR";"H16";6;0,659256207;NA;0,807360532;11;1,9;"HAO"
"CE_AR";"H16";7;0,68832509;NA;0,807360532;11;1,9;"HAO"
"CE_AR";"H16";8;0,720974746;NA;0,807360532;11;1,9;"HAO"
"CE_AR";"H16";9;0,752039195;NA;0,807360532;11;1,9;"HAO"
"CE_AR";"H16";10;0,781193954;NA;0,807360532;11;1,9;"HAO"
"CE_AR";"H16";11;0,795958777;NA;0,807360532;11;1,9;"HAO"
"CE_AR";"H17";0;NA;NA;0,821676424;10;1,9;"HAO"
"CE_AR";"H17";1;0,348833771;NA;0,821676424;10;1,9;"HAO"
"CE_AR";"H17";2;0,47338898;NA;0,821676424;10;1,9;"HAO"
"CE_AR";"H17";3;0,539419276;NA;0,821676424;10;1,9;"HAO"
"CE_AR";"H17";4;0,602101012;NA;0,821676424;10;1,9;"HAO"
"CE_AR";"H17";5;0,668809332;NA;0,821676424;10;1,9;"HAO"
"CE_AR";"H17";6;0,724711032;NA;0,821676424;10;1,9;"HAO"
"CE_AR";"H17";7;0,753865791;NA;0,821676424;10;1,9;"HAO"
"CE_AR";"H17";8;0,77763552;NA;0,821676424;10;1,9;"HAO"
"CE_AR";"H17";9;0,797358603;NA;0,821676424;10;1,9;"HAO"
"CE_AR";"H17";10;0,811676424;NA;0,821676424;10;1,9;"HAO"
"CE_AR";"H42";0;0,025;NA;1,024915014;14;1,9;"HAO"
"CE_AR";"H42";1;0,360423362;NA;1,024915014;14;1,9;"HAO"
"CE_AR";"H42";2;0,489562822;NA;1,024915014;14;1,9;"HAO"
"CE_AR";"H42";3;0,544380702;NA;1,024915014;14;1,9;"HAO"
"CE_AR";"H42";4;0,620341218;NA;1,024915014;14;1,9;"HAO"
"CE_AR";"H42";5;0,674192866;NA;1,024915014;14;1,9;"HAO"
"CE_AR";"H42";6;0,726537875;NA;1,024915014;14;1,9;"HAO"
"CE_AR";"H42";7;0,764590471;NA;1,024915014;14;1,9;"HAO"
"CE_AR";"H42";8;0,798649243;NA;1,024915014;14;1,9;"HAO"
"CE_AR";"H42";9;0,826809499;NA;1,024915014;14;1,9;"HAO"
"CE_AR";"H42";10;0,86636958;NA;1,024915014;14;1,9;"HAO"
"CE_AR";"H42";11;0,90381287;NA;1,024915014;14;1,9;"HAO"
"CE_AR";"H42";12;0,939617898;NA;1,024915014;14;1,9;"HAO"
"CE_AR";"H42";13;0,978617898;NA;1,024915014;14;1,9;"HAO"
"CE_AR";"H42";14;1,004790403;NA;1,024915014;14;1,9;"HAO"
"CE_AR";"H44";0;0,038948684;NA;0,977716548;13;1,9;"HAO"
"CE_AR";"H44";1;0,310061284;NA;0,977716548;13;1,9;"HAO"
