"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"CE_FL";"GAM18_B007";0;0,059665736;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";1;0,299803269;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";2;0,3922208;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";3;0,448256503;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";4;0,480505534;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";5;0,514681549;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";6;0,549394658;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";7;0,571866863;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";8;0,598792688;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";9;0,623490866;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";10;0,652283226;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";11;0,678225469;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";12;0,703779334;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";13;0,725915278;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";14;0,748762597;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";15;0,770853319;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";16;0,799488961;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";17;0,820583984;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";18;0,842424314;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";19;0,862820392;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";20;0,879820392;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";21;0,904820392;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";22;0,924055776;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";23;0,940818831;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";24;0,960054215;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";25;0,979159188;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";26;0,997186944;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B007";27;1,016603432;NA;1,035042521;27;1,95;"Gambier"
"CE_FL";"GAM18_B014";0;0;NA;0,51681547;3;1,95;"Gambier"
"CE_FL";"GAM18_B014";1;0,263351476;NA;0,51681547;3;1,95;"Gambier"
"CE_FL";"GAM18_B014";2;0,406057468;NA;0,51681547;3;1,95;"Gambier"
"CE_FL";"GAM18_B014";3;0,48170137;NA;0,51681547;3;1,95;"Gambier"
"CE_FL";"GAM18_B046";0;NA;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";1;0,260311352;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";2;0,373421917;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";3;0,443293228;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";4;0,496893601;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";5;0,548893601;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";6;0,587011838;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";7;0,620253378;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";8;0,650403005;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";9;0,680135143;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";10;0,71701332;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";11;0,751422621;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";12;0,782823258;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";13;0,810136259;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";14;0,833395666;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";15;0,853986926;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";16;0,885609703;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";17;0,918730693;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B046";18;0,951041682;NA;0,97772501;18;1,95;"Gambier"
"CE_FL";"GAM18_B047";0;NA;NA;0,914145181;17;1,95;"Gambier"
"CE_FL";"GAM18_B047";1;0,351069794;NA;0,914145181;17;1,95;"Gambier"
