"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"CE_FL";"CE_FL_MA_03_17_214";0;0,050606324;NA;0,379014706;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_214";1;0,202970441;NA;0,379014706;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_214";2;0,254941587;NA;0,379014706;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_214";3;0,301039309;NA;0,379014706;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_214";4;0,337053196;NA;0,379014706;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_214";5;0,363014706;NA;0,379014706;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_215";0;NA;NA;0,404316076;3;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_215";1;0,244638509;NA;0,404316076;3;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_215";2;0,333475438;NA;0,404316076;3;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_215";3;0,383724816;NA;0,404316076;3;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_216";0;0,028460499;NA;0,469954943;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_216";1;0,292742207;NA;0,469954943;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_216";2;0,34910709;NA;0,469954943;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_216";3;0,390543789;NA;0,469954943;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_216";4;0,416038886;NA;0,469954943;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_216";5;0,445871754;NA;0,469954943;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_217";0;NA;NA;0,348388979;3;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_217";1;0,245087739;NA;0,348388979;3;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_217";2;0,301176954;NA;0,348388979;3;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_217";3;0,332577591;NA;0,348388979;3;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_218";0;0,055758407;NA;0,44602099;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_218";1;0,243905719;NA;0,44602099;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_218";2;0,328993909;NA;0,44602099;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_218";3;0,383811789;NA;0,44602099;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_218";4;0,427993233;NA;0,44602099;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_219";0;NA;NA;0,664645753;7;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_219";1;0,340124977;NA;0,664645753;7;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_219";2;0,386611534;NA;0,664645753;7;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_219";3;0,442932046;NA;0,664645753;7;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_219";4;0,485039052;NA;0,664645753;7;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_219";5;0,538189781;NA;0,664645753;7;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_219";6;0,591528323;NA;0,664645753;7;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_219";7;0,63757178;NA;0,664645753;7;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_378";0;0,021931712;NA;0,530138873;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_378";1;0,307975648;NA;0,530138873;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_378";2;0,415055058;NA;0,530138873;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_378";3;0,476055058;NA;0,530138873;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_378";4;0,514107653;NA;0,530138873;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_379";0;NA;NA;0,586742206;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_379";1;0,365410728;NA;0,586742206;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_379";2;0,425093221;NA;0,586742206;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_379";3;0,479324209;NA;0,586742206;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_379";4;0,528983045;NA;0,586742206;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_379";5;0,566346128;NA;0,586742206;5;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_380";0;NA;NA;0,440434641;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_380";1;0,263129246;NA;0,440434641;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_380";2;0,329227657;NA;0,440434641;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_380";3;0,386148655;NA;0,440434641;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_380";4;0,421995552;NA;0,440434641;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_381";0;NA;NA;0,437782721;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_381";1;0,246629276;NA;0,437782721;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_381";2;0,314253237;NA;0,437782721;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_381";3;0,380465018;NA;0,437782721;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_381";4;0,415579118;NA;0,437782721;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_382";0;0,06720863;NA;0,500824028;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_382";1;0,286567619;NA;0,500824028;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_382";2;0,372270594;NA;0,500824028;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_382";3;0,445277443;NA;0,500824028;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_382";4;0,482439251;NA;0,500824028;4;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_383";0;0,041340053;NA;0,422558099;3;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_383";1;0,277683273;NA;0,422558099;3;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_383";2;0,359981511;NA;0,422558099;3;1,95;"Marquises"
"CE_FL";"CE_FL_MA_03_17_383";3;0,397558099;NA;0,422558099;3;1,95;"Marquises"
