species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
CE_UR;GAM18_A002;0;0,038275318;;0,921683764;12;1,9;Gambier
CE_UR;GAM18_A002;1;0,330925974;;0,921683764;12;1,9;Gambier
CE_UR;GAM18_A002;2;0,475515046;;0,921683764;12;1,9;Gambier
CE_UR;GAM18_A002;3;0,534548935;;0,921683764;12;1,9;Gambier
CE_UR;GAM18_A002;4;0,604556078;;0,921683764;12;1,9;Gambier
CE_UR;GAM18_A002;5;0,661415553;;0,921683764;12;1,9;Gambier
CE_UR;GAM18_A002;6;0,718695567;;0,921683764;12;1,9;Gambier
CE_UR;GAM18_A002;7;0,755315234;;0,921683764;12;1,9;Gambier
CE_UR;GAM18_A002;8;0,785794736;;0,921683764;12;1,9;Gambier
CE_UR;GAM18_A002;9;0,81799722;;0,921683764;12;1,9;Gambier
CE_UR;GAM18_A002;10;0,85299722;;0,921683764;12;1,9;Gambier
CE_UR;GAM18_A002;11;0,882729357;;0,921683764;12;1,9;Gambier
CE_UR;GAM18_A002;12;0,902578791;;0,921683764;12;1,9;Gambier
CE_UR;GAM18_A086;0;0,042154478;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;1;0,358949857;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;2;0,49125632;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;3;0,57971535;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;4;0,647139381;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;5;0,70304108;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;6;0,760356;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;7;0,792558484;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;8;0,840443764;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;9;0,876052752;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;10;0,91241207;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;11;0,944192567;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;12;0,984017182;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;13;1,01041794;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;14;1,031512963;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;15;1,056512963;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A086;16;1,080699736;;1,098727492;16;1,9;Gambier
CE_UR;GAM18_A087;0;0;;1,114222536;14;1,9;Gambier
CE_UR;GAM18_A087;1;0,401991293;;1,114222536;14;1,9;Gambier
CE_UR;GAM18_A087;2;0,503203941;;1,114222536;14;1,9;Gambier
CE_UR;GAM18_A087;3;0,612862502;;1,114222536;14;1,9;Gambier
CE_UR;GAM18_A087;4;0,67189639;;1,114222536;14;1,9;Gambier
CE_UR;GAM18_A087;5;0,754703395;;1,114222536;14;1,9;Gambier
CE_UR;GAM18_A087;6;0,80844351;;1,114222536;14;1,9;Gambier
CE_UR;GAM18_A087;7;0,852647583;;1,114222536;14;1,9;Gambier
CE_UR;GAM18_A087;8;0,889444322;;1,114222536;14;1,9;Gambier
CE_UR;GAM18_A087;9;0,928852443;;1,114222536;14;1,9;Gambier
CE_UR;GAM18_A087;10;0,977893242;;1,114222536;14;1,9;Gambier
CE_UR;GAM18_A087;11;1,009293879;;1,114222536;14;1,9;Gambier
CE_UR;GAM18_A087;12;1,036312391;;1,114222536;14;1,9;Gambier
CE_UR;GAM18_A087;13;1,067457214;;1,114222536;14;1,9;Gambier
CE_UR;GAM18_A087;14;1,098602037;;1,114222536;14;1,9;Gambier
CE_UR;GAM18_A088;0;0,055072679;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;1;0,380171014;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;2;0,44828856;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;3;0,516406105;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;4;0,574406105;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;5;0,642882378;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;6;0,708097407;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;7;0,752301479;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;8;0,813913167;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;9;0,866950889;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;10;0,911549095;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;11;0,951909968;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;12;0,991533193;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;13;1,031357809;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;14;1,069646188;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;15;1,100060001;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;16;1,127262942;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A088;17;1,15028467;;1,16584102;17;1,9;Gambier
CE_UR;GAM18_A089;0;NA;;1,055792435;14;1,9;Gambier
CE_UR;GAM18_A089;1;0,420630479;;1,055792435;14;1,9;Gambier
CE_UR;GAM18_A089;2;0,485699673;;1,055792435;14;1,9;Gambier
CE_UR;GAM18_A089;3;0,53257184;;1,055792435;14;1,9;Gambier
CE_UR;GAM18_A089;4;0,589422521;;1,055792435;14;1,9;Gambier
CE_UR;GAM18_A089;5;0,656025825;;1,055792435;14;1,9;Gambier
CE_UR;GAM18_A089;6;0,716631105;;1,055792435;14;1,9;Gambier
CE_UR;GAM18_A089;7;0,754919484;;1,055792435;14;1,9;Gambier
CE_UR;GAM18_A089;8;0,798197654;;1,055792435;14;1,9;Gambier
CE_UR;GAM18_A089;9;0,852649468;;1,055792435;14;1,9;Gambier
CE_UR;GAM18_A089;10;0,882482336;;1,055792435;14;1,9;Gambier
CE_UR;GAM18_A089;11;0,932691896;;1,055792435;14;1,9;Gambier
CE_UR;GAM18_A089;12;0,970494013;;1,055792435;14;1,9;Gambier
CE_UR;GAM18_A089;13;1,004699276;;1,055792435;14;1,9;Gambier
CE_UR;GAM18_A089;14;1,034532143;;1,055792435;14;1,9;Gambier
CE_UR;GAM18_A092;0;0;;1,221867081;16;1,9;Gambier
CE_UR;GAM18_A092;1;0,317668066;;1,221867081;16;1,9;Gambier
CE_UR;GAM18_A092;2;0,407556886;;1,221867081;16;1,9;Gambier
CE_UR;GAM18_A092;3;0,478493477;;1,221867081;16;1,9;Gambier
CE_UR;GAM18_A092;4;0,546611023;;1,221867081;16;1,9;Gambier
CE_UR;GAM18_A092;5;0,615965186;;1,221867081;16;1,9;Gambier
CE_UR;GAM18_A092;6;0,694781428;;1,221867081;16;1,9;Gambier
CE_UR;GAM18_A092;7;0,764092322;;1,221867081;16;1,9;Gambier
CE_UR;GAM18_A092;8;0,821520538;;1,221867081;16;1,9;Gambier
CE_UR;GAM18_A092;9;0,873376107;;1,221867081;16;1,9;Gambier
