species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
CH_CH;GAM18_B011;0;NA;;0,545636447;4;1,97;Gambier
CH_CH;GAM18_B011;1;0,240441261;;0,545636447;4;1,97;Gambier
CH_CH;GAM18_B011;2;0,33527269;;0,545636447;4;1,97;Gambier
CH_CH;GAM18_B011;3;0,417132326;;0,545636447;4;1,97;Gambier
CH_CH;GAM18_B011;4;0,494158296;;0,545636447;4;1,97;Gambier
CH_CH;GAM18_B066;0;NA;;0,746046457;6;1,97;Gambier
CH_CH;GAM18_B066;1;0,212941306;;0,746046457;6;1,97;Gambier
CH_CH;GAM18_B066;2;0,338101204;;0,746046457;6;1,97;Gambier
CH_CH;GAM18_B066;3;0,445105877;;0,746046457;6;1,97;Gambier
CH_CH;GAM18_B066;4;0,525162107;;0,746046457;6;1,97;Gambier
CH_CH;GAM18_B066;5;0,602084146;;0,746046457;6;1,97;Gambier
CH_CH;GAM18_B066;6;0,698339016;;0,746046457;6;1,97;Gambier
