species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
CH_CH;CH_CH_MO_03_16_001;0;NA;;0,323628485;2;1,97;Moorea
CH_CH;CH_CH_MO_03_16_001;1;0,223188261;;0,323628485;2;1,97;Moorea
CH_CH;CH_CH_MO_03_16_001;2;0,295610634;;0,323628485;2;1,97;Moorea
CH_CH;CH_CH_MO_03_16_002;0;0,031304952;;0,306946249;0;1,97;Moorea
CH_CH;CH_CH_MO_03_16_004;0;0,031016125;;0,248515593;0;1,97;Moorea
CH_CH;CH_CH_MO_03_16_006;0;0,021095023;;0,408302173;3;1,97;Moorea
CH_CH;CH_CH_MO_03_16_006;1;0,199612124;;0,408302173;3;1,97;Moorea
CH_CH;CH_CH_MO_03_16_006;2;0,292067519;;0,408302173;3;1,97;Moorea
CH_CH;CH_CH_MO_03_16_006;3;0,359424775;;0,408302173;3;1,97;Moorea
CH_CH;CH_CH_MO_03_16_007;0;0,021400935;;0,28073224;1;1,97;Moorea
CH_CH;CH_CH_MO_03_16_007;1;0,226612003;;0,28073224;1;1,97;Moorea
CH_CH;CH_CH_MO_03_16_010;0;NA;;0,830962563;5;1,97;Moorea
CH_CH;CH_CH_MO_03_16_010;1;0,240010416;;0,830962563;5;1,97;Moorea
CH_CH;CH_CH_MO_03_16_010;2;0,464859255;;0,830962563;5;1,97;Moorea
CH_CH;CH_CH_MO_03_16_010;3;0,57464541;;0,830962563;5;1,97;Moorea
CH_CH;CH_CH_MO_03_16_010;4;0,690580737;;0,830962563;5;1,97;Moorea
CH_CH;CH_CH_MO_03_16_010;5;0,784734866;;0,830962563;5;1,97;Moorea
