species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
CH_OR;GAM18_A041;0;NA;;0,582630304;3;1,45;Gambier
CH_OR;GAM18_A041;1;0,412437874;;0,582630304;3;1,45;Gambier
CH_OR;GAM18_A041;2;0,488759562;;0,582630304;3;1,45;Gambier
CH_OR;GAM18_A041;3;0,535428609;;0,582630304;3;1,45;Gambier
CH_OR;GAM18_A047;0;0,067416615;;0,70148729;7;1,45;Gambier
CH_OR;GAM18_A047;1;0,427569877;;0,70148729;7;1,45;Gambier
CH_OR;GAM18_A047;2;0,503041726;;0,70148729;7;1,45;Gambier
CH_OR;GAM18_A047;3;0,554665364;;0,70148729;7;1,45;Gambier
CH_OR;GAM18_A047;4;0,591543542;;0,70148729;7;1,45;Gambier
CH_OR;GAM18_A047;5;0,62779268;;0,70148729;7;1,45;Gambier
CH_OR;GAM18_A047;6;0,657809342;;0,70148729;7;1,45;Gambier
CH_OR;GAM18_A047;7;0,676248431;;0,70148729;7;1,45;Gambier
CH_OR;GAM18_A062;0;NA;;0,851363696;10;1,45;Gambier
CH_OR;GAM18_A062;1;0,31039491;;0,851363696;10;1,45;Gambier
CH_OR;GAM18_A062;2;0,381900154;;0,851363696;10;1,45;Gambier
CH_OR;GAM18_A062;3;0,442207699;;0,851363696;10;1,45;Gambier
CH_OR;GAM18_A062;4;0,503673137;;0,851363696;10;1,45;Gambier
CH_OR;GAM18_A062;5;0,566067047;;0,851363696;10;1,45;Gambier
CH_OR;GAM18_A062;6;0,61642576;;0,851363696;10;1,45;Gambier
CH_OR;GAM18_A062;7;0,677458538;;0,851363696;10;1,45;Gambier
CH_OR;GAM18_A062;8;0,724149008;;0,851363696;10;1,45;Gambier
CH_OR;GAM18_A062;9;0,776350541;;0,851363696;10;1,45;Gambier
CH_OR;GAM18_A062;10;0,814363696;;0,851363696;10;1,45;Gambier
CH_OR;GAM18_A100;0;0,029732137;;0,604972606;7;1,45;Gambier
CH_OR;GAM18_A100;1;0,366191207;;0,604972606;7;1,45;Gambier
CH_OR;GAM18_A100;2;0,410293361;;0,604972606;7;1,45;Gambier
CH_OR;GAM18_A100;3;0,458842305;;0,604972606;7;1,45;Gambier
CH_OR;GAM18_A100;4;0,498199643;;0,604972606;7;1,45;Gambier
CH_OR;GAM18_A100;5;0,53397673;;0,604972606;7;1,45;Gambier
CH_OR;GAM18_A100;6;0,564439823;;0,604972606;7;1,45;Gambier
CH_OR;GAM18_A100;7;0,588209551;;0,604972606;7;1,45;Gambier
