species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
CH_OR;CH_OR_MA_03_17_055;0;0,033136083;;0,542332177;3;1,45;Marquises
CH_OR;CH_OR_MA_03_17_055;1;0,34399564;;0,542332177;3;1,45;Marquises
CH_OR;CH_OR_MA_03_17_055;2;0,463749554;;0,542332177;3;1,45;Marquises
CH_OR;CH_OR_MA_03_17_055;3;0,51757334;;0,542332177;3;1,45;Marquises
CH_OR;CH_OR_MA_03_17_056;0;0,034058773;;0,669623832;3;1,45;Marquises
CH_OR;CH_OR_MA_03_17_056;1;0,433813324;;0,669623832;3;1,45;Marquises
CH_OR;CH_OR_MA_03_17_056;2;0,536028783;;0,669623832;3;1,45;Marquises
CH_OR;CH_OR_MA_03_17_056;3;0,605670724;;0,669623832;3;1,45;Marquises
CH_OR;CH_OR_MA_03_17_057;0;NA;;0,63319122;3;1,45;Marquises
CH_OR;CH_OR_MA_03_17_057;1;0,402865983;;0,63319122;3;1,45;Marquises
CH_OR;CH_OR_MA_03_17_057;2;0,53837244;;0,63319122;3;1,45;Marquises
CH_OR;CH_OR_MA_03_17_057;3;0,600541564;;0,63319122;3;1,45;Marquises
CH_OR;CH_OR_MA_03_17_168;0;NA;;0,678451749;9;1,45;Marquises
CH_OR;CH_OR_MA_03_17_168;1;0,287271648;;0,678451749;9;1,45;Marquises
CH_OR;CH_OR_MA_03_17_168;2;0,369106849;;0,678451749;9;1,45;Marquises
CH_OR;CH_OR_MA_03_17_168;3;0,419643964;;0,678451749;9;1,45;Marquises
CH_OR;CH_OR_MA_03_17_168;4;0,480913858;;0,678451749;9;1,45;Marquises
CH_OR;CH_OR_MA_03_17_168;5;0,525185746;;0,678451749;9;1,45;Marquises
CH_OR;CH_OR_MA_03_17_168;6;0,57468322;;0,678451749;9;1,45;Marquises
CH_OR;CH_OR_MA_03_17_168;7;0,607924761;;0,678451749;9;1,45;Marquises
CH_OR;CH_OR_MA_03_17_168;8;0,635383821;;0,678451749;9;1,45;Marquises
CH_OR;CH_OR_MA_03_17_168;9;0,659425452;;0,678451749;9;1,45;Marquises
CH_OR;CH_OR_MA_03_17_169;0;NA;;0,579882402;5;1,45;Marquises
CH_OR;CH_OR_MA_03_17_169;1;0,350138544;;0,579882402;5;1,45;Marquises
CH_OR;CH_OR_MA_03_17_169;2;0,432162931;;0,579882402;5;1,45;Marquises
CH_OR;CH_OR_MA_03_17_169;3;0,487389736;;0,579882402;5;1,45;Marquises
CH_OR;CH_OR_MA_03_17_169;4;0,534261902;;0,579882402;5;1,45;Marquises
CH_OR;CH_OR_MA_03_17_169;5;0,564261902;;0,579882402;5;1,45;Marquises
CH_OR;CH_OR_MA_03_17_393;0;NA;;0,477013098;2;1,45;Marquises
CH_OR;CH_OR_MA_03_17_393;1;0,394974683;;0,477013098;2;1,45;Marquises
CH_OR;CH_OR_MA_03_17_393;2;0,450840594;;0,477013098;2;1,45;Marquises
