"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"CH_SP";"GAM18_A014";0;0,022203603;NA;0,748513155;9;1,65;"Gambier"
"CH_SP";"GAM18_A014";1;0,216933169;NA;0,748513155;9;1,65;"Gambier"
"CH_SP";"GAM18_A014";2;0,305933169;NA;0,748513155;9;1,65;"Gambier"
"CH_SP";"GAM18_A014";3;0,365026316;NA;0,748513155;9;1,65;"Gambier"
"CH_SP";"GAM18_A014";4;0,431787083;NA;0,748513155;9;1,65;"Gambier"
"CH_SP";"GAM18_A014";5;0,500036625;NA;0,748513155;9;1,65;"Gambier"
"CH_SP";"GAM18_A014";6;0,577354152;NA;0,748513155;9;1,65;"Gambier"
"CH_SP";"GAM18_A014";7;0,643361728;NA;0,748513155;9;1,65;"Gambier"
"CH_SP";"GAM18_A014";8;0,688372837;NA;0,748513155;9;1,65;"Gambier"
"CH_SP";"GAM18_A014";9;0,720513155;NA;0,748513155;9;1,65;"Gambier"
"CH_SP";"GAM18_A022";0;NA;NA;0,606902507;4;1,65;"Gambier"
"CH_SP";"GAM18_A022";1;0,339013274;NA;0,606902507;4;1,65;"Gambier"
"CH_SP";"GAM18_A022";2;0,458244143;NA;0,606902507;4;1,65;"Gambier"
"CH_SP";"GAM18_A022";3;0,518783386;NA;0,606902507;4;1,65;"Gambier"
"CH_SP";"GAM18_A022";4;0,574145828;NA;0,606902507;4;1,65;"Gambier"
"CH_SP";"GAM18_A024";0;NA;NA;0,501277525;3;1,65;"Gambier"
"CH_SP";"GAM18_A024";1;0,242425246;NA;0,501277525;3;1,65;"Gambier"
"CH_SP";"GAM18_A024";2;0,371223538;NA;0,501277525;3;1,65;"Gambier"
"CH_SP";"GAM18_A024";3;0,466049695;NA;0,501277525;3;1,65;"Gambier"
"CH_SP";"GAM18_A056";0;NA;NA;0,957116852;6;1,65;"Gambier"
"CH_SP";"GAM18_A056";1;0,423870263;NA;0,957116852;6;1,65;"Gambier"
"CH_SP";"GAM18_A056";2;0,550621989;NA;0,957116852;6;1,65;"Gambier"
"CH_SP";"GAM18_A056";3;0,669773153;NA;0,957116852;6;1,65;"Gambier"
"CH_SP";"GAM18_A056";4;0,759972932;NA;0,957116852;6;1,65;"Gambier"
"CH_SP";"GAM18_A056";5;0,831541081;NA;0,957116852;6;1,65;"Gambier"
"CH_SP";"GAM18_A056";6;0,897275395;NA;0,957116852;6;1,65;"Gambier"
"CH_SP";"GAM18_A060";0;0,013601471;NA;0,612473553;5;1,65;"Gambier"
"CH_SP";"GAM18_A060";1;0,283550701;NA;0,612473553;5;1,65;"Gambier"
"CH_SP";"GAM18_A060";2;0,37925859;NA;0,612473553;5;1,65;"Gambier"
"CH_SP";"GAM18_A060";3;0,442858904;NA;0,612473553;5;1,65;"Gambier"
