species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
CH_VI;GAM18_A097;0;NA;;0,364160919;3;3,05;Gambier
CH_VI;GAM18_A097;1;0,215800834;;0,364160919;3;3,05;Gambier
CH_VI;GAM18_A097;2;0,297409657;;0,364160919;3;3,05;Gambier
CH_VI;GAM18_A097;3;0,333144794;;0,364160919;3;3,05;Gambier
CH_VI;GAM18_A133;0;0,024083189;;0,408333203;5;3,05;Gambier
CH_VI;GAM18_A133;1;0,211532503;;0,408333203;5;3,05;Gambier
CH_VI;GAM18_A133;2;0,277266817;;0,408333203;5;3,05;Gambier
CH_VI;GAM18_A133;3;0,321368971;;0,408333203;5;3,05;Gambier
CH_VI;GAM18_A133;4;0,36706361;;0,408333203;5;3,05;Gambier
CH_VI;GAM18_A133;5;0,395294798;;0,408333203;5;3,05;Gambier
CH_VI;GAM18_A137;0;NA;;0,362318078;5;3,05;Gambier
CH_VI;GAM18_A137;1;0,218764714;;0,362318078;5;3,05;Gambier
CH_VI;GAM18_A137;2;0,252779416;;0,362318078;5;3,05;Gambier
CH_VI;GAM18_A137;3;0,283193229;;0,362318078;5;3,05;Gambier
CH_VI;GAM18_A137;4;0,313276447;;0,362318078;5;3,05;Gambier
CH_VI;GAM18_A137;5;0,338276447;;0,362318078;5;3,05;Gambier
CH_VI;GAM18_A139;0;NA;;0,523669985;7;3,05;Gambier
CH_VI;GAM18_A139;1;0,201405064;;0,523669985;7;3,05;Gambier
CH_VI;GAM18_A139;2;0,279973506;;0,523669985;7;3,05;Gambier
CH_VI;GAM18_A139;3;0,34366809;;0,523669985;7;3,05;Gambier
CH_VI;GAM18_A139;4;0,384899146;;0,523669985;7;3,05;Gambier
CH_VI;GAM18_A139;5;0,425899146;;0,523669985;7;3,05;Gambier
CH_VI;GAM18_A139;6;0,464109092;;0,523669985;7;3,05;Gambier
CH_VI;GAM18_A139;7;0,495509729;;0,523669985;7;3,05;Gambier
CH_VI;GAM18_A162;0;0,025495098;;0,403738384;9;3,05;Gambier
CH_VI;GAM18_A162;1;0,171703232;;0,403738384;9;3,05;Gambier
CH_VI;GAM18_A162;2;0,206358679;;0,403738384;9;3,05;Gambier
CH_VI;GAM18_A162;3;0,232759437;;0,403738384;9;3,05;Gambier
CH_VI;GAM18_A162;4;0,261828321;;0,403738384;9;3,05;Gambier
CH_VI;GAM18_A162;5;0,289414549;;0,403738384;9;3,05;Gambier
CH_VI;GAM18_A162;6;0,316340373;;0,403738384;9;3,05;Gambier
CH_VI;GAM18_A162;7;0,342417183;;0,403738384;9;3,05;Gambier
CH_VI;GAM18_A162;8;0,368493992;;0,403738384;9;3,05;Gambier
CH_VI;GAM18_A162;9;0,387095067;;0,403738384;9;3,05;Gambier
CH_VI;GAM18_B013;0;0,031780497;;0,284712532;8;3,05;Gambier
CH_VI;GAM18_B013;1;0,149906638;;0,284712532;8;3,05;Gambier
CH_VI;GAM18_B013;2;0,183432747;;0,284712532;8;3,05;Gambier
CH_VI;GAM18_B013;3;0,202668131;;0,284712532;8;3,05;Gambier
CH_VI;GAM18_B013;4;0,221903515;;0,284712532;8;3,05;Gambier
CH_VI;GAM18_B013;5;0,241320003;;0,284712532;8;3,05;Gambier
CH_VI;GAM18_B013;6;0,254661667;;0,284712532;8;3,05;Gambier
CH_VI;GAM18_B013;7;0,267310778;;0,284712532;8;3,05;Gambier
CH_VI;GAM18_B013;8;0,278712532;;0,284712532;8;3,05;Gambier
