species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
CT_MA;CT_MA_MA_03_17_006;0;NA;;0,81902121;11;1,7;Marquises
CT_MA;CT_MA_MA_03_17_006;1;0,296743997;;0,81902121;11;1,7;Marquises
CT_MA;CT_MA_MA_03_17_006;2;0,420602788;;0,81902121;11;1,7;Marquises
CT_MA;CT_MA_MA_03_17_006;3;0,506468963;;0,81902121;11;1,7;Marquises
CT_MA;CT_MA_MA_03_17_006;4;0,562477891;;0,81902121;11;1,7;Marquises
CT_MA;CT_MA_MA_03_17_006;5;0,595493039;;0,81902121;11;1,7;Marquises
CT_MA;CT_MA_MA_03_17_006;6;0,62805068;;0,81902121;11;1,7;Marquises
CT_MA;CT_MA_MA_03_17_006;7;0,655124653;;0,81902121;11;1,7;Marquises
CT_MA;CT_MA_MA_03_17_006;8;0,699306097;;0,81902121;11;1,7;Marquises
CT_MA;CT_MA_MA_03_17_006;9;0,73336487;;0,81902121;11;1,7;Marquises
CT_MA;CT_MA_MA_03_17_006;10;0,77102121;;0,81902121;11;1,7;Marquises
CT_MA;CT_MA_MA_03_17_006;11;0,79902121;;0,81902121;11;1,7;Marquises
CT_MA;CT_MA_MA_03_17_007;0;0,027166155;;0,931911104;6;1,7;Marquises
CT_MA;CT_MA_MA_03_17_007;1;0,401319075;;0,931911104;6;1,7;Marquises
CT_MA;CT_MA_MA_03_17_007;2;0,561696754;;0,931911104;6;1,7;Marquises
CT_MA;CT_MA_MA_03_17_007;3;0,6712869;;0,931911104;6;1,7;Marquises
CT_MA;CT_MA_MA_03_17_007;4;0,77513294;;0,931911104;6;1,7;Marquises
CT_MA;CT_MA_MA_03_17_007;5;0,856157627;;0,931911104;6;1,7;Marquises
CT_MA;CT_MA_MA_03_17_007;6;0,899895483;;0,931911104;6;1,7;Marquises
CT_MA;CT_MA_MA_03_17_155;0;NA;;0,653611693;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_155;1;0,329619478;;0,653611693;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_155;2;0,412589352;;0,653611693;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_155;3;0,47964157;;0,653611693;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_155;4;0,522965928;;0,653611693;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_155;5;0,555950773;;0,653611693;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_155;6;0,584111029;;0,653611693;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_155;7;0,609190901;;0,653611693;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_155;8;0,627439189;;0,653611693;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_295;0;NA;;0,337490567;3;1,7;Marquises
CT_MA;CT_MA_MA_03_17_295;1;0,217112874;;0,337490567;3;1,7;Marquises
CT_MA;CT_MA_MA_03_17_295;2;0,273014573;;0,337490567;3;1,7;Marquises
CT_MA;CT_MA_MA_03_17_295;3;0,313720838;;0,337490567;3;1,7;Marquises
CT_MA;CT_MA_MA_03_17_296;0;0,021540659;;0,347369303;2;1,7;Marquises
CT_MA;CT_MA_MA_03_17_296;1;0,273095221;;0,347369303;2;1,7;Marquises
CT_MA;CT_MA_MA_03_17_296;2;0,31971067;;0,347369303;2;1,7;Marquises
CT_MA;CT_MA_MA_03_17_297;0;0,039293765;;0,545539382;6;1,7;Marquises
CT_MA;CT_MA_MA_03_17_297;1;0,282120542;;0,545539382;6;1,7;Marquises
CT_MA;CT_MA_MA_03_17_297;2;0,345247398;;0,545539382;6;1,7;Marquises
CT_MA;CT_MA_MA_03_17_297;3;0,399284422;;0,545539382;6;1,7;Marquises
CT_MA;CT_MA_MA_03_17_297;4;0,453321447;;0,545539382;6;1,7;Marquises
CT_MA;CT_MA_MA_03_17_297;5;0,497366878;;0,545539382;6;1,7;Marquises
CT_MA;CT_MA_MA_03_17_297;6;0,523539382;;0,545539382;6;1,7;Marquises
CT_MA;CT_MA_MA_03_17_298;0;NA;;0,943321755;13;1,7;Marquises
CT_MA;CT_MA_MA_03_17_298;1;0,299828284;;0,943321755;13;1,7;Marquises
CT_MA;CT_MA_MA_03_17_298;2;0,444952369;;0,943321755;13;1,7;Marquises
CT_MA;CT_MA_MA_03_17_298;3;0,536974106;;0,943321755;13;1,7;Marquises
CT_MA;CT_MA_MA_03_17_298;4;0,630033227;;0,943321755;13;1,7;Marquises
CT_MA;CT_MA_MA_03_17_298;5;0,674078658;;0,943321755;13;1,7;Marquises
CT_MA;CT_MA_MA_03_17_298;6;0,730221333;;0,943321755;13;1,7;Marquises
CT_MA;CT_MA_MA_03_17_298;7;0,762609603;;0,943321755;13;1,7;Marquises
CT_MA;CT_MA_MA_03_17_298;8;0,798955166;;0,943321755;13;1,7;Marquises
CT_MA;CT_MA_MA_03_17_298;9;0,821955166;;0,943321755;13;1,7;Marquises
CT_MA;CT_MA_MA_03_17_298;10;0,852220658;;0,943321755;13;1,7;Marquises
CT_MA;CT_MA_MA_03_17_298;11;0,88149522;;0,943321755;13;1,7;Marquises
CT_MA;CT_MA_MA_03_17_298;12;0,902708424;;0,943321755;13;1,7;Marquises
CT_MA;CT_MA_MA_03_17_298;13;0,921734722;;0,943321755;13;1,7;Marquises
CT_MA;CT_MA_MA_03_17_299;0;NA;;1,000562742;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_299;1;0,385523021;;1,000562742;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_299;2;0,49356468;;1,000562742;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_299;3;0,592811846;;1,000562742;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_299;4;0,657309908;;1,000562742;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_299;5;0,723438571;;1,000562742;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_299;6;0,809345497;;1,000562742;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_299;7;0,887735547;;1,000562742;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_299;8;0,950552743;;1,000562742;8;1,7;Marquises
CT_MA;CT_MA_MA_03_17_300;0;NA;;0,893652749;10;1,7;Marquises
CT_MA;CT_MA_MA_03_17_300;1;0,334771564;;0,893652749;10;1,7;Marquises
