"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"CT_ST";"GAM18_A003";0;0,060440053;NA;0,870443191;10;1,7;"Gambier"
"CT_ST";"GAM18_A003";1;0,36396291;NA;0,870443191;10;1,7;"Gambier"
"CT_ST";"GAM18_A003";2;0,466982326;NA;0,870443191;10;1,7;"Gambier"
"CT_ST";"GAM18_A003";3;0,533012622;NA;0,870443191;10;1,7;"Gambier"
"CT_ST";"GAM18_A003";4;0,582510097;NA;0,870443191;10;1,7;"Gambier"
"CT_ST";"GAM18_A003";5;0,625695742;NA;0,870443191;10;1,7;"Gambier"
"CT_ST";"GAM18_A003";6;0,659930228;NA;0,870443191;10;1,7;"Gambier"
"CT_ST";"GAM18_A003";7;0,693886082;NA;0,870443191;10;1,7;"Gambier"
"CT_ST";"GAM18_A003";8;0,736312488;NA;0,870443191;10;1,7;"Gambier"
"CT_ST";"GAM18_A003";9;0,782842049;NA;0,870443191;10;1,7;"Gambier"
"CT_ST";"GAM18_A003";10;0,836208705;NA;0,870443191;10;1,7;"Gambier"
"CT_ST";"GAM18_A016";0;NA;NA;0,860905472;12;1,7;"Gambier"
"CT_ST";"GAM18_A016";1;0,299841625;NA;0,860905472;12;1,7;"Gambier"
"CT_ST";"GAM18_A016";2;0,430704148;NA;0,860905472;12;1,7;"Gambier"
"CT_ST";"GAM18_A016";3;0,49573491;NA;0,860905472;12;1,7;"Gambier"
"CT_ST";"GAM18_A016";4;0,54045627;NA;0,860905472;12;1,7;"Gambier"
"CT_ST";"GAM18_A016";5;0,587530679;NA;0,860905472;12;1,7;"Gambier"
"CT_ST";"GAM18_A016";6;0,62673527;NA;0,860905472;12;1,7;"Gambier"
"CT_ST";"GAM18_A016";7;0,663748781;NA;0,860905472;12;1,7;"Gambier"
"CT_ST";"GAM18_A016";8;0,694554625;NA;0,860905472;12;1,7;"Gambier"
"CT_ST";"GAM18_A016";9;0,738961832;NA;0,860905472;12;1,7;"Gambier"
"CT_ST";"GAM18_A016";10;0,77389033;NA;0,860905472;12;1,7;"Gambier"
"CT_ST";"GAM18_A016";11;0,800460991;NA;0,860905472;12;1,7;"Gambier"
"CT_ST";"GAM18_A016";12;0,827663932;NA;0,860905472;12;1,7;"Gambier"
"CT_ST";"GAM18_A018";0;0,050447993;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";1;0,285559101;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";2;0,375758879;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";3;0,448929912;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";4;0,517929912;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";5;0,579744149;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";6;0,634853132;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";7;0,675300629;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";8;0,712300629;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";9;0,750510575;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";10;0,787510575;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";11;0,827958072;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";12;0,873312234;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";13;0,906553774;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";14;0,926478633;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";15;0,955340373;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";16;0,989355075;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A018";17;1,0203712;NA;1,04662001;17;1,7;"Gambier"
"CT_ST";"GAM18_A029";0;0,042485292;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A029";1;0,283536594;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A029";2;0,370680153;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A029";3;0,468424719;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A029";4;0,540431663;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A029";5;0,616141636;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A029";6;0,673176712;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A029";7;0,711504248;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A029";8;0,762855977;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A029";9;0,824670214;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A029";10;0,857243209;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A029";11;0,901243209;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A029";12;0,947514151;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A029";13;0,980514151;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A029";14;1,008692156;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A029";15;1,040092793;NA;1,066512483;15;1,7;"Gambier"
"CT_ST";"GAM18_A033";0;NA;NA;0,93918189;13;1,7;"Gambier"
"CT_ST";"GAM18_A033";1;0,254636997;NA;0,93918189;13;1,7;"Gambier"
"CT_ST";"GAM18_A033";2;0,399771417;NA;0,93918189;13;1,7;"Gambier"
"CT_ST";"GAM18_A033";3;0,478218852;NA;0,93918189;13;1,7;"Gambier"
"CT_ST";"GAM18_A033";4;0,526726583;NA;0,93918189;13;1,7;"Gambier"
"CT_ST";"GAM18_A033";5;0,583020455;NA;0,93918189;13;1,7;"Gambier"
"CT_ST";"GAM18_A033";6;0,630062989;NA;0,93918189;13;1,7;"Gambier"
"CT_ST";"GAM18_A033";7;0,671257649;NA;0,93918189;13;1,7;"Gambier"
"CT_ST";"GAM18_A033";8;0,713695839;NA;0,93918189;13;1,7;"Gambier"
"CT_ST";"GAM18_A033";9;0,758103045;NA;0,93918189;13;1,7;"Gambier"
"CT_ST";"GAM18_A033";10;0,801840901;NA;0,93918189;13;1,7;"Gambier"
"CT_ST";"GAM18_A033";11;0,859642285;NA;0,93918189;13;1,7;"Gambier"
"CT_ST";"GAM18_A033";12;0,885137383;NA;0,93918189;13;1,7;"Gambier"
"CT_ST";"GAM18_A033";13;0,916378381;NA;0,93918189;13;1,7;"Gambier"
"CT_ST";"GAM18_A043";0;0,046324939;NA;0,815012775;10;1,7;"Gambier"
"CT_ST";"GAM18_A043";1;0,334687914;NA;0,815012775;10;1,7;"Gambier"
"CT_ST";"GAM18_A043";2;0,405709038;NA;0,815012775;10;1,7;"Gambier"
"CT_ST";"GAM18_A043";3;0,467717102;NA;0,815012775;10;1,7;"Gambier"
"CT_ST";"GAM18_A043";4;0,517717102;NA;0,815012775;10;1,7;"Gambier"
"CT_ST";"GAM18_A043";5;0,581411686;NA;0,815012775;10;1,7;"Gambier"
"CT_ST";"GAM18_A043";6;0,635263334;NA;0,815012775;10;1,7;"Gambier"
"CT_ST";"GAM18_A043";7;0,685482852;NA;0,815012775;10;1,7;"Gambier"
"CT_ST";"GAM18_A043";8;0,723072744;NA;0,815012775;10;1,7;"Gambier"
"CT_ST";"GAM18_A043";9;0,754978856;NA;0,815012775;10;1,7;"Gambier"
"CT_ST";"GAM18_A043";10;0,787227887;NA;0,815012775;10;1,7;"Gambier"
"CT_ST";"GAM18_A044";0;NA;NA;0,949267285;11;1,7;"Gambier"
"CT_ST";"GAM18_A044";1;0,358402009;NA;0,949267285;11;1,7;"Gambier"
"CT_ST";"GAM18_A044";2;0,470402009;NA;0,949267285;11;1,7;"Gambier"
"CT_ST";"GAM18_A044";3;0,549173831;NA;0,949267285;11;1,7;"Gambier"
"CT_ST";"GAM18_A044";4;0,614173831;NA;0,949267285;11;1,7;"Gambier"
