"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"DA_AR";"DA_AR_MO_03_16_001";0;0,021213203;NA;0,37696817;6;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_001";1;0,208904284;NA;0,37696817;6;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_001";2;0,255914921;NA;0,37696817;6;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_001";3;0,287805359;NA;0,37696817;6;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_001";4;0,317011523;NA;0,37696817;6;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_001";5;0,336246907;NA;0,37696817;6;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_001";6;0,352371422;NA;0,37696817;6;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_002";0;0,02;NA;0,379402284;4;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_002";1;0,22631836;NA;0,379402284;4;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_002";2;0,282354063;NA;0,379402284;4;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_002";3;0,319367574;NA;0,379402284;4;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_002";4;0,35538146;NA;0,379402284;4;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_003";0;0;NA;0,304868028;3;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_003";1;0,198156504;NA;0,304868028;3;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_003";2;0,257570307;NA;0,304868028;3;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_003";3;0,28464428;NA;0,304868028;3;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_004";0;0,019104973;NA;0,420102619;6;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_004";1;0,1761136;NA;0,420102619;6;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_004";2;0,226917143;NA;0,420102619;6;2,1;"Moorea"
"DA_AR";"DA_AR_MO_03_16_004";3;0,275681884;NA;0,420102619;6;2,1;"Moorea"
