"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"DA_FL";"GAM18_B008";0;0,03138471;NA;0,797494376;12;2,1;"Gambier"
"DA_FL";"GAM18_B008";1;0,307858734;NA;0,797494376;12;2,1;"Gambier"
"DA_FL";"GAM18_B008";2;0,372673856;NA;0,797494376;12;2,1;"Gambier"
"DA_FL";"GAM18_B008";3;0,435355591;NA;0,797494376;12;2,1;"Gambier"
"DA_FL";"GAM18_B008";4;0,48344925;NA;0,797494376;12;2,1;"Gambier"
"DA_FL";"GAM18_B008";5;0,53281523;NA;0,797494376;12;2,1;"Gambier"
"DA_FL";"GAM18_B008";6;0,575919754;NA;0,797494376;12;2,1;"Gambier"
"DA_FL";"GAM18_B008";7;0,616231043;NA;0,797494376;12;2,1;"Gambier"
"DA_FL";"GAM18_B008";8;0,652231043;NA;0,797494376;12;2,1;"Gambier"
"DA_FL";"GAM18_B008";9;0,681505605;NA;0,797494376;12;2,1;"Gambier"
"DA_FL";"GAM18_B008";10;0,713645923;NA;0,797494376;12;2,1;"Gambier"
"DA_FL";"GAM18_B008";11;0,74424004;NA;0,797494376;12;2,1;"Gambier"
"DA_FL";"GAM18_B008";12;0,778077888;NA;0,797494376;12;2,1;"Gambier"
"DA_FL";"GAM18_A184";0;NA;NA;0,654861881;7;2,1;"Gambier"
"DA_FL";"GAM18_A184";1;0,247751892;NA;0,654861881;7;2,1;"Gambier"
"DA_FL";"GAM18_A184";2;0,322918374;NA;0,654861881;7;2,1;"Gambier"
"DA_FL";"GAM18_A184";3;0,422321593;NA;0,654861881;7;2,1;"Gambier"
"DA_FL";"GAM18_A184";4;0,510729738;NA;0,654861881;7;2,1;"Gambier"
"DA_FL";"GAM18_A184";5;0,561424905;NA;0,654861881;7;2,1;"Gambier"
"DA_FL";"GAM18_A184";6;0,599700223;NA;0,654861881;7;2,1;"Gambier"
"DA_FL";"GAM18_A184";7;0,62922987;NA;0,654861881;7;2,1;"Gambier"
"DA_FL";"GAM18_A181";0;NA;NA;0,739560891;13;2,1;"Gambier"
"DA_FL";"GAM18_A181";1;0,220730605;NA;0,739560891;13;2,1;"Gambier"
"DA_FL";"GAM18_A181";2;0,323283031;NA;0,739560891;13;2,1;"Gambier"
"DA_FL";"GAM18_A181";3;0,379086256;NA;0,739560891;13;2,1;"Gambier"
"DA_FL";"GAM18_A181";4;0,421465497;NA;0,739560891;13;2,1;"Gambier"
"DA_FL";"GAM18_A181";5;0,454161062;NA;0,739560891;13;2,1;"Gambier"
"DA_FL";"GAM18_A181";6;0,488366325;NA;0,739560891;13;2,1;"Gambier"
"DA_FL";"GAM18_A181";7;0,520428764;NA;0,739560891;13;2,1;"Gambier"
"DA_FL";"GAM18_A181";8;0,554954117;NA;0,739560891;13;2,1;"Gambier"
"DA_FL";"GAM18_A181";9;0,587511758;NA;0,739560891;13;2,1;"Gambier"
"DA_FL";"GAM18_A181";10;0,615954683;NA;0,739560891;13;2,1;"Gambier"
"DA_FL";"GAM18_A181";11;0,652832861;NA;0,739560891;13;2,1;"Gambier"
"DA_FL";"GAM18_A181";12;0,68731474;NA;0,739560891;13;2,1;"Gambier"
"DA_FL";"GAM18_A181";13;0,71504559;NA;0,739560891;13;2,1;"Gambier"
"DA_FL";"GAM18_A095";0;0,030066593;NA;0,680253639;11;2,1;"Gambier"
"DA_FL";"GAM18_A095";1;0,238314918;NA;0,680253639;11;2,1;"Gambier"
"DA_FL";"GAM18_A095";2;0,348700605;NA;0,680253639;11;2,1;"Gambier"
"DA_FL";"GAM18_A095";3;0,428931522;NA;0,680253639;11;2,1;"Gambier"
"DA_FL";"GAM18_A095";4;0,469539403;NA;0,680253639;11;2,1;"Gambier"
"DA_FL";"GAM18_A095";5;0,509701574;NA;0,680253639;11;2,1;"Gambier"
"DA_FL";"GAM18_A095";6;0,542686419;NA;0,680253639;11;2,1;"Gambier"
"DA_FL";"GAM18_A095";7;0,57574697;NA;0,680253639;11;2,1;"Gambier"
"DA_FL";"GAM18_A095";8;0,604815853;NA;0,680253639;11;2,1;"Gambier"
"DA_FL";"GAM18_A095";9;0,631834366;NA;0,680253639;11;2,1;"Gambier"
"DA_FL";"GAM18_A095";10;0,65106975;NA;0,680253639;11;2,1;"Gambier"
"DA_FL";"GAM18_A095";11;0,665935818;NA;0,680253639;11;2,1;"Gambier"
"DA_FL";"GAM18_A093";0;0,031016125;NA;0,71892099;9;2,1;"Gambier"
"DA_FL";"GAM18_A093";1;0,226141549;NA;0,71892099;9;2,1;"Gambier"
"DA_FL";"GAM18_A093";2;0,306795129;NA;0,71892099;9;2,1;"Gambier"
"DA_FL";"GAM18_A093";3;0,393800876;NA;0,71892099;9;2,1;"Gambier"
"DA_FL";"GAM18_A093";4;0,478665474;NA;0,71892099;9;2,1;"Gambier"
"DA_FL";"GAM18_A093";5;0,527430215;NA;0,71892099;9;2,1;"Gambier"
"DA_FL";"GAM18_A093";6;0,577679593;NA;0,71892099;9;2,1;"Gambier"
"DA_FL";"GAM18_A093";7;0,621827073;NA;0,71892099;9;2,1;"Gambier"
"DA_FL";"GAM18_A093";8;0,658840584;NA;0,71892099;9;2,1;"Gambier"
"DA_FL";"GAM18_A093";9;0,689646428;NA;0,71892099;9;2,1;"Gambier"
"DA_FL";"GAM18_A038";0;NA;NA;0,711008066;11;2,1;"Gambier"
"DA_FL";"GAM18_A038";1;0,246174735;NA;0,711008066;11;2,1;"Gambier"
"DA_FL";"GAM18_A038";2;0,358873448;NA;0,711008066;11;2,1;"Gambier"
"DA_FL";"GAM18_A038";3;0,440616949;NA;0,711008066;11;2,1;"Gambier"
"DA_FL";"GAM18_A038";4;0,512644722;NA;0,711008066;11;2,1;"Gambier"
"DA_FL";"GAM18_A038";5;0,540716059;NA;0,711008066;11;2,1;"Gambier"
"DA_FL";"GAM18_A038";6;0,569577799;NA;0,711008066;11;2,1;"Gambier"
"DA_FL";"GAM18_A038";7;0,599107445;NA;0,711008066;11;2,1;"Gambier"
"DA_FL";"GAM18_A038";8;0,623128269;NA;0,711008066;11;2,1;"Gambier"
"DA_FL";"GAM18_A038";9;0,650786903;NA;0,711008066;11;2,1;"Gambier"
"DA_FL";"GAM18_A038";10;0,676418914;NA;0,711008066;11;2,1;"Gambier"
"DA_FL";"GAM18_A038";11;0,696141997;NA;0,711008066;11;2,1;"Gambier"
"DA_FL";"GAM18_A036";0;NA;NA;0,82461399;13;2,1;"Gambier"
"DA_FL";"GAM18_A036";1;0,28754304;NA;0,82461399;13;2,1;"Gambier"
"DA_FL";"GAM18_A036";2;0,348419965;NA;0,82461399;13;2,1;"Gambier"
"DA_FL";"GAM18_A036";3;0,404784848;NA;0,82461399;13;2,1;"Gambier"
"DA_FL";"GAM18_A036";4;0,478133331;NA;0,82461399;13;2,1;"Gambier"
"DA_FL";"GAM18_A036";5;0,546543857;NA;0,82461399;13;2,1;"Gambier"
"DA_FL";"GAM18_A036";6;0,585659071;NA;0,82461399;13;2,1;"Gambier"
"DA_FL";"GAM18_A036";7;0,621783855;NA;0,82461399;13;2,1;"Gambier"
"DA_FL";"GAM18_A036";8;0,659797011;NA;0,82461399;13;2,1;"Gambier"
"DA_FL";"GAM18_A036";9;0,691812632;NA;0,82461399;13;2,1;"Gambier"
"DA_FL";"GAM18_A036";10;0,720967391;NA;0,82461399;13;2,1;"Gambier"
"DA_FL";"GAM18_A036";11;0,753107709;NA;0,82461399;13;2,1;"Gambier"
"DA_FL";"GAM18_A036";12;0,785495978;NA;0,82461399;13;2,1;"Gambier"
"DA_FL";"GAM18_A036";13;0,808582771;NA;0,82461399;13;2,1;"Gambier"
"DA_FL";"GAM18_A030";0;0,020396078;NA;0,793105705;13;2,1;"Gambier"
"DA_FL";"GAM18_A030";1;0,23203448;NA;0,793105705;13;2,1;"Gambier"
"DA_FL";"GAM18_A030";2;0,336154603;NA;0,793105705;13;2,1;"Gambier"
"DA_FL";"GAM18_A030";3;0,424698378;NA;0,793105705;13;2,1;"Gambier"
"DA_FL";"GAM18_A030";4;0,472750433;NA;0,793105705;13;2,1;"Gambier"
"DA_FL";"GAM18_A030";5;0,516488288;NA;0,793105705;13;2,1;"Gambier"
"DA_FL";"GAM18_A030";6;0,556488288;NA;0,793105705;13;2,1;"Gambier"
"DA_FL";"GAM18_A030";7;0,59262691;NA;0,793105705;13;2,1;"Gambier"
"DA_FL";"GAM18_A030";8;0,62162691;NA;0,793105705;13;2,1;"Gambier"
"DA_FL";"GAM18_A030";9;0,655759007;NA;0,793105705;13;2,1;"Gambier"
"DA_FL";"GAM18_A030";10;0,686775131;NA;0,793105705;13;2,1;"Gambier"
"DA_FL";"GAM18_A030";11;0,709775131;NA;0,793105705;13;2,1;"Gambier"
