species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
EP_FA;EP_FA_MA_03_17_025;0;0,035355339;;1,368037753;7;1,35;Marquises
EP_FA;EP_FA_MA_03_17_025;1;0,487246344;;1,368037753;7;1,35;Marquises
EP_FA;EP_FA_MA_03_17_025;2;0,755740292;;1,368037753;7;1,35;Marquises
EP_FA;EP_FA_MA_03_17_025;3;0,94315694;;1,368037753;7;1,35;Marquises
EP_FA;EP_FA_MA_03_17_025;4;1,104392792;;1,368037753;7;1,35;Marquises
EP_FA;EP_FA_MA_03_17_025;5;1,200932939;;1,368037753;7;1,35;Marquises
EP_FA;EP_FA_MA_03_17_025;6;1,262153851;;1,368037753;7;1,35;Marquises
EP_FA;EP_FA_MA_03_17_025;7;1,323619288;;1,368037753;7;1,35;Marquises
EP_FA;EP_FA_MA_03_17_026;0;0,027730849;;1,187786293;6;1,35;Marquises
EP_FA;EP_FA_MA_03_17_026;1;0,487747886;;1,187786293;6;1,35;Marquises
EP_FA;EP_FA_MA_03_17_026;2;0,763258321;;1,187786293;6;1,35;Marquises
EP_FA;EP_FA_MA_03_17_026;3;0,934658438;;1,187786293;6;1,35;Marquises
EP_FA;EP_FA_MA_03_17_026;4;1,069806505;;1,187786293;6;1,35;Marquises
EP_FA;EP_FA_MA_03_17_026;5;1,113635719;;1,187786293;6;1,35;Marquises
EP_FA;EP_FA_MA_03_17_026;6;1,158580129;;1,187786293;6;1,35;Marquises
EP_FA;EP_FA_MA_03_17_027;0;NA;;1,387366058;9;1,35;Marquises
EP_FA;EP_FA_MA_03_17_027;1;0,489531409;;1,387366058;9;1,35;Marquises
EP_FA;EP_FA_MA_03_17_027;2;0,668151116;;1,387366058;9;1,35;Marquises
EP_FA;EP_FA_MA_03_17_027;3;0,768997534;;1,387366058;9;1,35;Marquises
EP_FA;EP_FA_MA_03_17_027;4;0,87858768;;1,387366058;9;1,35;Marquises
EP_FA;EP_FA_MA_03_17_027;5;0,985942233;;1,387366058;9;1,35;Marquises
EP_FA;EP_FA_MA_03_17_027;6;1,091493168;;1,387366058;9;1,35;Marquises
EP_FA;EP_FA_MA_03_17_027;7;1,171098444;;1,387366058;9;1,35;Marquises
EP_FA;EP_FA_MA_03_17_027;8;1,261087333;;1,387366058;9;1,35;Marquises
EP_FA;EP_FA_MA_03_17_027;9;1,326950828;;1,387366058;9;1,35;Marquises
EP_FA;EP_FA_MA_03_17_028;0;NA;;1,166811159;5;1,35;Marquises
EP_FA;EP_FA_MA_03_17_028;1;0,412922511;;1,166811159;5;1,35;Marquises
EP_FA;EP_FA_MA_03_17_028;2;0,596020845;;1,166811159;5;1,35;Marquises
EP_FA;EP_FA_MA_03_17_028;3;0,774696529;;1,166811159;5;1,35;Marquises
EP_FA;EP_FA_MA_03_17_028;4;0,920109733;;1,166811159;5;1,35;Marquises
EP_FA;EP_FA_MA_03_17_028;5;1,080272151;;1,166811159;5;1,35;Marquises
EP_FA;EP_FA_MA_03_17_330;0;0,023086793;;0,841465305;4;1,35;Marquises
EP_FA;EP_FA_MA_03_17_330;1;0,335013433;;0,841465305;4;1,35;Marquises
EP_FA;EP_FA_MA_03_17_330;2;0,491831799;;0,841465305;4;1,35;Marquises
EP_FA;EP_FA_MA_03_17_330;3;0,634611349;;0,841465305;4;1,35;Marquises
EP_FA;EP_FA_MA_03_17_330;4;0,785492097;;0,841465305;4;1,35;Marquises
EP_FA;EP_FA_MA_03_17_398;0;NA;;0,551295232;3;1,35;Marquises
EP_FA;EP_FA_MA_03_17_398;1;0,309854805;;0,551295232;3;1,35;Marquises
EP_FA;EP_FA_MA_03_17_398;2;0,425306093;;0,551295232;3;1,35;Marquises
EP_FA;EP_FA_MA_03_17_398;3;0,501365281;;0,551295232;3;1,35;Marquises
EP_FA;EP_FA_MA_03_17_399;0;NA;;0,922526995;5;1,35;Marquises
EP_FA;EP_FA_MA_03_17_399;1;0,389997436;;0,922526995;5;1,35;Marquises
EP_FA;EP_FA_MA_03_17_399;2;0,532871506;;0,922526995;5;1,35;Marquises
EP_FA;EP_FA_MA_03_17_399;3;0,679312621;;0,922526995;5;1,35;Marquises
EP_FA;EP_FA_MA_03_17_399;4;0,804903226;;0,922526995;5;1,35;Marquises
EP_FA;EP_FA_MA_03_17_399;5;0,880646212;;0,922526995;5;1,35;Marquises
EP_FA;EP_FA_MA_03_17_400;0;0,032756679;;0,872861143;6;1,35;Marquises
