"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"EP_IN";"GAM18_A011";0;NA;NA;1,042139848;12;2,2;"Moorea"
"EP_IN";"GAM18_A011";1;0,363584928;NA;1,042139848;12;2,2;"Moorea"
"EP_IN";"GAM18_A011";2;0,430068009;NA;1,042139848;12;2,2;"Moorea"
"EP_IN";"GAM18_A011";3;0,512947439;NA;1,042139848;12;2,2;"Moorea"
"EP_IN";"GAM18_A011";4;0,579520707;NA;1,042139848;12;2,2;"Moorea"
"EP_IN";"GAM18_A011";5;0,64276626;NA;1,042139848;12;2,2;"Moorea"
"EP_IN";"GAM18_A011";6;0,709249341;NA;1,042139848;12;2,2;"Moorea"
"EP_IN";"GAM18_A011";7;0,779256483;NA;1,042139848;12;2,2;"Moorea"
"EP_IN";"GAM18_A011";8;0,836396662;NA;1,042139848;12;2,2;"Moorea"
"EP_IN";"GAM18_A011";9;0,889406095;NA;1,042139848;12;2,2;"Moorea"
"EP_IN";"GAM18_A011";10;0,940513824;NA;1,042139848;12;2,2;"Moorea"
"EP_IN";"GAM18_A011";11;0,971754823;NA;1,042139848;12;2,2;"Moorea"
"EP_IN";"GAM18_A011";12;1,005370296;NA;1,042139848;12;2,2;"Moorea"
"EP_IN";"GAM18_A048";0;NA;NA;0,821997585;7;2,2;"Moorea"
"EP_IN";"GAM18_A048";1;0,32889208;NA;0,821997585;7;2,2;"Moorea"
"EP_IN";"GAM18_A048";2;0,425566792;NA;0,821997585;7;2,2;"Moorea"
"EP_IN";"GAM18_A048";3;0,524864325;NA;0,821997585;7;2,2;"Moorea"
"EP_IN";"GAM18_A048";4;0,595800916;NA;0,821997585;7;2,2;"Moorea"
"EP_IN";"GAM18_A048";5;0,664211441;NA;0,821997585;7;2,2;"Moorea"
"EP_IN";"GAM18_A048";6;0,717012957;NA;0,821997585;7;2,2;"Moorea"
"EP_IN";"GAM18_A048";7;0,771391261;NA;0,821997585;7;2,2;"Moorea"
"EP_IN";"GAM18_A049";0;NA;NA;0,671547697;7;2,2;"Moorea"
"EP_IN";"GAM18_A049";1;0,311719425;NA;0,671547697;7;2,2;"Moorea"
"EP_IN";"GAM18_A049";2;0,374964978;NA;0,671547697;7;2,2;"Moorea"
"EP_IN";"GAM18_A049";3;0,431577698;NA;0,671547697;7;2,2;"Moorea"
"EP_IN";"GAM18_A049";4;0,494227518;NA;0,671547697;7;2,2;"Moorea"
"EP_IN";"GAM18_A049";5;0,552476982;NA;0,671547697;7;2,2;"Moorea"
"EP_IN";"GAM18_A049";6;0,599434409;NA;0,671547697;7;2,2;"Moorea"
"EP_IN";"GAM18_A049";7;0,644088636;NA;0,671547697;7;2,2;"Moorea"
"EP_IN";"GAM18_A051";0;NA;NA;0,686372256;7;2,2;"Moorea"
