"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"EP_IN";"EP_IN_MO_03_16_001";0;NA;NA;1,122289287;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_001";1;0,472492328;NA;1,122289287;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_001";2;0,54461722;NA;1,122289287;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_001";3;0,641079648;NA;1,122289287;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_001";4;0,698881032;NA;1,122289287;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_001";5;0,756335361;NA;1,122289287;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_001";6;0,823454658;NA;1,122289287;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_001";7;0,914190539;NA;1,122289287;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_001";8;0,963869508;NA;1,122289287;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_001";9;1,017282989;NA;1,122289287;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_001";10;1,070433718;NA;1,122289287;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_002";0;0,062008064;NA;1,065492739;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_002";1;0,322888526;NA;1,065492739;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_002";2;0,443304471;NA;1,065492739;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_002";3;0,563120998;NA;1,065492739;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_002";4;0,653730048;NA;1,065492739;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_002";5;0,726969382;NA;1,065492739;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_002";6;0,789259028;NA;1,065492739;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_002";7;0,856882988;NA;1,065492739;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_002";8;0,903637667;NA;1,065492739;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_002";9;0,953966585;NA;1,065492739;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_002";10;1,011455715;NA;1,065492739;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_003";0;NA;NA;1,006018179;8;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_003";1;0,519773027;NA;1,006018179;8;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_003";2;0,621306273;NA;1,006018179;8;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_003";3;0,689716799;NA;1,006018179;8;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_003";4;0,750544424;NA;1,006018179;8;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_003";5;0,822245191;NA;1,006018179;8;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_003";6;0,876152519;NA;1,006018179;8;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_003";7;0,915101203;NA;1,006018179;8;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_003";8;0,96922144;NA;1,006018179;8;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_004";0;NA;NA;0,902693732;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_004";1;0,341397129;NA;0,902693732;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_004";2;0,40927938;NA;0,902693732;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_004";3;0,467528844;NA;0,902693732;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_004";4;0,529754241;NA;0,902693732;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_004";5;0,576423288;NA;0,902693732;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_004";6;0,637250914;NA;0,902693732;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_004";7;0,679119756;NA;0,902693732;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_004";8;0,735758965;NA;0,902693732;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_004";9;0,799170321;NA;0,902693732;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_004";10;0,849618314;NA;0,902693732;10;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_006";0;NA;NA;0,729530471;7;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_006";1;0,330260503;NA;0,729530471;7;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_006";2;0,407513335;NA;0,729530471;7;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_006";3;0,468118615;NA;0,729530471;7;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_006";4;0,524020315;NA;0,729530471;7;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_006";5;0,586309961;NA;0,729530471;7;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_006";6;0,641627227;NA;0,729530471;7;2,2;"Moorea"
"EP_IN";"EP_IN_MO_03_16_006";7;0,684077198;NA;0,729530471;7;2,2;"Moorea"
