"species";"id";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"EP_ME";"GAM18_A004";0;NA;NA;1,838849619;13;1,5;"Gambier"
"EP_ME";"GAM18_A004";1;0,68331252;NA;1,838849619;13;1,5;"Gambier"
"EP_ME";"GAM18_A004";2;0,945003177;NA;1,838849619;13;1,5;"Gambier"
"EP_ME";"GAM18_A004";3;1,123913769;NA;1,838849619;13;1,5;"Gambier"
"EP_ME";"GAM18_A004";4;1,241302014;NA;1,838849619;13;1,5;"Gambier"
"EP_ME";"GAM18_A004";5;1,31840584;NA;1,838849619;13;1,5;"Gambier"
"EP_ME";"GAM18_A004";6;1,397727968;NA;1,838849619;13;1,5;"Gambier"
"EP_ME";"GAM18_A004";7;1,470563399;NA;1,838849619;13;1,5;"Gambier"
"EP_ME";"GAM18_A004";8;1,546306386;NA;1,838849619;13;1,5;"Gambier"
"EP_ME";"GAM18_A004";9;1,628507359;NA;1,838849619;13;1,5;"Gambier"
"EP_ME";"GAM18_A004";10;1,686308743;NA;1,838849619;13;1,5;"Gambier"
"EP_ME";"GAM18_A004";11;1,74472107;NA;1,838849619;13;1,5;"Gambier"
"EP_ME";"GAM18_A004";12;1,786494267;NA;1,838849619;13;1,5;"Gambier"
"EP_ME";"GAM18_A004";13;1,820464843;NA;1,838849619;13;1,5;"Gambier"
"EP_ME";"GAM18_A013";0;0,034409301;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A013";1;0,56380227;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A013";2;0,70380227;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A013";3;0,793300874;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A013";4;0,879857214;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A013";5;0,955520943;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A013";6;1,024113946;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A013";7;1,10077554;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A013";8;1,168451237;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A013";9;1,249796182;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A013";10;1,328205365;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A013";11;1,401961721;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A013";12;1,460013422;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A013";13;1,536433314;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A013";14;1,608634422;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A013";15;1,646844369;NA;1,684646485;15;1,5;"Gambier"
"EP_ME";"GAM18_A017";0;NA;NA;1,502399145;11;1,5;"Gambier"
"EP_ME";"GAM18_A017";1;0,556924591;NA;1,502399145;11;1,5;"Gambier"
"EP_ME";"GAM18_A017";2;0,740843051;NA;1,502399145;11;1,5;"Gambier"
"EP_ME";"GAM18_A017";3;0,815119562;NA;1,502399145;11;1,5;"Gambier"
