"species";"id";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"EP_ME";"H12";0;0,044687806;25,5;1,30064678;9;1,5;"HAO"
"EP_ME";"H12";1;0,691072355;25,5;1,30064678;9;1,5;"HAO"
"EP_ME";"H12";2;0,778490889;25,5;1,30064678;9;1,5;"HAO"
"EP_ME";"H12";3;0,865467897;25,5;1,30064678;9;1,5;"HAO"
"EP_ME";"H12";4;0,936685872;25,5;1,30064678;9;1,5;"HAO"
"EP_ME";"H12";5;1,008553807;25,5;1,30064678;9;1,5;"HAO"
"EP_ME";"H12";6;1,078210106;25,5;1,30064678;9;1,5;"HAO"
"EP_ME";"H12";7;1,146092357;25,5;1,30064678;9;1,5;"HAO"
"EP_ME";"H12";8;1,204075113;25,5;1,30064678;9;1,5;"HAO"
"EP_ME";"H12";9;1,257926761;25,5;1,30064678;9;1,5;"HAO"
"EP_ME";"H13";0;0,039623226;26,1;1,729002796;8;1,5;"HAO"
"EP_ME";"H13";1;0,770646482;26,1;1,729002796;8;1,5;"HAO"
"EP_ME";"H13";2;0,921659726;26,1;1,729002796;8;1,5;"HAO"
"EP_ME";"H13";3;1,084447932;26,1;1,729002796;8;1,5;"HAO"
"EP_ME";"H13";4;1,238830574;26,1;1,729002796;8;1,5;"HAO"
"EP_ME";"H13";5;1,3795466;26,1;1,729002796;8;1,5;"HAO"
"EP_ME";"H13";6;1,49601548;26,1;1,729002796;8;1,5;"HAO"
"EP_ME";"H13";7;1,587846847;26,1;1,729002796;8;1,5;"HAO"
"EP_ME";"H13";8;1,679263476;26,1;1,729002796;8;1,5;"HAO"
"EP_ME";"H50";0;NA;26;1,583174036;11;1,5;"HAO"
"EP_ME";"H50";1;0,617628529;26;1,583174036;11;1,5;"HAO"
"EP_ME";"H50";2;0,732397863;26;1,583174036;11;1,5;"HAO"
"EP_ME";"H50";3;0,873412047;26;1,583174036;11;1,5;"HAO"
"EP_ME";"H50";4;0,986549132;26;1,583174036;11;1,5;"HAO"
"EP_ME";"H50";5;1,097337218;26;1,583174036;11;1,5;"HAO"
