"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"EP_PO";"H19";0;0,052497619;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";1;1,054101039;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";2;1,344813956;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";3;1,610464101;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";4;1,798008763;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";5;1,962158085;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";6;2,088688714;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";7;2,194754731;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";8;2,31669324;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";9;2,478226518;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";10;2,555388685;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";11;2,669274593;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";12;2,75530947;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";13;2,8223766;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";14;2,931229712;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";15;3,112229712;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";16;3,28094545;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";17;3,368243789;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";18;3,494453931;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";19;3,639453931;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H19";20;3,784453931;46,6;3,85913994;20;NA;"HAO"
"EP_PO";"H20";0;0,054378304;35,5;2,742845915;14;NA;"HAO"
"EP_PO";"H20";1;0,685335684;35,5;2,742845915;14;NA;"HAO"
"EP_PO";"H20";2;0,928968605;35,5;2,742845915;14;NA;"HAO"
"EP_PO";"H20";3;1,123208148;35,5;2,742845915;14;NA;"HAO"
"EP_PO";"H20";4;1,280907228;35,5;2,742845915;14;NA;"HAO"
"EP_PO";"H20";5;1,397907228;35,5;2,742845915;14;NA;"HAO"
"EP_PO";"H20";6;1,541563067;35,5;2,742845915;14;NA;"HAO"
"EP_PO";"H20";7;1,689752135;35,5;2,742845915;14;NA;"HAO"
"EP_PO";"H20";8;1,853953232;35,5;2,742845915;14;NA;"HAO"
"EP_PO";"H20";9;2,068359388;35,5;2,742845915;14;NA;"HAO"
"EP_PO";"H20";10;2,256401937;35,5;2,742845915;14;NA;"HAO"
"EP_PO";"H20";11;2,375414541;35,5;2,742845915;14;NA;"HAO"
"EP_PO";"H20";12;2,473169336;35,5;2,742845915;14;NA;"HAO"
"EP_PO";"H20";13;2,588772104;35,5;2,742845915;14;NA;"HAO"
"EP_PO";"H20";14;2,694081173;35,5;2,742845915;14;NA;"HAO"
"EP_PO";"H26";0;0,080062476;45;2,727388354;11;NA;"HAO"
"EP_PO";"H26";1;1,102848131;45;2,727388354;11;NA;"HAO"
"EP_PO";"H26";2;1,273941673;45;2,727388354;11;NA;"HAO"
"EP_PO";"H26";3;1,492161745;45;2,727388354;11;NA;"HAO"
"EP_PO";"H26";4;1,663567696;45;2,727388354;11;NA;"HAO"
"EP_PO";"H26";5;1,780909078;45;2,727388354;11;NA;"HAO"
"EP_PO";"H26";6;1,91446431;45;2,727388354;11;NA;"HAO"
"EP_PO";"H26";7;2,050258272;45;2,727388354;11;NA;"HAO"
"EP_PO";"H26";8;2,165951833;45;2,727388354;11;NA;"HAO"
"EP_PO";"H26";9;2,306990834;45;2,727388354;11;NA;"HAO"
"EP_PO";"H26";10;2,437179159;45;2,727388354;11;NA;"HAO"
"EP_PO";"H26";11;2,616190332;45;2,727388354;11;NA;"HAO"
"EP_PO";"H27";0;0,098112181;40;2,538652293;8;NA;"HAO"
"EP_PO";"H27";1;1,008347658;40;2,538652293;8;NA;"HAO"
"EP_PO";"H27";2;1,294307446;40;2,538652293;8;NA;"HAO"
