species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
GN_AU;GAM18_B061;0;0,044011362;;1,055766027;9;1,55;Gambier
GN_AU;GAM18_B061;1;0,512410968;;1,055766027;9;1,55;Gambier
GN_AU;GAM18_B061;2;0,608212847;;1,055766027;9;1,55;Gambier
GN_AU;GAM18_B061;3;0,669433758;;1,055766027;9;1,55;Gambier
GN_AU;GAM18_B061;4;0,732059631;;1,055766027;9;1,55;Gambier
GN_AU;GAM18_B061;5;0,796503405;;1,055766027;9;1,55;Gambier
GN_AU;GAM18_B061;6;0,842110422;;1,055766027;9;1,55;Gambier
GN_AU;GAM18_B061;7;0,905710737;;1,055766027;9;1,55;Gambier
GN_AU;GAM18_B061;8;0,959534523;;1,055766027;9;1,55;Gambier
GN_AU;GAM18_B061;9;1,011936813;;1,055766027;9;1,55;Gambier
GN_AU;GAM18_B062;0;0,051894123;;0,885837874;5;1,55;Gambier
GN_AU;GAM18_B062;1;0,479854145;;0,885837874;5;1,55;Gambier
GN_AU;GAM18_B062;2;0,599327991;;0,885837874;5;1,55;Gambier
GN_AU;GAM18_B062;3;0,692413973;;0,885837874;5;1,55;Gambier
GN_AU;GAM18_B062;4;0,755540829;;0,885837874;5;1,55;Gambier
GN_AU;GAM18_B062;5;0,841633802;;0,885837874;5;1,55;Gambier
GN_AU;GAM18_B063;0;NA;;1,373376078;12;1,55;Gambier
GN_AU;GAM18_B063;1;0,487594093;;1,373376078;12;1,55;Gambier
GN_AU;GAM18_B063;2;0,665790614;;1,373376078;12;1,55;Gambier
GN_AU;GAM18_B063;3;0,763412333;;1,373376078;12;1,55;Gambier
GN_AU;GAM18_B063;4;0,862659499;;1,373376078;12;1,55;Gambier
GN_AU;GAM18_B063;5;0,946146025;;1,373376078;12;1,55;Gambier
GN_AU;GAM18_B063;6;1,010496627;;1,373376078;12;1,55;Gambier
GN_AU;GAM18_B063;7;1,064311124;;1,373376078;12;1,55;Gambier
GN_AU;GAM18_B063;8;1,136781807;;1,373376078;12;1,55;Gambier
GN_AU;GAM18_B063;9;1,19225252;;1,373376078;12;1,55;Gambier
GN_AU;GAM18_B063;10;1,253080146;;1,373376078;12;1,55;Gambier
GN_AU;GAM18_B063;11;1,313907771;;1,373376078;12;1,55;Gambier
GN_AU;GAM18_B063;12;1,35070451;;1,373376078;12;1,55;Gambier
GN_AU;GAM18_B102;0;NA;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;1;0,493121689;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;2;0,5914731;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;3;0,648857767;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;4;0,701202776;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;5;0,761344276;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;6;0,817245975;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;7;0,877387475;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;8;0,923485197;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;9;0,970866628;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;10;1,028146642;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;11;1,069195394;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;12;1,110968591;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;13;1,161178152;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;14;1,21208984;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;15;1,258758887;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;16;1,290774509;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B102;17;1,313578017;;1,337619648;17;1,55;Gambier
GN_AU;GAM18_B103;0;NA;;1,349723345;13;1,55;Gambier
GN_AU;GAM18_B103;1;0,504631549;;1,349723345;13;1,55;Gambier
GN_AU;GAM18_B103;2;0,61356272;;1,349723345;13;1,55;Gambier
GN_AU;GAM18_B103;3;0,706018114;;1,349723345;13;1,55;Gambier
GN_AU;GAM18_B103;4;0,778143006;;1,349723345;13;1,55;Gambier
GN_AU;GAM18_B103;5;0,854543268;;1,349723345;13;1,55;Gambier
GN_AU;GAM18_B103;6;0,919735292;;1,349723345;13;1,55;Gambier
GN_AU;GAM18_B103;7;0,981355094;;1,349723345;13;1,55;Gambier
GN_AU;GAM18_B103;8;1,034364527;;1,349723345;13;1,55;Gambier
GN_AU;GAM18_B103;9;1,098019849;;1,349723345;13;1,55;Gambier
GN_AU;GAM18_B103;10;1,146434723;;1,349723345;13;1,55;Gambier
GN_AU;GAM18_B103;11;1,199510141;;1,349723345;13;1,55;Gambier
GN_AU;GAM18_B103;12;1,25541184;;1,349723345;13;1,55;Gambier
GN_AU;GAM18_B103;13;1,309263488;;1,349723345;13;1,55;Gambier
GN_AU;GAM18_B104;0;0,048052055;;1,210498789;13;1,55;Gambier
GN_AU;GAM18_B104;1;0,477975941;;1,210498789;13;1,55;Gambier
GN_AU;GAM18_B104;2;0,623316919;;1,210498789;13;1,55;Gambier
GN_AU;GAM18_B104;3;0,694041738;;1,210498789;13;1,55;Gambier
GN_AU;GAM18_B104;4;0,768452759;;1,210498789;13;1,55;Gambier
GN_AU;GAM18_B104;5;0,819853148;;1,210498789;13;1,55;Gambier
GN_AU;GAM18_B104;6;0,882980004;;1,210498789;13;1,55;Gambier
GN_AU;GAM18_B104;7;0,934292771;;1,210498789;13;1,55;Gambier
GN_AU;GAM18_B104;8;0,981674202;;1,210498789;13;1,55;Gambier
GN_AU;GAM18_B104;9;1,015644777;;1,210498789;13;1,55;Gambier
GN_AU;GAM18_B104;10;1,056104634;;1,210498789;13;1,55;Gambier
GN_AU;GAM18_B104;11;1,107505023;;1,210498789;13;1,55;Gambier
GN_AU;GAM18_B104;12;1,137984524;;1,210498789;13;1,55;Gambier
GN_AU;GAM18_B104;13;1,183591541;;1,210498789;13;1,55;Gambier
GN_AU;GAM18_B105;0;NA;;1,381539188;13;1,55;Gambier
GN_AU;GAM18_B105;1;0,545237563;;1,381539188;13;1,55;Gambier
GN_AU;GAM18_B105;2;0,658515981;;1,381539188;13;1,55;Gambier
GN_AU;GAM18_B105;3;0,760187019;;1,381539188;13;1,55;Gambier
GN_AU;GAM18_B105;4;0,843625619;;1,381539188;13;1,55;Gambier
GN_AU;GAM18_B105;5;0,908679443;;1,381539188;13;1,55;Gambier
GN_AU;GAM18_B105;6;0,975387763;;1,381539188;13;1,55;Gambier
GN_AU;GAM18_B105;7;1,039278295;;1,381539188;13;1,55;Gambier
GN_AU;GAM18_B105;8;1,097079679;;1,381539188;13;1,55;Gambier
GN_AU;GAM18_B105;9;1,148480068;;1,381539188;13;1,55;Gambier
GN_AU;GAM18_B105;10;1,208621568;;1,381539188;13;1,55;Gambier
GN_AU;GAM18_B105;11;1,261252357;;1,381539188;13;1,55;Gambier
GN_AU;GAM18_B105;12;1,304194178;;1,381539188;13;1,55;Gambier
GN_AU;GAM18_B105;13;1,356539188;;1,381539188;13;1,55;Gambier
GN_AU;GAM18_B106;0;NA;;0,92349543;4;1,55;Gambier
GN_AU;GAM18_B106;1;0,564299566;;0,92349543;4;1,55;Gambier
GN_AU;GAM18_B106;2;0,686053416;;0,92349543;4;1,55;Gambier
GN_AU;GAM18_B106;3;0,769029316;;0,92349543;4;1,55;Gambier
GN_AU;GAM18_B106;4;0,867629519;;0,92349543;4;1,55;Gambier
