species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
GY_UN;GAM18_B012;0;0,028861739;;0,886122077;7;2,75;Gambier
GY_UN;GAM18_B012;1;0,368761441;;0,886122077;7;2,75;Gambier
GY_UN;GAM18_B012;2;0,49061381;;0,886122077;7;2,75;Gambier
GY_UN;GAM18_B012;3;0,592147056;;0,886122077;7;2,75;Gambier
GY_UN;GAM18_B012;4;0,675008386;;0,886122077;7;2,75;Gambier
GY_UN;GAM18_B012;5;0,741416217;;0,886122077;7;2,75;Gambier
GY_UN;GAM18_B012;6;0,793761226;;0,886122077;7;2,75;Gambier
GY_UN;GAM18_B012;7;0,848906489;;0,886122077;7;2,75;Gambier
GY_UN;GAM18_B036;0;NA;;0,455398285;2;2,75;Gambier
GY_UN;GAM18_B036;1;0,283296664;;0,455398285;2;2,75;Gambier
GY_UN;GAM18_B036;2;0,386776131;;0,455398285;2;2,75;Gambier
GY_UN;GAM18_B072;0;0,037947332;;0,717933395;4;2,75;Gambier
GY_UN;GAM18_B072;1;0,321819825;;0,717933395;4;2,75;Gambier
GY_UN;GAM18_B072;2;0,473058048;;0,717933395;4;2,75;Gambier
GY_UN;GAM18_B072;3;0,581298521;;0,717933395;4;2,75;Gambier
GY_UN;GAM18_B072;4;0,675213376;;0,717933395;4;2,75;Gambier
GY_UN;GAM18_B073;0;0,029410882;;0,443925276;3;2,75;Gambier
GY_UN;GAM18_B073;1;0,277238165;;0,443925276;3;2,75;Gambier
GY_UN;GAM18_B073;2;0,351568508;;0,443925276;3;2,75;Gambier
GY_UN;GAM18_B073;3;0,409749261;;0,443925276;3;2,75;Gambier
