species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
HA_TR;GAM18_A019;0;NA;;0,49322917;4;1,58;Gambier
HA_TR;GAM18_A019;1;0,248213618;;0,49322917;4;1,58;Gambier
HA_TR;GAM18_A019;2;0,321014717;;0,49322917;4;1,58;Gambier
HA_TR;GAM18_A019;3;0,423215499;;0,49322917;4;1,58;Gambier
HA_TR;GAM18_A019;4;0,468470333;;0,49322917;4;1,58;Gambier
HA_TR;GAM18_A021;0;NA;;0,498208054;3;1,58;Gambier
HA_TR;GAM18_A021;1;0,28923347;;0,498208054;3;1,58;Gambier
HA_TR;GAM18_A021;2;0,387706816;;0,498208054;3;1,58;Gambier
HA_TR;GAM18_A021;3;0,460129189;;0,498208054;3;1,58;Gambier
HA_TR;GAM18_A025;0;0,05565968;;0,418261943;3;1,58;Gambier
HA_TR;GAM18_A025;1;0,22703524;;0,418261943;3;1,58;Gambier
HA_TR;GAM18_A025;2;0,323295304;;0,418261943;3;1,58;Gambier
HA_TR;GAM18_A025;3;0,388732297;;0,418261943;3;1,58;Gambier
HA_TR;GAM18_A028;0;0,054009258;;0,432152857;2;1,58;Gambier
HA_TR;GAM18_A028;1;0,2704071;;0,432152857;2;1,58;Gambier
HA_TR;GAM18_A028;2;0,366114989;;0,432152857;2;1,58;Gambier
HA_TR;GAM18_A193;0;NA;;0,412459574;3;1,58;Gambier
HA_TR;GAM18_A193;1;0,197772597;;0,412459574;3;1,58;Gambier
HA_TR;GAM18_A193;2;0,311372773;;0,412459574;3;1,58;Gambier
HA_TR;GAM18_A193;3;0,374380709;;0,412459574;3;1,58;Gambier
HA_TR;GAM18_A214;0;0,041231056;;0,456959233;5;1,58;Gambier
HA_TR;GAM18_A214;1;0,231708869;;0,456959233;5;1,58;Gambier
HA_TR;GAM18_A214;2;0,29503343;;0,456959233;5;1,58;Gambier
HA_TR;GAM18_A214;3;0,354966726;;0,456959233;5;1,58;Gambier
HA_TR;GAM18_A214;4;0,415843651;;0,456959233;5;1,58;Gambier
HA_TR;GAM18_A214;5;0,445254533;;0,456959233;5;1,58;Gambier
HA_TR;GAM18_A217;0;0,046324939;;0,314814355;1;1,58;Gambier
HA_TR;GAM18_A217;1;0,248203546;;0,314814355;1;1,58;Gambier
