species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
LU_GI;LU_GI_MA_03_17_058;0;NA;;0,477391194;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_058;1;0,4348471;;0,477391194;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_059;0;NA;;0,532812092;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_059;1;0,477269316;;0,532812092;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_060;0;NA;;0,560409707;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_060;1;0,495996976;;0,560409707;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_061;0;NA;;0,533584411;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_061;1;0,460584411;;0,533584411;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_062;0;0,07324616;;0,489298705;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_062;1;0,410425389;;0,489298705;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_063;0;0,063324561;;0,481043388;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_063;1;0,423798301;;0,481043388;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_237;0;0,017117243;;0,534265791;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_237;1;0,479887487;;0,534265791;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_238;0;0,02118962;;0,512317359;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_238;1;0,434310949;;0,512317359;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_239;0;0,024351591;;0,525822764;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_239;1;0,443798378;;0,525822764;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_240;0;NA;;0,534412254;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_240;1;0,478941541;;0,534412254;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_241;0;0,019924859;;0,488990267;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_241;1;0,435736159;;0,488990267;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_242;0;NA;;0,585201094;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_242;1;0,503512661;;0,585201094;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_243;0;NA;;0,499431609;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_243;1;0,452912795;;0,499431609;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_244;0;0,02059126;;0,542700957;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_244;1;0,454991209;;0,542700957;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_245;0;NA;;0,522843027;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_245;1;0,466203818;;0,522843027;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_246;0;NA;;0,453120584;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_246;1;0,406601771;;0,453120584;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_247;0;0,032756679;;0,437383212;1;1,83;Marquises
LU_GI;LU_GI_MA_03_17_247;1;0,387734445;;0,437383212;1;1,83;Marquises
