"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"LU_KA";"B070";0;NA;NA;1,097854574;4;1,83;"Gambier"
"LU_KA";"B070";1;0,49794076;NA;1,097854574;4;1,83;"Gambier"
"LU_KA";"B070";2;0,725600593;NA;1,097854574;4;1,83;"Gambier"
"LU_KA";"B070";3;0,920618541;NA;1,097854574;4;1,83;"Gambier"
"LU_KA";"B070";4;1,035204753;NA;1,097854574;4;1,83;"Gambier"
"LU_KA";"B099";0;NA;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";1;0,708057201;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";2;0,939368679;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";3;1,051127348;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";4;1,137660579;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";5;1,234060786;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";6;1,341601476;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";7;1,398187693;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";8;1,458602923;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";9;1,519042976;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";10;1,58324578;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";11;1,634019789;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";12;1,687273897;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";13;1,739599799;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";14;1,773805061;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";15;1,817187085;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";16;1,860649713;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";17;1,909894002;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";18;1,9587714;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";19;2,004564412;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";20;2,048427837;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";21;2,088390319;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";22;2,140887938;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";23;2,174725787;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";24;2,203326486;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";25;2,248548162;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";26;2,28759941;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";27;2,310923218;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";28;2,355330425;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";29;2,38831527;NA;2,432178694;30;1,83;"Gambier"
"LU_KA";"B099";30;2,432178694;NA;2,432178694;30;1,83;"Gambier"
