"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"LU_KA";"LU_KA_MA_03_17_403";0;NA;NA;1,078775395;5;1,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_403";1;0,48181428;NA;1,078775395;5;2,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_403";2;0,683757341;NA;1,078775395;5;3,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_403";3;0,847439961;NA;1,078775395;5;4,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_403";4;0,940030457;NA;1,078775395;5;5,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_403";5;1,029036075;NA;1,078775395;5;6,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_014";0;0,028301943;NA;0,516082635;2;7,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_014";1;0,4299593;NA;0,516082635;2;8,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_014";2;0,483325957;NA;0,516082635;2;9,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_015";0;0,055605755;NA;0,436045631;1;10,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_015";1;0,407867626;NA;0,436045631;1;11,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_016";0;NA;NA;0,436405774;0;12,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_017";0;0;NA;0,453742996;1;13,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_017";1;0,427781486;NA;0,453742996;1;14,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_018";0;0,053310412;NA;0,479613386;0;15,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_019";0;NA;NA;0,43920828;1;16,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_019";1;0,40820828;NA;0,43920828;1;17,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_020";0;NA;NA;0,455342728;0;18,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_021";0;NA;NA;0,460081244;1;19,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_021";1;0,429848811;NA;0,460081244;1;20,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_022";0;0,043266615;NA;0,445252737;0;21,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_023";0;NA;NA;0,440352569;1;22,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_023";1;0,404352569;NA;0,440352569;1;23,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_024";0;0,055317267;NA;0,38424081;0;24,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_163";0;0,043011626;NA;0,649336803;2;25,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_163";1;0,44675049;NA;0,649336803;2;26,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_163";2;0,551535985;NA;0,649336803;2;27,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_224";0;NA;NA;0,46738421;0;28,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_225";0;NA;NA;0,474469177;0;29,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_226";0;0,057008771;NA;0,474016877;0;30,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_227";0;NA;NA;0,458762618;1;31,83;"Marquises"
"LU_KA";"LU_KA_MA_03_17_227";1;0,371710909;NA;0,458762618;1;32,83;"Marquises"
