"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"NA_LI";"GAM18_A001";0;NA;NA;0,740512398;4;1,7;"Gambier"
"NA_LI";"GAM18_A001";1;0,511237714;NA;0,740512398;4;1,7;"Gambier"
"NA_LI";"GAM18_A001";2;0,591667808;NA;0,740512398;4;1,7;"Gambier"
"NA_LI";"GAM18_A001";3;0,644165427;NA;0,740512398;4;1,7;"Gambier"
"NA_LI";"GAM18_A001";4;0,707985486;NA;0,740512398;4;1,7;"Gambier"
"NA_LI";"GAM18_A005";0;0,02433105;NA;0,488429587;3;1,7;"Gambier"
"NA_LI";"GAM18_A005";1;0,275334342;NA;0,488429587;3;1,7;"Gambier"
"NA_LI";"GAM18_A005";2;0,380196156;NA;0,488429587;3;1,7;"Gambier"
"NA_LI";"GAM18_A005";3;0,439593126;NA;0,488429587;3;1,7;"Gambier"
"NA_LI";"GAM18_A009";0;NA;NA;0,550774054;3;1,7;"Gambier"
"NA_LI";"GAM18_A009";1;0,345249185;NA;0,550774054;3;1,7;"Gambier"
"NA_LI";"GAM18_A009";2;0,441504055;NA;0,550774054;3;1,7;"Gambier"
"NA_LI";"GAM18_A009";3;0,498143264;NA;0,550774054;3;1,7;"Gambier"
"NA_LI";"GAM18_A012";0;0,023706539;NA;0,607332324;3;1,7;"Gambier"
"NA_LI";"GAM18_A012";1;0,466874716;NA;0,607332324;3;1,7;"Gambier"
"NA_LI";"GAM18_A012";2;0,532821664;NA;0,607332324;3;1,7;"Gambier"
"NA_LI";"GAM18_A012";3;0,569057006;NA;0,607332324;3;1,7;"Gambier"
"NA_LI";"GAM18_A015";0;NA;NA;0,659988771;2;1,7;"Gambier"
"NA_LI";"GAM18_A015";1;0,54222689;NA;0,659988771;2;1,7;"Gambier"
"NA_LI";"GAM18_A015";2;0,627461859;NA;0,659988771;2;1,7;"Gambier"
"NA_LI";"GAM18_A059";0;0,028635642;NA;0,740413097;10;1,7;"Gambier"
"NA_LI";"GAM18_A059";1;0,40152833;NA;0,740413097;10;1,7;"Gambier"
"NA_LI";"GAM18_A059";2;0,465559573;NA;0,740413097;10;1,7;"Gambier"
"NA_LI";"GAM18_A059";3;0,516165896;NA;0,740413097;10;1,7;"Gambier"
"NA_LI";"GAM18_A059";4;0,562393594;NA;0,740413097;10;1,7;"Gambier"
"NA_LI";"GAM18_A059";5;0,600812339;NA;0,740413097;10;1,7;"Gambier"
"NA_LI";"GAM18_A059";6;0,627830851;NA;0,740413097;10;1,7;"Gambier"
"NA_LI";"GAM18_A059";7;0,654231609;NA;0,740413097;10;1,7;"Gambier"
"NA_LI";"GAM18_A059";8;0,674749893;NA;0,740413097;10;1,7;"Gambier"
"NA_LI";"GAM18_A059";9;0,689172098;NA;0,740413097;10;1,7;"Gambier"
"NA_LI";"GAM18_A059";10;0,720413097;NA;0,740413097;10;1,7;"Gambier"
"NA_LI";"GAM18_B039";0;NA;NA;0,840443913;4;1,7;"Gambier"
"NA_LI";"GAM18_B039";1;0,451615987;NA;0,840443913;4;1,7;"Gambier"
"NA_LI";"GAM18_B039";2;0,572446447;NA;0,840443913;4;1,7;"Gambier"
"NA_LI";"GAM18_B039";3;0,681849372;NA;0,840443913;4;1,7;"Gambier"
"NA_LI";"GAM18_B039";4;0,775144602;NA;0,840443913;4;1,7;"Gambier"
"NA_LI";"GAM18_B040";0;NA;NA;0,804899626;6;1,7;"Gambier"
"NA_LI";"GAM18_B040";1;0,409838993;NA;0,804899626;6;1,7;"Gambier"
"NA_LI";"GAM18_B040";2;0,492766672;NA;0,804899626;6;1,7;"Gambier"
"NA_LI";"GAM18_B040";3;0,557427325;NA;0,804899626;6;1,7;"Gambier"
"NA_LI";"GAM18_B040";4;0,642427325;NA;0,804899626;6;1,7;"Gambier"
"NA_LI";"GAM18_B040";5;0,706059078;NA;0,804899626;6;1,7;"Gambier"
"NA_LI";"GAM18_B040";6;0,769122538;NA;0,804899626;6;1,7;"Gambier"
"NA_LI";"GAM18_B055";0;NA;NA;0,833015782;4;1,7;"Gambier"
"NA_LI";"GAM18_B055";1;0,445252737;NA;0,833015782;4;1,7;"Gambier"
"NA_LI";"GAM18_B055";2;0,630404027;NA;0,833015782;4;1,7;"Gambier"
"NA_LI";"GAM18_B055";3;0,742229784;NA;0,833015782;4;1,7;"Gambier"
"NA_LI";"GAM18_B055";4;0,794727403;NA;0,833015782;4;1,7;"Gambier"
"NA_LI";"GAM18_B125";0;0,028071338;NA;0,674658837;4;1,7;"Gambier"
"NA_LI";"GAM18_B125";1;0,409695009;NA;0,674658837;4;1,7;"Gambier"
"NA_LI";"GAM18_B125";2;0,500121774;NA;0,674658837;4;1,7;"Gambier"
"NA_LI";"GAM18_B125";3;0,575288256;NA;0,674658837;4;1,7;"Gambier"
"NA_LI";"GAM18_B125";4;0,634347549;NA;0,674658837;4;1,7;"Gambier"
"NA_LI";"GAM18_B126";0;NA;NA;0,571745765;3;1,7;"Gambier"
"NA_LI";"GAM18_B126";1;0,427575724;NA;0,571745765;3;1,7;"Gambier"
"NA_LI";"GAM18_B126";2;0,49581794;NA;0,571745765;3;1,7;"Gambier"
"NA_LI";"GAM18_B126";3;0,53909611;NA;0,571745765;3;1,7;"Gambier"
