"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"NA_LI";"NA_LI_MO_03_16_001";0;NA;NA;0,939165025;7;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_001";1;0,576223047;NA;0,939165025;7;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_001";2;0,645627658;NA;0,939165025;7;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_001";3;0,695627658;NA;0,939165025;7;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_001";4;0,764981821;NA;0,939165025;7;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_001";5;0,799651693;NA;0,939165025;7;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_001";6;0,859317429;NA;0,939165025;7;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_001";7;0,898940654;NA;0,939165025;7;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_002";0;NA;NA;0,452658578;2;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_002";1;0,334095795;NA;0,452658578;2;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_002";2;0,410933285;NA;0,452658578;2;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_003";0;0,026832816;NA;0,479411397;2;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_003";1;0,365034245;NA;0,479411397;2;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_003";2;0,42929154;NA;0,479411397;2;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_004";0;0,017029386;NA;0,493699697;3;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_004";1;0,341017595;NA;0,493699697;3;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_004";2;0,409639749;NA;0,493699697;3;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_004";3;0,464018053;NA;0,493699697;3;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_005";0;0,026683328;NA;0,438915581;4;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_005";1;0,329984848;NA;0,438915581;4;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_005";2;0,364640295;NA;0,438915581;4;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_005";3;0,392942238;NA;0,438915581;4;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_005";4;0,416983869;NA;0,438915581;4;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_006";0;0,018439089;NA;0,76835941;6;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_006";1;0,330068175;NA;0,76835941;6;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_006";2;0,445502139;NA;0,76835941;6;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_006";3;0,546189774;NA;0,76835941;6;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_006";4;0,644597091;NA;0,76835941;6;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_006";5;0,696606706;NA;0,76835941;6;1,7;"Moorea"
"NA_LI";"NA_LI_MO_03_16_006";6;0,737214587;NA;0,76835941;6;1,7;"Moorea"
