species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
NA_UN;GAM18_B001;0;0,024041631;;0,802191589;10;1,7;Gambier
NA_UN;GAM18_B001;1;0,307587386;;0,802191589;10;1,7;Gambier
NA_UN;GAM18_B001;2;0,408903722;;0,802191589;10;1,7;Gambier
NA_UN;GAM18_B001;3;0,478538484;;0,802191589;10;1,7;Gambier
NA_UN;GAM18_B001;4;0,52793484;;0,802191589;10;1,7;Gambier
NA_UN;GAM18_B001;5;0,579022999;;0,802191589;10;1,7;Gambier
NA_UN;GAM18_B001;6;0,622197065;;0,802191589;10;1,7;Gambier
NA_UN;GAM18_B001;7;0,656982119;;0,802191589;10;1,7;Gambier
NA_UN;GAM18_B001;8;0,693382669;;0,802191589;10;1,7;Gambier
NA_UN;GAM18_B001;9;0,735809076;;0,802191589;10;1,7;Gambier
NA_UN;GAM18_B001;10;0,772917026;;0,802191589;10;1,7;Gambier
NA_UN;GAM18_B017;0;NA;;0,718764423;8;1,7;Gambier
NA_UN;GAM18_B017;1;0,305006557;;0,718764423;8;1,7;Gambier
NA_UN;GAM18_B017;2;0,398564026;;0,718764423;8;1,7;Gambier
NA_UN;GAM18_B017;3;0,452942331;;0,718764423;8;1,7;Gambier
NA_UN;GAM18_B017;4;0,518134355;;0,718764423;8;1,7;Gambier
NA_UN;GAM18_B017;5;0,581703215;;0,718764423;8;1,7;Gambier
NA_UN;GAM18_B017;6;0,631472684;;0,718764423;8;1,7;Gambier
NA_UN;GAM18_B017;7;0,664030325;;0,718764423;8;1,7;Gambier
NA_UN;GAM18_B017;8;0,696924093;;0,718764423;8;1,7;Gambier
NA_UN;GAM18_B079;0;0;;0,740443093;9;1,7;Gambier
NA_UN;GAM18_B079;1;0,284063373;;0,740443093;9;1,7;Gambier
NA_UN;GAM18_B079;2;0,367087466;;0,740443093;9;1,7;Gambier
NA_UN;GAM18_B079;3;0,431469141;;0,740443093;9;1,7;Gambier
NA_UN;GAM18_B079;4;0,486550898;;0,740443093;9;1,7;Gambier
NA_UN;GAM18_B079;5;0,542986702;;0,740443093;9;1,7;Gambier
NA_UN;GAM18_B079;6;0,592230991;;0,740443093;9;1,7;Gambier
NA_UN;GAM18_B079;7;0,635968847;;0,740443093;9;1,7;Gambier
NA_UN;GAM18_B079;8;0,673665;;0,740443093;9;1,7;Gambier
NA_UN;GAM18_B079;9;0,714811082;;0,740443093;9;1,7;Gambier
NA_UN;GAM18_B080;0;NA;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;1;0,292643127;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;2;0,37685714;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;3;0,463326788;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;4;0,54148688;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;5;0,618278807;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;6;0,671429536;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;7;0,710989617;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;8;0,754921382;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;9;0,793248918;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;10;0,824119616;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;11;0,861455926;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;12;0,890866808;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;13;0,924153442;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;14;0,96173003;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;15;0,991462168;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;16;1,024355936;;1,073759152;17;1,7;Gambier
NA_UN;GAM18_B080;17;1,053510696;;1,073759152;17;1,7;Gambier
