species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
OD_NI;0D_NI_MA_03_17_041;0;NA;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;1;0,33819521;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;2;0,417271123;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;3;0,493808695;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;4;0,561962932;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;5;0,617676485;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;6;0,654035803;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;7;0,689376997;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;8;0,720761707;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;9;0,760923878;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;10;0,800735937;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;11;0,834970422;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;12;0,870325761;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;13;0,916715415;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;14;0,942792225;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;15;0,970105225;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_041;16;0,993105225;;1,018423203;16;1,8;Marquises
OD_NI;0D_NI_MA_03_17_042;0;0,034928498;;0,382070717;1;1,8;Marquises
OD_NI;0D_NI_MA_03_17_042;1;0,347588838;;0,382070717;1;1,8;Marquises
OD_NI;0D_NI_MA_03_17_043;0;0,04110961;;0,376164081;2;1,8;Marquises
OD_NI;0D_NI_MA_03_17_043;1;0,277893865;;0,376164081;2;1,8;Marquises
OD_NI;0D_NI_MA_03_17_043;2;0,338309094;;0,376164081;2;1,8;Marquises
OD_NI;0D_NI_MA_03_17_044;0;0,043737855;;0,777195064;12;1,8;Marquises
OD_NI;0D_NI_MA_03_17_044;1;0,278804591;;0,777195064;12;1,8;Marquises
OD_NI;0D_NI_MA_03_17_044;2;0,353971073;;0,777195064;12;1,8;Marquises
OD_NI;0D_NI_MA_03_17_044;3;0,415817657;;0,777195064;12;1,8;Marquises
OD_NI;0D_NI_MA_03_17_044;4;0,454817657;;0,777195064;12;1,8;Marquises
OD_NI;0D_NI_MA_03_17_044;5;0,493444073;;0,777195064;12;1,8;Marquises
OD_NI;0D_NI_MA_03_17_044;6;0,533469065;;0,777195064;12;1,8;Marquises
OD_NI;0D_NI_MA_03_17_044;7;0,580287865;;0,777195064;12;1,8;Marquises
OD_NI;0D_NI_MA_03_17_044;8;0,620450036;;0,777195064;12;1,8;Marquises
OD_NI;0D_NI_MA_03_17_044;9;0,659501285;;0,777195064;12;1,8;Marquises
OD_NI;0D_NI_MA_03_17_044;10;0,689766777;;0,777195064;12;1,8;Marquises
OD_NI;0D_NI_MA_03_17_044;11;0,718766777;;0,777195064;12;1,8;Marquises
OD_NI;0D_NI_MA_03_17_044;12;0,755263352;;0,777195064;12;1,8;Marquises
OD_NI;0D_NI_MA_03_17_045;0;0,02745906;;0,679663374;11;1,8;Marquises
OD_NI;0D_NI_MA_03_17_045;1;0,30555196;;0,679663374;11;1,8;Marquises
OD_NI;0D_NI_MA_03_17_045;2;0,347325157;;0,679663374;11;1,8;Marquises
OD_NI;0D_NI_MA_03_17_045;3;0,394079836;;0,679663374;11;1,8;Marquises
OD_NI;0D_NI_MA_03_17_045;4;0,438857062;;0,679663374;11;1,8;Marquises
OD_NI;0D_NI_MA_03_17_045;5;0,478265183;;0,679663374;11;1,8;Marquises
OD_NI;0D_NI_MA_03_17_045;6;0,511371074;;0,679663374;11;1,8;Marquises
OD_NI;0D_NI_MA_03_17_045;7;0,540525833;;0,679663374;11;1,8;Marquises
OD_NI;0D_NI_MA_03_17_045;8;0,569646273;;0,679663374;11;1,8;Marquises
OD_NI;0D_NI_MA_03_17_045;9;0,59604703;;0,679663374;11;1,8;Marquises
OD_NI;0D_NI_MA_03_17_045;10;0,623341718;;0,679663374;11;1,8;Marquises
OD_NI;0D_NI_MA_03_17_045;11;0,655621743;;0,679663374;11;1,8;Marquises
