"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"OS_AP";"OS_AP_MA_03_17_274";0;NA;NA;1,080875755;1;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_274";1;0,951118289;NA;1,080875755;1;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_275";0;NA;NA;1,12723513;1;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_275";1;1,014217432;NA;1,12723513;1;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_276";0;0;NA;1,103212833;1;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_276";1;0,985085783;NA;1,103212833;1;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_277";0;NA;NA;1,274172467;2;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_277";1;0,910290613;NA;1,274172467;2;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_277";2;1,182411909;NA;1,274172467;2;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_278";0;NA;NA;1,287813377;2;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_278";1;1,017180908;NA;1,287813377;2;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_278";2;1,197724532;NA;1,287813377;2;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_279";0;NA;NA;1,37291548;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_279";1;1,066206828;NA;1,37291548;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_279";2;1,19818031;NA;1,37291548;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_279";3;1,330195461;NA;1,37291548;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_280";0;NA;NA;1,528039303;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_280";1;0,92066552;NA;1,528039303;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_280";2;1,129933291;NA;1,528039303;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_280";3;1,296441549;NA;1,528039303;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_280";4;1,437242828;NA;1,528039303;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_281";0;NA;NA;1,419700549;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_281";1;0,989584256;NA;1,419700549;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_281";2;1,230658933;NA;1,419700549;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_281";3;1,343464075;NA;1,419700549;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_282";0;0,06888396;NA;1,311497515;2;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_282";1;1,034571409;NA;1,311497515;2;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_282";2;1,188330961;NA;1,311497515;2;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_283";0;0,06888396;NA;1,404739079;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_283";1;0,978662352;NA;1,404739079;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_283";2;1,217963418;NA;1,404739079;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_283";3;1,362549033;NA;1,404739079;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_284";0;0,06888396;NA;1,519556694;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_284";1;1,030118925;NA;1,519556694;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_284";2;1,266152821;NA;1,519556694;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_284";3;1,427264583;NA;1,519556694;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_284";4;1,50702673;NA;1,519556694;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_285";0;0,059008474;NA;1,484631546;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_285";1;0,922091644;NA;1,484631546;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_285";2;1,121996621;NA;1,484631546;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_285";3;1,294565448;NA;1,484631546;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_285";4;1,415631546;NA;1,484631546;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_286";0;NA;NA;1,480030583;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_286";1;0,958;NA;1,480030583;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_286";2;1,148010526;NA;1,480030583;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_286";3;1,313022647;NA;1,480030583;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_286";4;1,417022647;NA;1,480030583;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_287";0;NA;NA;1,532809252;6;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_287";1;0,876128415;NA;1,532809252;6;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_287";2;1,188134825;NA;1,532809252;6;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_287";3;1,315276479;NA;1,532809252;6;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_287";4;1,40926052;NA;1,532809252;6;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_287";5;1,467852328;NA;1,532809252;6;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_287";6;1,505295619;NA;1,532809252;6;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_288";0;NA;NA;1,612371096;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_288";1;1,185010548;NA;1,612371096;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_288";2;1,387322189;NA;1,612371096;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_288";3;1,54336385;NA;1,612371096;3;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_289";0;NA;NA;1,491507032;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_289";1;0,946717487;NA;1,491507032;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_289";2;1,118848251;NA;1,491507032;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_289";3;1,303829331;NA;1,491507032;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_289";4;1,422543273;NA;1,491507032;4;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_290";0;NA;NA;1,706613153;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_290";1;1,115114792;NA;1,706613153;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_290";2;1,362592064;NA;1,706613153;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_290";3;1,506094677;NA;1,706613153;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_290";4;1,612476067;NA;1,706613153;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_290";5;1,667293947;NA;1,706613153;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_291";0;NA;NA;1,706668874;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_291";1;1,023945799;NA;1,706668874;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_291";2;1,356609293;NA;1,706668874;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_291";3;1,490609293;NA;1,706668874;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_291";4;1,588935281;NA;1,706668874;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_291";5;1,677394311;NA;1,706668874;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_292";0;NA;NA;1,749137317;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_292";1;1,022127683;NA;1,749137317;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_292";2;1,304908517;NA;1,749137317;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_292";3;1,474077072;NA;1,749137317;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_292";4;1,630237246;NA;1,749137317;5;4,25;"Marquises"
"OS_AP";"OS_AP_MA_03_17_292";5;1,721478684;NA;1,749137317;5;4,25;"Marquises"
