"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"PA_BA";"GAM18_B131";0;0,051088159;NA;0,532911484;5;1,95;"Gambier"
"PA_BA";"GAM18_B131";1;0,204024508;NA;0,532911484;5;1,95;"Gambier"
"PA_BA";"GAM18_B131";2;0,340156797;NA;0,532911484;5;1,95;"Gambier"
"PA_BA";"GAM18_B131";3;0,409272642;NA;0,532911484;5;1,95;"Gambier"
"PA_BA";"GAM18_B131";4;0,47359993;NA;0,532911484;5;1,95;"Gambier"
"PA_BA";"GAM18_B131";5;0,51070788;NA;0,532911484;5;1,95;"Gambier"
"PA_BA";"GAM18_B130";0;NA;NA;0,625884685;4;1,95;"Gambier"
"PA_BA";"GAM18_B130";1;0,263837071;NA;0,625884685;4;1,95;"Gambier"
"PA_BA";"GAM18_B130";2;0,381110256;NA;0,625884685;4;1,95;"Gambier"
"PA_BA";"GAM18_B130";3;0,485196759;NA;0,625884685;4;1,95;"Gambier"
"PA_BA";"GAM18_B130";4;0,569369201;NA;0,625884685;4;1,95;"Gambier"
"PA_BA";"GAM18_B129";0;NA;NA;0,721106395;6;1,95;"Gambier"
"PA_BA";"GAM18_B129";1;0,255720551;NA;0,721106395;6;1,95;"Gambier"
"PA_BA";"GAM18_B129";2;0,407641583;NA;0,721106395;6;1,95;"Gambier"
"PA_BA";"GAM18_B129";3;0,512450933;NA;0,721106395;6;1,95;"Gambier"
"PA_BA";"GAM18_B129";4;0,583514285;NA;0,721106395;6;1,95;"Gambier"
"PA_BA";"GAM18_B129";5;0,655026522;NA;0,721106395;6;1,95;"Gambier"
"PA_BA";"GAM18_B129";6;0,696026522;NA;0,721106395;6;1,95;"Gambier"
"PA_BA";"GAM18_B038";0;NA;NA;0,34812372;2;1,95;"Gambier"
"PA_BA";"GAM18_B038";1;0,242002066;NA;0,34812372;2;1,95;"Gambier"
"PA_BA";"GAM18_B038";2;0,309913773;NA;0,34812372;2;1,95;"Gambier"
"PA_BA";"GAM18_B037";0;NA;NA;0,450402956;3;1,95;"Gambier"
"PA_BA";"GAM18_B037";1;0,232467202;NA;0,450402956;3;1,95;"Gambier"
"PA_BA";"GAM18_B037";2;0,325682008;NA;0,450402956;3;1,95;"Gambier"
"PA_BA";"GAM18_B037";3;0,399363756;NA;0,450402956;3;1,95;"Gambier"
