"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"PA_BA";"PA_BA_MA_03_17_266";0;0,010440307;NA;0,187544661;0;1,95;"Marquises"
"PA_BA";"PA_BA_MA_03_17_267";0;0,016155494;NA;0,169923512;0;1,95;"Marquises"
"PA_BA";"PA_BA_MA_03_17_268";0;0,018439089;NA;0,177789201;0;1,95;"Marquises"
"PA_BA";"PA_BA_MA_03_17_270";0;0,028071338;NA;0,194833262;0;1,95;"Marquises"
"PA_BA";"PA_BA_MA_03_17_271";0;0,014866069;NA;0,209411079;0;1,95;"Marquises"
"PA_BA";"PA_BA_MA_03_17_272";0;0,039293765;NA;0,235083218;1;1,95;"Marquises"
"PA_BA";"PA_BA_MA_03_17_272";1;0,205;NA;0,235083218;1;1,95;"Marquises"
"PA_BA";"PA_BA_MA_03_17_273";0;0,02596151;NA;0,302080805;2;1,95;"Marquises"
"PA_BA";"PA_BA_MA_03_17_273";1;0,227782791;NA;0,302080805;2;1,95;"Marquises"
"PA_BA";"PA_BA_MA_03_17_273";2;0,280820514;NA;0,302080805;2;1,95;"Marquises"
