"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"PL_LA";"H1";0;0,050931326;45;1,111069534;3;1,62;"HAO"
"PL_LA";"H1";1;0,430795775;45;1,111069534;3;1,62;"HAO"
"PL_LA";"H1";2;0,708704034;45;1,111069534;3;1,62;"HAO"
"PL_LA";"H1";3;1,044586453;45;1,111069534;3;1,62;"HAO"
"PL_LA";"H22";0;NA;49,5;1,426598965;5;1,62;"HAO"
"PL_LA";"H22";1;0,659003035;49,5;1,426598965;5;1,62;"HAO"
"PL_LA";"H22";2;0,946817211;49,5;1,426598965;5;1,62;"HAO"
"PL_LA";"H22";3;1,102541326;49,5;1,426598965;5;1,62;"HAO"
"PL_LA";"H22";4;1,231943799;49,5;1,426598965;5;1,62;"HAO"
"PL_LA";"H22";5;1,368461197;49,5;1,426598965;5;1,62;"HAO"
"PL_LA";"H23";0;0,047507894;45,8;0,965657413;3;1,62;"HAO"
"PL_LA";"H23";1;0,485818896;45,8;0,965657413;3;1,62;"HAO"
"PL_LA";"H23";2;0,739671216;45,8;0,965657413;3;1,62;"HAO"
"PL_LA";"H23";3;0,908342494;45,8;0,965657413;3;1,62;"HAO"
"PL_LA";"H24";0;0,065513357;47;1,148631701;4;1,62;"HAO"
"PL_LA";"H24";1;0,41364961;47;1,148631701;4;1,62;"HAO"
"PL_LA";"H24";2;0,744046341;47;1,148631701;4;1,62;"HAO"
"PL_LA";"H24";3;0,917159021;47;1,148631701;4;1,62;"HAO"
"PL_LA";"H24";4;1,087011899;47;1,148631701;4;1,62;"HAO"
"PL_LA";"H25";0;0,066219333;45;0,988833931;3;1,62;"HAO"
"PL_LA";"H25";1;0,510538931;45;0,988833931;3;1,62;"HAO"
"PL_LA";"H25";2;0,779034741;45;0,988833931;3;1,62;"HAO"
"PL_LA";"H25";3;0,93999747;45;0,988833931;3;1,62;"HAO"
"PL_LA";"H36";0;0,075073298;41,5;1,006571143;2;1,62;"HAO"
"PL_LA";"H36";1;0,585317008;41,5;1,006571143;2;1,62;"HAO"
"PL_LA";"H36";2;0,888770464;41,5;1,006571143;2;1,62;"HAO"
"PL_LA";"H37";0;0,033837849;47;1,448588222;6;1,62;"HAO"
"PL_LA";"H37";1;0,603619085;47;1,448588222;6;1,62;"HAO"
"PL_LA";"H37";2;0,872114895;47;1,448588222;6;1,62;"HAO"
"PL_LA";"H37";3;1,085714989;47;1,448588222;6;1,62;"HAO"
"PL_LA";"H37";4;1,220863056;47;1,448588222;6;1,62;"HAO"
"PL_LA";"H37";5;1,321585447;47;1,448588222;6;1,62;"HAO"
"PL_LA";"H37";6;1,404440742;47;1,448588222;6;1,62;"HAO"
"PL_LA";"H38";0;0,062801274;51;1,311079743;5;1,62;"HAO"
"PL_LA";"H38";1;0,588421618;51;1,311079743;5;1,62;"HAO"
"PL_LA";"H38";2;0,788033741;51;1,311079743;5;1,62;"HAO"
"PL_LA";"H38";3;0,994336916;51;1,311079743;5;1,62;"HAO"
"PL_LA";"H38";4;1,143819357;51;1,311079743;5;1,62;"HAO"
"PL_LA";"H38";5;1,228860523;51;1,311079743;5;1,62;"HAO"
"PL_LA";"H39";0;0,038327536;46;0,857633855;4;1,62;"HAO"
"PL_LA";"H39";1;0,424971764;46;0,857633855;4;1,62;"HAO"
"PL_LA";"H39";2;0,576764385;46;0,857633855;4;1,62;"HAO"
"PL_LA";"H39";3;0,700611065;46;0,857633855;4;1,62;"HAO"
"PL_LA";"H39";4;0,796412944;46;0,857633855;4;1,62;"HAO"
"PL_LA";"H40";0;0,061911227;70;1,524248487;5;1,62;"HAO"
"PL_LA";"H40";1;0,589286009;70;1,524248487;5;1,62;"HAO"
"PL_LA";"H40";2;0,848756624;70;1,524248487;5;1,62;"HAO"
"PL_LA";"H40";3;1,149133054;70;1,524248487;5;1,62;"HAO"
"PL_LA";"H40";4;1,324030167;70;1,524248487;5;1,62;"HAO"
"PL_LA";"H40";5;1,457675219;70;1,524248487;5;1,62;"HAO"
"PL_LA";"H49";0;0,04580393;39,9;0,879397212;2;1,62;"HAO"
"PL_LA";"H49";1;0,610946806;39,9;0,879397212;2;1,62;"HAO"
"PL_LA";"H49";2;0,808686534;39,9;0,879397212;2;1,62;"HAO"
"PL_LA";"H63";0;0,032802439;45,8;0,95908693;3;1,62;"HAO"
"PL_LA";"H63";1;0,523346921;45,8;0,95908693;3;1,62;"HAO"
"PL_LA";"H63";2;0,72910892;45,8;0,95908693;3;1,62;"HAO"
"PL_LA";"H63";3;0,880594893;45,8;0,95908693;3;1,62;"HAO"
"PL_LA";"H64";0;0,045453273;47,4;0,963621119;2;1,62;"HAO"
"PL_LA";"H64";1;0,475800378;47,4;0,963621119;2;1,62;"HAO"
"PL_LA";"H64";2;0,802422484;47,4;0,963621119;2;1,62;"HAO"
"PL_LA";"H65";0;NA;48,4;1,187046673;3;1,62;"HAO"
"PL_LA";"H65";1;0,628204585;48,4;1,187046673;3;1,62;"HAO"
"PL_LA";"H65";2;0,974860033;48,4;1,187046673;3;1,62;"HAO"
"PL_LA";"H65";3;1,148862907;48,4;1,187046673;3;1,62;"HAO"
"PL_LA";"H66";0;0,101552942;49;1,011090257;2;1,62;"HAO"
"PL_LA";"H66";1;0,546150163;49;1,011090257;2;1,62;"HAO"
"PL_LA";"H66";2;0,893438227;49;1,011090257;2;1,62;"HAO"
"PL_LA";"H77";0;0,105095195;35,6;1,078609649;1;1,62;"HAO"
"PL_LA";"H77";1;0,787886413;35,6;1,078609649;1;1,62;"HAO"
"PL_LA";"H78";0;NA;46,2;1,169388929;2;1,62;"HAO"
"PL_LA";"H78";1;0,658286412;46,2;1,169388929;2;1,62;"HAO"
"PL_LA";"H78";2;1,002361985;46,2;1,169388929;2;1,62;"HAO"
"PL_LA";"H96";0;0,076485293;48,4;0,930005873;3;1,62;"HAO"
"PL_LA";"H96";1;0,447465082;48,4;0,930005873;3;1,62;"HAO"
"PL_LA";"H96";2;0,710130269;48,4;0,930005873;3;1,62;"HAO"
"PL_LA";"H96";3;0,839203891;48,4;0,930005873;3;1,62;"HAO"
"PL_LA";"H97";0;0,062169124;51;1,13472348;3;1,62;"HAO"
"PL_LA";"H97";1;0,475887592;51;1,13472348;3;1,62;"HAO"
"PL_LA";"H97";2;0,958441216;51;1,13472348;3;1,62;"HAO"
"PL_LA";"H97";3;1,085846082;51;1,13472348;3;1,62;"HAO"
