"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"PR_TA";"PR_TA_MA_03_17_251";0;0,052038447;NA;1,658439563;3;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_251";1;1,142277112;NA;1,658439563;3;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_251";2;1,460969754;NA;1,658439563;3;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_251";3;1,633260206;NA;1,658439563;3;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_250";0;NA;NA;1,273922609;4;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_250";1;0,982554324;NA;1,273922609;4;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_250";2;1,131675081;NA;1,273922609;4;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_250";3;1,198045255;NA;1,273922609;4;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_250";4;1,252082279;NA;1,273922609;4;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_249";0;0,039204592;NA;1,212377687;2;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_249";1;1,05020617;NA;1,212377687;2;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_249";2;1,152695194;NA;1,212377687;2;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_248";0;0,069180922;NA;1,253912653;1;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_248";1;1,097803717;NA;1,253912653;1;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_107";0;NA;NA;1,230722321;1;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_107";1;1,166652048;NA;1,230722321;1;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_106";0;NA;NA;1,378719897;1;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_106";1;1,240119752;NA;1,378719897;1;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_105";0;NA;NA;1,443414396;2;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_105";1;1,218252026;NA;1,443414396;2;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_105";2;1,415414396;NA;1,443414396;2;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_104";0;NA;NA;1,219748503;1;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_104";1;1,071340282;NA;1,219748503;1;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_103";0;NA;NA;1,418099688;2;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_103";1;1,250039999;NA;1,418099688;2;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_103";2;1,384099688;NA;1,418099688;2;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_102";0;NA;NA;1,464204895;5;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_102";1;1,002;NA;1,464204895;5;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_102";2;1,126326184;NA;1,464204895;5;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_102";3;1,245666035;NA;1,464204895;5;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_102";4;1,364817199;NA;1,464204895;5;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_102";5;1,428204895;NA;1,464204895;5;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_101";0;0;NA;1,460220616;3;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_101";1;0,960752309;NA;1,460220616;3;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_101";2;1,229573812;NA;1,460220616;3;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_101";3;1,387111109;NA;1,460220616;3;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_100";0;NA;NA;1,447787472;3;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_100";1;0,989002022;NA;1,447787472;3;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_100";2;1,262969174;NA;1,447787472;3;4,25;"Marquises"
"PR_TA";"PR_TA_MA_03_17_100";3;1,39121893;NA;1,447787472;3;4,25;"Marquises"
