"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"SA_MI";"SA_MI_MA_03_17_126";0;0,043931765;NA;0,30894176;1;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_126";1;0,24894176;NA;0,30894176;1;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_127";0;0,042296572;NA;0,418222978;2;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_127";1;0,332182179;NA;0,418222978;2;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_127";2;0,381222978;NA;0,418222978;2;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_128";0;0,037656341;NA;0,419325592;3;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_128";1;0,298303537;NA;0,419325592;3;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_128";2;0,342166961;NA;0,419325592;3;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_128";3;0,381115645;NA;0,419325592;3;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_129";0;NA;NA;0,336624926;2;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_129";1;0,245814971;NA;0,336624926;2;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_129";2;0,310452422;NA;0,336624926;2;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_130";0;NA;NA;0,314042253;2;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_130";1;0,23194827;NA;0,314042253;2;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_130";2;0,294117394;NA;0,314042253;2;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_131";0;NA;NA;0,386827855;2;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_131";1;0,31679173;NA;0,386827855;2;1,8;"Marquises"
"SA_MI";"SA_MI_MA_03_17_131";2;0,358192213;NA;0,386827855;2;1,8;"Marquises"
