species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
SI_AR;GAM18_B019;0;0,038483763;;0,530088343;7;2,02;Moorea
SI_AR;GAM18_B019;1;0,215837902;;0,530088343;7;2,02;Moorea
SI_AR;GAM18_B019;2;0,289662017;;0,530088343;7;2,02;Moorea
SI_AR;GAM18_B019;3;0,34986999;;0,530088343;7;2,02;Moorea
SI_AR;GAM18_B019;4;0,397293613;;0,530088343;7;2,02;Moorea
SI_AR;GAM18_B019;5;0,438597366;;0,530088343;7;2,02;Moorea
SI_AR;GAM18_B019;6;0,481082658;;0,530088343;7;2,02;Moorea
SI_AR;GAM18_B019;7;0,50815663;;0,530088343;7;2,02;Moorea
SI_AR;GAM18_B041;0;0,043011626;;0,606308483;8;2,02;Moorea
SI_AR;GAM18_B041;1;0,201109423;;0,606308483;8;2,02;Moorea
SI_AR;GAM18_B041;2;0,288201328;;0,606308483;8;2,02;Moorea
SI_AR;GAM18_B041;3;0,356230734;;0,606308483;8;2,02;Moorea
SI_AR;GAM18_B041;4;0,404500807;;0,606308483;8;2,02;Moorea
SI_AR;GAM18_B041;5;0,456969846;;0,606308483;8;2,02;Moorea
SI_AR;GAM18_B041;6;0,503969846;;0,606308483;8;2,02;Moorea
SI_AR;GAM18_B041;7;0,541983001;;0,606308483;8;2,02;Moorea
SI_AR;GAM18_B041;8;0,583286754;;0,606308483;8;2,02;Moorea
SI_AR;GAM18_B042;0;0,034655447;;0,813323281;13;2,02;Moorea
SI_AR;GAM18_B042;1;0,226061938;;0,813323281;13;2,02;Moorea
SI_AR;GAM18_B042;2;0,317083914;;0,813323281;13;2,02;Moorea
SI_AR;GAM18_B042;3;0,36905506;;0,813323281;13;2,02;Moorea
SI_AR;GAM18_B042;4;0,421979534;;0,813323281;13;2,02;Moorea
SI_AR;GAM18_B042;5;0,476687852;;0,813323281;13;2,02;Moorea
SI_AR;GAM18_B042;6;0,521610006;;0,813323281;13;2,02;Moorea
SI_AR;GAM18_B042;7;0,562841063;;0,813323281;13;2,02;Moorea
SI_AR;GAM18_B042;8;0,606257649;;0,813323281;13;2,02;Moorea
SI_AR;GAM18_B042;9;0,641042704;;0,813323281;13;2,02;Moorea
SI_AR;GAM18_B042;10;0,678042704;;0,813323281;13;2,02;Moorea
SI_AR;GAM18_B042;11;0,711163694;;0,813323281;13;2,02;Moorea
SI_AR;GAM18_B042;12;0,750381037;;0,813323281;13;2,02;Moorea
SI_AR;GAM18_B042;13;0,787381037;;0,813323281;13;2,02;Moorea
SI_AR;GAM18_B043;0;NA;;0,474979193;6;2,02;Moorea
SI_AR;GAM18_B043;1;0,200212387;;0,474979193;6;2,02;Moorea
SI_AR;GAM18_B043;2;0,269096348;;0,474979193;6;2,02;Moorea
SI_AR;GAM18_B043;3;0,322947996;;0,474979193;6;2,02;Moorea
SI_AR;GAM18_B043;4;0,379833846;;0,474979193;6;2,02;Moorea
SI_AR;GAM18_B043;5;0,411409153;;0,474979193;6;2,02;Moorea
SI_AR;GAM18_B043;6;0,445365007;;0,474979193;6;2,02;Moorea
SI_AR;GAM18_B100;0;NA;;0,607506209;10;2,02;Moorea
SI_AR;GAM18_B100;1;0,184621234;;0,607506209;10;2,02;Moorea
SI_AR;GAM18_B100;2;0,252929359;;0,607506209;10;2,02;Moorea
SI_AR;GAM18_B100;3;0,293450958;;0,607506209;10;2,02;Moorea
SI_AR;GAM18_B100;4;0,333375888;;0,607506209;10;2,02;Moorea
SI_AR;GAM18_B100;5;0,373375888;;0,607506209;10;2,02;Moorea
SI_AR;GAM18_B100;6;0,41666561;;0,607506209;10;2,02;Moorea
SI_AR;GAM18_B100;7;0,454993145;;0,607506209;10;2,02;Moorea
SI_AR;GAM18_B100;8;0,489921644;;0,607506209;10;2,02;Moorea
SI_AR;GAM18_B100;9;0,53293327;;0,607506209;10;2,02;Moorea
SI_AR;GAM18_B100;10;0,57239211;;0,607506209;10;2,02;Moorea
SI_AR;GAM18_B133;0;NA;;0,554300849;8;2,02;Moorea
SI_AR;GAM18_B133;1;0,210618138;;0,554300849;8;2,02;Moorea
SI_AR;GAM18_B133;2;0,270826111;;0,554300849;8;2,02;Moorea
SI_AR;GAM18_B133;3;0,330842775;;0,554300849;8;2,02;Moorea
SI_AR;GAM18_B133;4;0,379883574;;0,554300849;8;2,02;Moorea
SI_AR;GAM18_B133;5;0,418780875;;0,554300849;8;2,02;Moorea
SI_AR;GAM18_B133;6;0,460217574;;0,554300849;8;2,02;Moorea
SI_AR;GAM18_B133;7;0,498164906;;0,554300849;8;2,02;Moorea
SI_AR;GAM18_B133;8;0,532164906;;0,554300849;8;2,02;Moorea
