species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
SI_AR;SI_AR_TA_03_16_003;0;0,039962482;;0,53771556;4;2,02;Moorea
SI_AR;SI_AR_TA_03_16_003;1;0,207858125;;0,53771556;4;2,02;Moorea
SI_AR;SI_AR_TA_03_16_003;2;0,318311735;;0,53771556;4;2,02;Moorea
SI_AR;SI_AR_TA_03_16_003;3;0,420654297;;0,53771556;4;2,02;Moorea
SI_AR;SI_AR_TA_03_16_003;4;0,486941551;;0,53771556;4;2,02;Moorea
SI_AR;SI_AR_TA_03_16_005;0;NA;;0,379394158;3;2,02;Moorea
SI_AR;SI_AR_TA_03_16_005;1;0,209880919;;0,379394158;3;2,02;Moorea
SI_AR;SI_AR_TA_03_16_005;2;0,312574638;;0,379394158;3;2,02;Moorea
SI_AR;SI_AR_TA_03_16_005;3;0,358585506;;0,379394158;3;2,02;Moorea
SI_AR;SI_AR_TA_03_16_006;0;0,028301943;;0,417195954;3;2,02;Moorea
SI_AR;SI_AR_TA_03_16_006;1;0,206312869;;0,417195954;3;2,02;Moorea
SI_AR;SI_AR_TA_03_16_006;2;0,315770624;;0,417195954;3;2,02;Moorea
SI_AR;SI_AR_TA_03_16_006;3;0,37557865;;0,417195954;3;2,02;Moorea
