species;fish;agei;radi;lencap;radcap;agecap;L0p;Location
SI_SP;SI_SP_MO_03_16_001;0;NA;;0,459940456;3;2,02;Moorea
SI_SP;SI_SP_MO_03_16_001;1;0,278016187;;0,459940456;3;2,02;Moorea
SI_SP;SI_SP_MO_03_16_001;2;0,349528423;;0,459940456;3;2,02;Moorea
SI_SP;SI_SP_MO_03_16_001;3;0,415838302;;0,459940456;3;2,02;Moorea
SI_SP;SI_SP_MO_03_16_002;0;NA;;0,444421966;3;2,02;Moorea
SI_SP;SI_SP_MO_03_16_002;1;0,284015845;;0,444421966;3;2,02;Moorea
SI_SP;SI_SP_MO_03_16_002;2;0,365851045;;0,444421966;3;2,02;Moorea
SI_SP;SI_SP_MO_03_16_002;3;0,422490254;;0,444421966;3;2,02;Moorea
SI_SP;SI_SP_MO_03_16_006;0;NA;;0,352109545;2;2,02;Moorea
SI_SP;SI_SP_MO_03_16_006;1;0,241018671;;0,352109545;2;2,02;Moorea
SI_SP;SI_SP_MO_03_16_006;2;0,302865256;;0,352109545;2;2,02;Moorea
SI_SP;SI_SP_MO_03_16_008;0;0,024413111;;0,420952916;2;2,02;Moorea
SI_SP;SI_SP_MO_03_16_008;1;0,301942047;;0,420952916;2;2,02;Moorea
SI_SP;SI_SP_MO_03_16_008;2;0,374942047;;0,420952916;2;2,02;Moorea
