"species";"fish";"agei";"radi";"lencap";"radcap";"agecap";"L0p";"Location"
"ZE_SC";"GAM18_A008";0;NA;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";1;0,233488758;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";2;0,453572833;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";3;0,504494341;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";4;0,542441673;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";5;0,576646936;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";6;0,623165749;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";7;0,651485353;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";8;0,679663359;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";9;0,692663359;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";10;0,712663359;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";11;0,731898743;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";12;0,753921459;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";13;0,778619637;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";14;0,795020856;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";15;0,821421614;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";16;0,856421614;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";17;0,891206668;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";18;0,921620481;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";19;0,949079541;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";20;0,967107297;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";21;0,986956731;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A008";22;1,004161381;NA;1,004161381;22;1,7;"Gambier"
"ZE_SC";"GAM18_A075";0;NA;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";1;0,425205833;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";2;0,503000434;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";3;0,573036139;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";4;0,626859926;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";5;0,68123823;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";6;0,712302679;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";7;0,737142164;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";8;0,761493755;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";9;0,794143411;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";10;0,822321416;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";11;0,848892077;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";12;0,882507549;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";13;0,902507549;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";14;0,922756006;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";15;0,960834872;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";16;0,986641848;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";17;1,01705566;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";18;1,040077389;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";19;1,057965933;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";20;1,078989729;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";21;1,099238186;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";22;1,123651297;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";23;1,13841612;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A075";24;1,159224772;NA;1,159224772;24;1,7;"Gambier"
"ZE_SC";"GAM18_A077";0;0,038078866;NA;0,656792972;5;1,7;"Gambier"
"ZE_SC";"GAM18_A077";1;0,449307245;NA;0,656792972;5;1,7;"Gambier"
"ZE_SC";"GAM18_A077";2;0,50511047;NA;0,656792972;5;1,7;"Gambier"
"ZE_SC";"GAM18_A077";3;0,566965139;NA;0,656792972;5;1,7;"Gambier"
"ZE_SC";"GAM18_A077";4;0,638435412;NA;0,656792972;5;1,7;"Gambier"
"ZE_SC";"GAM18_A077";5;0,656792972;NA;0,656792972;5;1,7;"Gambier"
"ZE_SC";"GAM18_A081";0;NA;NA;0,630926715;4;1,7;"Gambier"
"ZE_SC";"GAM18_A081";1;0,462195846;NA;0,630926715;4;1,7;"Gambier"
"ZE_SC";"GAM18_A081";2;0,538222157;NA;0,630926715;4;1,7;"Gambier"
"ZE_SC";"GAM18_A081";3;0,600463622;NA;0,630926715;4;1,7;"Gambier"
