species,fish,agei,radi,lencap,radcap,agecap,L0p
AC_AC,AC_AC_SC_03_16_001_D,0,0.014,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,1,0.401479502866136,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,2,0.45699752129099,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,3,0.497228257324887,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,4,0.533512305619068,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,5,0.557413744393526,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,6,0.577822076025485,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,7,0.606328831548806,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,8,0.633834195224624,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,9,0.65553632261755,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,10,0.681746783419368,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,11,0.706612155701015,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,12,0.728321059161422,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,13,0.755540267841155,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,14,0.782776636479441,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,15,0.803083301847122,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,16,0.825106064301158,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,17,0.847197534501071,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,18,0.868354769726337,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,19,0.887975249632795,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,20,0.910822949900823,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,21,0.932879668690783,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,22,0.95376865761373,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,23,0.978868331928942,182.435,1.07659108114909,27,1.7
AC_AC,AC_AC_SC_03_16_001_D,24,0.99799408432568,182.435,1.07659108114909,27,1.7
