species;fish;agei;radi;lencap;radcap;agecap;L0p
CH_JO;CH_JO_MO_03_16_001;0;0.072691127;;0.987026342;9;3.05
CH_JO;CH_JO_MO_03_16_001;1;0.600003333;;0.987026342;9;3.05
CH_JO;CH_JO_MO_03_16_001;2;0.724039618;;0.987026342;9;3.05
CH_JO;CH_JO_MO_03_16_001;3;0.772050034;;0.987026342;9;3.05
CH_JO;CH_JO_MO_03_16_001;4;0.80795268;;0.987026342;9;3.05
CH_JO;CH_JO_MO_03_16_001;5;0.845965836;;0.987026342;9;3.05
CH_JO;CH_JO_MO_03_16_001;6;0.879101919;;0.987026342;9;3.05
CH_JO;CH_JO_MO_03_16_001;7;0.907333107;;0.987026342;9;3.05
CH_JO;CH_JO_MO_03_16_001;8;0.943554648;;0.987026342;9;3.05
CH_JO;CH_JO_MO_03_16_001;9;0.967741421;;0.987026342;9;3.05
CH_JO;CH_JO_MO_03_16_002;0;0.096881371;;1.111075605;9;3.05
CH_JO;CH_JO_MO_03_16_002;1;0.663416913;;1.111075605;9;3.05
CH_JO;CH_JO_MO_03_16_002;2;0.768421674;;1.111075605;9;3.05
CH_JO;CH_JO_MO_03_16_002;3;0.847478616;;1.111075605;9;3.05
CH_JO;CH_JO_MO_03_16_002;4;0.924640783;;1.111075605;9;3.05
CH_JO;CH_JO_MO_03_16_002;5;0.961041332;;1.111075605;9;3.05
CH_JO;CH_JO_MO_03_16_002;6;1.000853391;;1.111075605;9;3.05
CH_JO;CH_JO_MO_03_16_002;7;1.039802075;;1.111075605;9;3.05
CH_JO;CH_JO_MO_03_16_002;8;1.064153666;;1.111075605;9;3.05
CH_JO;CH_JO_MO_03_16_002;9;1.092806764;;1.111075605;9;3.05
CH_JO;CH_JO_MO_03_16_003;0;0.074672619;;1.00097952;7;3.05
CH_JO;CH_JO_MO_03_16_003;1;0.757879278;;1.00097952;7;3.05
CH_JO;CH_JO_MO_03_16_003;2;0.80144532;;1.00097952;7;3.05
CH_JO;CH_JO_MO_03_16_003;3;0.838808403;;1.00097952;7;3.05
CH_JO;CH_JO_MO_03_16_003;4;0.872349423;;1.00097952;7;3.05
CH_JO;CH_JO_MO_03_16_003;5;0.905334268;;1.00097952;7;3.05
CH_JO;CH_JO_MO_03_16_003;6;0.937474585;;1.00097952;7;3.05
CH_JO;CH_JO_MO_03_16_003;7;0.975749904;;1.00097952;7;3.05
CH_JO;CH_JO_MO_03_16_004;0;0.09932774;;1.023672311;8;3.05
